                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.18867,                 0.6129,                      1,                0.65161,             0.00026161,             0.00026161,             0.00026161
                     67,                0.17509,                0.67742,                      1,                0.64771,             0.00025454,             0.00025454,             0.00025454
                     68,                0.23263,                0.62903,                      1,                0.65991,             0.00024747,             0.00024747,             0.00024747
                     69,                0.20715,                0.64516,                      1,                0.66577,              0.0002404,              0.0002404,              0.0002404
                     70,                0.22229,                0.62903,                      1,                0.65625,             0.00023334,             0.00023334,             0.00023334
                     71,                0.17173,                0.62903,                      1,                0.66235,             0.00022627,             0.00022627,             0.00022627
                     72,                0.21191,                0.69355,                      1,                0.63477,              0.0002192,              0.0002192,              0.0002192
                     73,                0.19772,                0.64516,                      1,                0.63403,             0.00021213,             0.00021213,             0.00021213
                     74,                0.17972,                0.64516,                      1,                0.65234,             0.00020506,             0.00020506,             0.00020506
                     75,                0.21655,                0.64516,                      1,                0.64551,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.1981,                0.64516,                      1,                0.64478,             0.00019092,             0.00019092,             0.00019092
                     77,                0.24028,                0.62903,                      1,                0.64453,             0.00018385,             0.00018385,             0.00018385
                     78,                0.17607,                0.67742,                      1,                0.65088,             0.00017679,             0.00017679,             0.00017679
                     79,                0.18175,                0.64516,                      1,                0.65942,             0.00016972,             0.00016972,             0.00016972
                     80,                0.19357,                0.66129,                      1,                0.66748,             0.00016265,             0.00016265,             0.00016265
                     81,                0.18479,                0.64516,                      1,                0.66528,             0.00015558,             0.00015558,             0.00015558
                     82,                0.16342,                0.62903,                      1,                0.66602,             0.00014851,             0.00014851,             0.00014851
                     83,                0.19954,                0.64516,                      1,                0.65601,             0.00014144,             0.00014144,             0.00014144
                     84,                0.17942,                0.62903,                      1,                0.65674,             0.00013437,             0.00013437,             0.00013437
                     85,                 0.1964,                0.64516,                      1,                0.65845,             0.00012731,             0.00012731,             0.00012731
                     86,                0.17715,                0.62903,                      1,                0.65942,             0.00012024,             0.00012024,             0.00012024
                     87,                0.17183,                 0.6129,                      1,                0.65649,             0.00011317,             0.00011317,             0.00011317
                     88,                0.11001,                0.62903,                      1,                0.65332,              0.0001061,              0.0001061,              0.0001061
                     89,                0.14079,                0.64516,                      1,                0.65527,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.15196,                0.64516,                      1,                0.65845,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.14485,                0.62903,                      1,                0.66016,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.15034,                 0.6129,                      1,                0.66284,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.20976,                 0.6129,                      1,                0.66626,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 0.1513,                 0.6129,                      1,                0.66675,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.1882,                0.62903,                      1,                0.66797,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.22002,                0.62903,                      1,                0.66943,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.16273,                0.64516,                      1,                 0.6665,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 0.1608,                0.64516,                      1,                0.66455,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.15478,                0.64516,                      1,                0.66943,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.16283,                0.66129,                      1,                 0.6731,             2.1277e-05,             2.1277e-05,             2.1277e-05
