cow,filename,group,idx
1335,1335_20231117_121441_frame_63,1,5
1335,1335_20231117_121441_frame_303,2,5
1335,1335_20231117_121441_frame_392,3,5
1335,1335_20231117_121441_frame_329,4,5
1335,1335_20231117_121441_frame_418,5,5
736,736_20231117_152813_frame_625,6,5
736,736_20231117_152813_frame_406,7,5
736,736_20231117_152813_frame_493,8,5
736,736_20231117_152813_frame_492,9,5
736,736_20231117_152813_frame_242,10,5
736,736_20231117_152813_frame_545,11,5
929,929_20231117_151607_frame_324,12,5
929,929_20231117_151607_frame_522,13,5
929,929_20231117_151607_frame_17,14,5
929,929_20231117_151607_frame_318,15,5
929,929_20231117_151607_frame_439,16,5
929,929_20231117_151607_frame_436,17,5
1262,1262_20231117_121934_frame_33,18,5
1262,1262_20231117_121934_frame_552,19,5
1262,1262_20231117_121934_frame_17,20,5
1262,1262_20231117_121934_frame_301,21,5
1262,1262_20231117_121934_frame_486,22,5
1262,1262_20231117_121934_frame_368,23,5
1040,1040_20231117_172657_frame_579,24,5
1040,1040_20231117_172657_frame_649,25,5
1040,1040_20231117_172657_frame_318,26,5
1040,1040_20231117_172657_frame_734,27,5
1040,1040_20231117_172657_frame_629,28,5
1040,1040_20231117_172657_frame_782,29,5
1360,1360_20231117_150535_frame_992,0,6
1360,1360_20231117_150535_frame_276,1,6
1360,1360_20231117_150535_frame_881,2,6
1360,1360_20231117_150535_frame_327,3,6
1360,1360_20231117_150535_frame_284,4,6
1360,1360_20231117_150535_frame_834,5,6
922,922_20231117_141213_frame_379,6,6
922,922_20231117_141213_frame_170,7,6
922,922_20231117_141213_frame_4,8,6
922,922_20231117_141213_frame_346,9,6
922,922_20231117_141213_frame_20,10,6
922,922_20231117_141213_frame_529,11,6
1359,1359_20231117_124049_frame_59,12,6
1359,1359_20231117_124049_frame_78,13,6
1359,1359_20231117_124049_frame_562,14,6
1359,1359_20231117_124049_frame_384,15,6
1359,1359_20231117_124049_frame_542,16,6
1359,1359_20231117_124049_frame_470,17,6
981,981_20231117_133039_frame_602,18,6
981,981_20231117_133039_frame_97,19,6
981,981_20231117_133039_frame_186,20,6
981,981_20231117_133039_frame_577,21,6
981,981_20231117_133039_frame_447,22,6
981,981_20231117_133039_frame_300,23,6
778,778_20231117_140227_frame_126,24,6
778,778_20231117_140227_frame_258,25,6
778,778_20231117_140227_frame_22,26,6
778,778_20231117_140227_frame_458,27,6
778,778_20231117_140227_frame_8,28,6
778,778_20231117_140227_frame_438,29,6
1039,1039_20231117_120824_frame_125,0,7
1039,1039_20231117_120824_frame_498,1,7
1039,1039_20231117_120824_frame_216,2,7
1039,1039_20231117_120824_frame_442,3,7
1039,1039_20231117_120824_frame_507,4,7
1039,1039_20231117_120824_frame_374,5,7
975,975_20231117_173846_frame_125,6,7
975,975_20231117_173846_frame_497,7,7
975,975_20231117_173846_frame_216,8,7
975,975_20231117_173846_frame_442,9,7
975,975_20231117_173846_frame_505,10,7
975,975_20231117_173846_frame_377,11,7
975,975_20231117_173846_frame_253,12,7
785,785_20231117_125124_frame_229,13,7
785,785_20231117_125124_frame_595,14,7
785,785_20231117_125124_frame_255,15,7
785,785_20231117_125124_frame_782,16,7
785,785_20231117_125124_frame_906,17,7
785,785_20231117_125124_frame_254,18,7
785,785_20231117_125124_frame_289,19,7
924,924_20231117_131101_frame_124,20,7
924,924_20231117_131101_frame_620,21,7
924,924_20231117_131101_frame_148,22,7
924,924_20231117_131101_frame_57,23,7
924,924_20231117_131101_frame_317,24,7
924,924_20231117_131101_frame_147,25,7
924,924_20231117_131101_frame_176,26,7
1300,1300_20231117_130153_frame_614,27,7
1300,1300_20231117_130153_frame_229,28,7
1300,1300_20231117_130153_frame_355,29,7
1300,1300_20231117_130153_frame_211,0,8
1300,1300_20231117_130153_frame_423,1,8
1300,1300_20231117_130153_frame_177,2,8
1300,1300_20231117_130153_frame_223,3,8
1271,1271_20231117_164614_frame_552,4,8
1271,1271_20231117_164614_frame_585,5,8
1271,1271_20231117_164614_frame_296,6,8
1271,1271_20231117_164614_frame_862,7,8
1271,1271_20231117_164614_frame_781,8,8
1271,1271_20231117_164614_frame_311,9,8
1271,1271_20231117_164614_frame_685,10,8
1295,1295_20231117_130928_frame_141,11,8
1295,1295_20231117_130928_frame_707,12,8
1295,1295_20231117_130928_frame_677,13,8
1295,1295_20231117_130928_frame_167,14,8
1295,1295_20231117_130928_frame_720,15,8
1295,1295_20231117_130928_frame_334,16,8
1295,1295_20231117_130928_frame_148,17,8
807,807_20231117_175347_frame_345,18,8
807,807_20231117_175347_frame_201,19,8
807,807_20231117_175347_frame_905,20,8
807,807_20231117_175347_frame_236,21,8
807,807_20231117_175347_frame_550,22,8
807,807_20231117_175347_frame_724,23,8
