cow,lactation_number,dko_lb_cl,dko_lf_cl,dko_rb_cl,dko_rf_cl,dko_udder_cl,dim,dko_lb_dim_cl,dko_lf_dim_cl,dko_rf_dim_cl,dko_rb_dim_cl,dko_udder_dim_cl,dko_lb_7d,dko_lf_7d,dko_rb_7d,dko_rf_7d,dko_udder_7d,dko_lb_nd_7d,dko_lf_nd_7d,dko_rf_nd_7d,dko_rb_nd_7d,dko_udder_nd_7d,vko_lb_cl,vko_lf_cl,vko_rb_cl,vko_rf_cl,vko_udder_cl,visits_cl,vko_lb_nv_cl,vko_lf_nv_cl,vko_rf_nv_cl,vko_rb_nv_cl,vko_udder_nv_cl,vko_lb_7d,vko_lf_7d,vko_rb_7d,vko_rf_7d,vko_udder_7d,visits_7d,vko_lb_nv_7d,vko_lf_nv_7d,vko_rf_nv_7d,vko_rb_nv_7d,vko_udder_nv_7d
747,5,18.0,1.0,3.0,2.0,22,208,8.653846153846153,0.4807692307692308,0.9615384615384616,1.4423076923076923,10.576923076923077,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,3.0,2.0,23,537,3.5381750465549344,0.186219739292365,0.37243947858473,0.5586592178770949,4.283054003724395,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,5.555555555555555,5.555555555555555
764,5,1.0,3.0,1.0,0.0,5,164,0.6097560975609756,1.829268292682927,0.0,0.6097560975609756,3.048780487804878,1.0,1.0,1.0,2.0,3,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,42.85714285714285,1.0,3.0,1.0,0.0,5,460,0.217391304347826,0.6521739130434783,0.0,0.217391304347826,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
778,5,0.0,,0.0,2.0,2,54,0.0,,3.7037037037037033,0.0,3.7037037037037033,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2,163,0.0,,1.2269938650306749,0.0,1.2269938650306749,0.0,,0.0,0.0,0.0,26.0,0.0,,0.0,0.0,0.0
783,4,1.0,0.0,0.0,0.0,1,453,0.2207505518763796,0.0,0.0,0.0,0.2207505518763796,0.0,0.0,0.0,1.0,1,0.0,0.0,14.285714285714285,0.0,14.285714285714285,1.0,0.0,0.0,0.0,1,831,0.1203369434416365,0.0,0.0,0.0,0.1203369434416365,,,,,,,,,,,
785,5,0.0,0.0,1.0,0.0,1,36,0.0,0.0,0.0,2.7777777777777777,2.7777777777777777,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,113,0.0,0.0,0.0,0.8849557522123894,0.8849557522123894,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
791,4,19.0,4.0,11.0,3.0,33,331,5.740181268882175,1.2084592145015105,0.906344410876133,3.3232628398791544,9.969788519637463,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,11.0,3.0,36,633,3.3175355450236967,0.631911532385466,0.4739336492890995,1.7377567140600316,5.687203791469194,,,,,,,,,,,
807,5,2.0,0.0,1.0,1.0,4,84,2.380952380952381,0.0,1.1904761904761905,1.1904761904761905,4.761904761904762,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4,275,0.7272727272727273,0.0,0.3636363636363636,0.3636363636363636,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
808,5,0.0,0.0,0.0,0.0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
810,4,0.0,0.0,0.0,0.0,0,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,700,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
828,4,23.0,0.0,5.0,20.0,44,308,7.467532467532467,0.0,6.493506493506493,1.6233766233766231,14.285714285714285,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,20.0,47,970,2.5773195876288657,0.0,2.061855670103093,0.5154639175257731,4.845360824742269,,,,,,,,,,,
833,4,9.0,0.0,2.0,3.0,10,162,5.555555555555555,0.0,1.851851851851852,1.2345679012345678,6.172839506172839,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,3.0,10,502,1.7928286852589643,0.0,0.5976095617529881,0.398406374501992,1.99203187250996,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
837,4,1.0,0.0,0.0,,1,254,0.3937007874015747,0.0,,0.0,0.3937007874015747,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1,695,0.1438848920863309,0.0,,0.0,0.1438848920863309,0.0,0.0,0.0,,0.0,19.0,0.0,0.0,,0.0,0.0
