cow,peak_flow_lf_cl,peak_flow_lb_cl,peak_flow_rf_cl,peak_flow_rb_cl,dim,peak_flow_lf_7d,peak_flow_lb_7d,peak_flow_rf_7d,peak_flow_rb_7d
1058,1.3196311818943838,1.5718189438390613,1.411533948030176,1.650712489522213,445,1.3866666666666667,1.5933333333333333,1.35,1.5433333333333334
1061,1.6175125628140703,,2.01286432160804,1.6312311557788945,284,1.6400000000000001,,2.1599999999999997,1.784
1065,2.597489539748954,2.407866108786611,2.626694560669456,2.196150627615063,294,,,,
1067,1.5556179775280898,1.6823595505617976,1.7664606741573035,1.7791011235955057,215,1.68,1.6772727272727272,1.742727272727273,1.7727272727272727
1074,2.038638184245661,1.990173564753004,1.8114552736982643,1.7959145527369829,223,2.0765217391304347,2.0504347826086957,1.8104347826086957,1.8234782608695652
1078,1.19446875,0.0,1.748015625,1.54828125,306,1.8900000000000001,,2.13,2.0100000000000002
1081,1.7677130044843048,1.4435874439461884,1.802511210762332,1.818206278026906,258,1.7766666666666666,1.4566666666666666,1.71,1.8633333333333333
1083,2.303729903536978,2.425852090032154,2.293118971061093,2.4687459807073955,264,,,,
1084,1.8137264150943395,1.6474528301886793,1.5602830188679246,1.6366981132075473,150,1.8099999999999998,1.6966666666666665,1.58,1.6166666666666667
1088,0.9943087248322148,1.2014496644295303,0.9970469798657717,1.2429261744966442,623,,,,
1089,2.112733446519525,1.9761290322580647,2.1935144312393886,1.9078777589134126,201,1.9949999999999999,1.887,2.163,1.857
1091,1.5079276773296246,1.5463143254520166,1.330931849791377,1.7009457579972185,276,1.4324999999999999,1.48125,1.38375,1.77375
1092,1.691779661016949,1.6309322033898306,1.8359322033898304,1.7827966101694916,272,1.7647058823529411,1.796470588235294,1.9023529411764704,1.7329411764705882
1094,2.0387511312217197,2.415149321266968,2.112923076923077,2.4459909502262445,418,2.18,2.42,1.5200000000000002,2.1999999999999997
1098,1.7581322957198444,1.4587548638132297,2.060544747081712,1.5518287937743191,252,1.53,1.47,2.064,1.53
1099,2.254334862385321,1.7642201834862385,2.3675229357798164,1.7894724770642203,309,,,,
1100,1.3561103810775295,1.6949014454664915,1.494796320630749,1.7170565045992117,284,1.34625,1.73625,1.5075,1.74
1101,2.13080824088748,2.2339778129952457,1.856957210776545,,178,2.068695652173913,2.222608695652174,2.0321739130434784,
1102,1.9023240589198036,1.6436661211129295,1.9108674304418984,1.691783960720131,212,2.0133333333333336,1.6566666666666667,1.98,1.7166666666666666
1104,1.434761904761905,1.6773809523809522,1.635,1.5163492063492061,294,1.62,1.95,1.77,1.3199999999999998
1116,1.581776061776062,1.8053281853281853,1.5277992277992278,1.648957528957529,105,1.68,1.9976470588235296,1.616470588235294,1.7152941176470589
1126,1.3977844311377245,1.0451497005988024,1.1073952095808384,1.1508682634730538,306,1.494,1.1640000000000001,1.206,1.206
1127,1.5867326732673266,1.9384158415841584,1.7916831683168317,1.7893069306930693,42,1.5666666666666667,1.9366666666666665,1.7766666666666666,1.8299999999999998
1133,2.1574358974358976,2.0271794871794873,2.244102564102564,2.102051282051282,41,2.192727272727273,2.13,2.3181818181818183,2.078181818181818
1139,1.1312658227848102,1.410379746835443,1.3275949367088606,1.2763291139240507,54,0.9228571428571428,1.362857142857143,1.1942857142857142,1.2542857142857142
1140,1.6298376623376625,1.9588636363636365,1.8623376623376624,1.7925974025974025,188,1.5599999999999998,2.1228571428571428,1.8714285714285712,1.8085714285714287
1142,1.7253982300884956,,1.8193805309734514,1.5361061946902657,83,1.6885714285714286,,1.7171428571428573,1.52
1144,2.1080412371134023,1.6789690721649484,1.9705154639175255,1.9595876288659795,86,2.016521739130435,1.7895652173913041,1.922608695652174,1.9539130434782608
1145,1.4746601941747572,1.183980582524272,1.6441747572815533,1.266990291262136,65,1.4885714285714287,1.2,1.6342857142857143,1.1742857142857144
1146,1.591387461459404,2.0578211716341213,2.079712230215827,2.0361767728674205,460,,,,
1148,2.031764705882353,2.4118954248366014,2.0683660130718953,1.5184313725490197,130,2.0831999999999997,2.388,2.1528,1.6128
1149,2.455107913669065,,2.4384892086330936,2.08273381294964,313,,,,
1151,2.3878772378516624,2.3260358056265984,2.3868030690537085,2.4139641943734014,110,2.5152,2.3952,2.5248000000000004,2.484
1153,2.02817843866171,2.4189591078066917,2.053382899628253,2.3170260223048325,75,2.095,2.4925,2.0625,2.345
1158,1.607865168539326,1.7605992509363295,1.2507116104868914,1.828389513108614,351,,,,
1159,1.4828571428571429,1.2,1.582857142857143,1.4057142857142857,9,1.5035294117647058,1.2,1.5635294117647058,1.3905882352941177
1160,1.7390163934426228,1.877704918032787,1.758688524590164,1.6868852459016395,18,1.7184,1.8816,1.8192,1.6032
1163,0.847375415282392,1.2889036544850498,1.0152159468438537,1.1487707641196012,101,0.7663636363636364,1.3036363636363637,1.0663636363636364,1.17
1164,2.4283636363636365,2.0825454545454547,2.5058181818181815,2.329090909090909,23,2.4539999999999997,2.064,2.535,2.334
1168,1.0069696969696968,1.2130303030303031,0.9933333333333334,1.241111111111111,61,1.009090909090909,1.1727272727272728,0.9709090909090908,1.3363636363636362
1170,1.6882758620689655,2.04,2.033793103448276,1.8972413793103449,14,1.8728571428571428,2.0571428571428574,2.142857142857143,1.9285714285714286
1171,1.914691689008043,2.3398123324396782,1.9376139410187667,2.1859785522788204,318,1.9094117647058824,2.5694117647058823,1.9941176470588236,2.357647058823529
1172,2.0751818181818185,2.202272727272727,1.7686363636363638,2.2753636363636365,85,1.8466666666666667,2.106666666666667,1.7333333333333334,2.283333333333333
1173,1.3326315789473684,1.1842105263157894,1.2221052631578946,1.2473684210526315,6,1.34625,1.185,1.22625,1.22625
1177,1.8828,1.9872,1.7904,,20,1.7966666666666669,1.9400000000000002,1.6666666666666667,
1178,1.821279069767442,1.8948837209302327,1.225813953488372,1.3294186046511627,63,1.9769999999999999,1.92,1.248,1.341
1184,2.966666666666667,2.606666666666667,2.16,2.64,4,2.9657142857142857,2.6571428571428575,2.1942857142857144,2.674285714285714
1191,1.5062093862815886,1.5069314079422382,1.444115523465704,1.4167509025270757,328,,,,
1192,1.3036484983314793,1.8014015572858733,1.3583759733036709,1.8754171301446052,353,1.4625,1.7325,1.45125,2.2125
1197,1.6908,1.5852000000000002,1.7196,1.3763999999999998,19,1.7242105263157894,1.5442105263157895,1.6863157894736842,1.3073684210526315
1198,2.0370806658130602,2.200486555697823,1.508527528809219,2.2253777208706786,309,1.9094117647058824,2.1388235294117646,1.4223529411764706,2.110588235294118
1199,1.7037917222963954,1.856475300400534,1.8575166889185581,1.8527102803738318,333,,,,
1200,1.729059633027523,1.084197247706422,1.4640825688073396,1.2562844036697247,357,1.7929411764705883,1.0447058823529414,1.4505882352941177,1.231764705882353
1204,1.7753804347826088,1.6796739130434784,1.8353804347826086,1.592445652173913,297,1.74,1.65,1.8599999999999999,1.41
1207,1.733368010403121,1.6036150845253576,1.360182054616385,1.5481404421326397,296,1.6023529411764708,1.531764705882353,1.4717647058823529,1.231764705882353
1212,0.0,2.1516190476190475,2.2044761904761905,2.0594285714285716,282,,2.177142857142857,2.2714285714285714,2.172857142857143
1215,1.3877070828331333,1.4742857142857142,1.5695078031212486,1.4587995198079233,330,1.5,1.62,1.59,1.53
1216,1.5647671232876712,1.607013698630137,1.7615342465753425,1.730054794520548,293,1.7999999999999998,1.5899999999999999,1.71,1.05
1219,2.2608583690987123,1.6300429184549357,2.039570815450644,1.559570815450644,306,2.145882352941176,1.171764705882353,1.8741176470588234,1.5458823529411765
1223,1.8251624548736463,2.20283393501805,1.942635379061372,1.9640794223826714,312,1.7146153846153847,1.9384615384615385,1.8138461538461539,1.7746153846153847
1224,2.19,2.2869421487603305,2.130330578512397,2.01900826446281,303,2.4,2.25,2.25,2.19
1225,2.374341252699784,1.9445572354211664,2.4423110151187903,,312,2.58,2.22,2.54,
1231,2.151173380035026,1.82353765323993,2.055446584938704,1.7056392294220666,185,1.9574999999999998,1.7825,1.8775000000000002,1.64
1232,1.0884913217623498,1.6727102803738316,1.3376234979973298,1.5413351134846462,291,1.2553846153846153,1.8507692307692307,1.4953846153846155,1.5092307692307694
1233,1.921216848673947,1.6939157566302652,1.9723244929797192,1.6723244929797192,246,1.8933333333333333,1.5833333333333333,1.9866666666666666,1.5433333333333334
1235,1.27109375,1.86890625,1.8539062499999999,,141,1.3042105263157895,2.0084210526315793,1.8631578947368421,
1236,1.3285546875,1.148671875,1.5420703125,1.2645703125,203,1.206315789473684,1.111578947368421,1.5,1.2
1237,2.1330864197530865,1.9678189300411522,1.891275720164609,1.4646090534979423,311,2.22,2.16,1.68,1.5150000000000001
1240,1.380838627700127,1.370012706480305,1.4833036848792882,1.5872172808132148,231,1.4044444444444446,1.413333333333333,1.5822222222222222,1.58
1241,2.333617021276596,2.2322872340425532,2.052127659574468,2.2281382978723405,119,2.326363636363636,2.3345454545454545,2.0045454545454544,2.22
1243,2.2203025210084033,2.1639327731092437,2.1909579831932775,2.1585882352941175,246,2.156470588235294,2.421176470588235,2.1741176470588237,2.2270588235294118
1244,2.864598930481283,1.6047593582887698,2.8140641711229946,2.798021390374332,131,2.8547368421052632,1.7778947368421054,2.8042105263157895,2.7505263157894735
1245,2.337889908256881,2.3013761467889906,2.0759633027522937,1.973211009174312,267,2.368235294117647,2.375294117647059,1.8282352941176472,1.9623529411764706
1246,1.1404176334106728,1.6250812064965197,1.8729466357308584,1.4633178654292345,248,1.1165217391304347,1.6408695652173915,1.9434782608695653,1.5260869565217392
1252,1.3709852216748768,1.3448275862068966,1.6204433497536945,1.1253694581280789,200,1.328,1.4200000000000002,1.62,1.1320000000000001
1255,1.7185981308411213,1.8022429906542055,1.6497196261682245,1.959626168224299,271,1.7000000000000002,1.836666666666667,1.6900000000000002,2.0233333333333334
1258,2.06551724137931,1.9820689655172414,2.0126896551724136,2.2168275862068967,186,2.0166666666666666,2.0066666666666664,1.9500000000000002,2.14
1259,1.5301796407185628,1.5832634730538924,1.790748502994012,1.4107185628742516,250,1.535294117647059,1.6552941176470588,1.7223529411764706,1.3905882352941177
1261,1.9197169811320756,1.7257075471698113,1.5338207547169813,1.589433962264151,141,2.0223529411764707,1.86,1.5776470588235294,1.775294117647059
1262,1.52247491638796,1.3320401337792642,1.5762541806020067,1.0067558528428093,112,1.6350000000000002,1.089,1.677,1.044
1263,1.5468341708542714,1.6862311557788945,1.7165829145728642,1.7440201005025127,184,1.5142857142857142,1.7028571428571428,1.7914285714285714,1.7314285714285713
1264,2.439885550786838,2.093905579399142,2.3074678111587983,2.2875536480686693,258,2.4057142857142857,2.1371428571428575,2.454285714285714,2.051428571428571
1266,1.209965034965035,1.27520979020979,1.5267482517482516,1.5265034965034965,222,1.1505882352941175,1.3341176470588234,1.595294117647059,1.5282352941176471
1267,1.4901801801801802,1.2871171171171172,1.329009009009009,1.1527927927927928,264,1.4357142857142857,1.217142857142857,1.3285714285714287,1.127142857142857
1268,2.393478260869565,2.675217391304348,2.28,2.402608695652174,15,2.214782608695652,2.58,2.2956521739130435,2.2878260869565215
1270,3.0827700831024933,2.0529639889196676,2.913074792243767,0.0,156,3.155294117647059,2.428235294117647,2.9823529411764707,
1271,2.119945945945946,1.3582702702702703,1.709189189189189,1.4659459459459458,149,2.2275,1.5525,1.71,1.4625
1272,2.5377966101694915,0.51,1.4759745762711864,1.872457627118644,169,2.76,,1.515,1.9837500000000001
1273,1.7257720588235295,1.7140808823529412,1.6504411764705882,1.6191176470588236,206,1.6729411764705884,1.7188235294117646,1.6905882352941177,1.5776470588235294
1274,1.3671571906354514,1.7271571906354515,1.29190635451505,1.7622742474916386,104,1.3257142857142856,1.817142857142857,1.3142857142857143,1.7714285714285716
1276,1.5758426966292134,1.2908426966292135,1.4526404494382021,1.659438202247191,117,1.5818181818181818,1.3663636363636362,1.5572727272727271,1.8
1277,2.2601941747572813,,,2.019378640776699,175,2.3800000000000003,,,2.16
1279,1.8474683544303796,2.332025316455696,2.167974683544304,2.1759493670886076,58,1.8136363636363635,2.170909090909091,2.1845454545454546,2.07
1281,1.8521259842519684,1.4874015748031497,1.7815748031496061,1.5548031496062993,135,2.07,1.58,1.8833333333333333,1.5166666666666666
1282,2.054703557312253,,2.1322529644268777,2.3312252964426876,72,1.9925,,2.2,2.3375
1283,2.2448,2.0614,1.8045,2.137,175,2.27,2.216666666666667,1.836666666666667,2.2466666666666666
1284,1.8032704402515722,1.7068032786885245,1.831069182389937,1.6719496855345912,167,1.98,,1.9457142857142857,1.78
1286,1.5922522522522524,2.0803603603603604,1.4452252252252251,1.8733333333333335,116,1.6172727272727272,2.1054545454545455,1.3963636363636363,1.8981818181818182
1288,1.0504,1.0976,1.1936,1.1236,61,1.108,1.32,1.3159999999999998,1.248
1291,1.8823021582733812,1.645611510791367,2.3261870503597124,1.832661870503597,125,1.8499999999999999,1.7149999999999999,2.4724999999999997,1.8875
1292,1.8046588235294119,1.5729882352941176,1.9071529411764705,1.604329411764706,461,,,,
1293,1.6644736842105263,1.7392105263157895,1.5067105263157896,1.7563157894736843,166,1.6766666666666667,1.7333333333333334,1.4,1.7333333333333334
1294,1.834538745387454,2.7832472324723248,1.8309963099630997,1.9981549815498154,107,1.5126315789473685,2.8421052631578947,1.8978947368421053,1.5726315789473684
1295,,1.857294429708223,1.4406366047745358,1.9247745358090185,141,,1.8914285714285715,1.4942857142857142,1.8828571428571428
1300,1.4959530791788855,2.0628739002932552,1.3824633431085045,1.8047507331378299,119,1.6363636363636365,2.0481818181818183,1.2463636363636363,1.8136363636363635
1304,1.9968796068796069,1.9694594594594597,1.9107125307125306,1.8271990171990171,369,1.74,1.83,1.65,1.68
1305,1.5714170040485829,1.319514170040486,1.5575708502024292,,90,1.4714285714285713,1.3314285714285714,1.4885714285714284,
1306,1.0955294117647059,0.9965490196078431,0.9883921568627451,1.047921568627451,270,,,,
1308,2.6016541353383458,2.5974436090225566,2.4309022556390976,2.3726315789473684,364,,,,
1311,1.4734883720930232,1.742923588039867,1.7962790697674418,1.7572757475083056,381,1.95,2.25,2.22,2.2199999999999998
1312,1.3725465838509316,1.3472049689440995,1.4496894409937888,1.163478260869565,52,1.2474999999999998,1.2874999999999999,1.3949999999999998,1.0725
1314,1.68,1.4799999999999998,1.68,1.68,1,1.8,1.38,1.68,1.56
1315,1.7019130434782608,1.6017391304347826,1.720695652173913,1.613217391304348,43,1.6742857142857144,1.6428571428571428,1.562857142857143,1.6114285714285717
1317,1.932139303482587,1.839402985074627,1.9789054726368158,2.0660696517412935,245,,,,
1319,1.832,2.3984,1.1814285714285713,2.184,30,2.018181818181818,2.5090909090909093,,2.3536363636363635
1320,1.251602708803612,1.4889616252821671,1.2451015801354404,1.419119638826185,414,1.62,1.8818181818181818,1.4781818181818183,1.6745454545454548
1321,2.4355045871559637,2.4423853211009177,2.4002752293577982,2.161376146788991,81,2.4059999999999997,2.3609999999999998,2.472,2.268
1322,2.376734693877551,2.0507908163265305,2.4458418367346937,2.1132397959183673,351,,,,
1323,1.7841290322580647,1.8971612903225807,,1.7674838709677418,65,1.7494736842105265,1.888421052631579,,1.6831578947368422
1324,0.0,1.504351145038168,1.7758396946564885,1.608435114503817,221,,,,
1325,1.54,2.2314666666666665,2.4384,1.7672,85,,2.4252631578947366,2.182105263157895,1.56
1327,1.1996730245231606,1.2581198910081743,1.3035694822888282,1.2296730245231609,318,1.44,1.56,1.3199999999999998,1.5
1328,2.629326923076923,2.0382692307692305,2.120769230769231,1.8966346153846154,66,2.6791304347826084,2.199130434782609,2.0869565217391304,1.9017391304347826
1329,1.4338762214983711,1.7153745928338764,1.2686644951140065,1.4510749185667753,356,1.48125,1.9200000000000002,1.3087499999999999,1.51875
1331,1.9960912052117266,1.9228664495114007,2.0335504885993485,1.5208469055374594,316,2.28,2.28,2.16,1.86
1333,1.3583152173913045,1.7446467391304348,1.8766304347826088,1.1314285714285715,296,,,,
1334,1.0854929577464787,1.3238028169014084,1.3056338028169014,1.3580281690140845,48,1.0533333333333335,1.3366666666666667,1.3433333333333333,1.2533333333333332
1335,2.0354237288135595,2.394406779661017,1.8544067796610169,1.9616949152542371,44,1.9260000000000002,2.412,1.734,1.9739999999999998
1337,2.0391469194312797,2.0938388625592417,2.2336492890995263,2.1929857819905214,206,,,,
1339,1.1551724137931034,0.9254187192118227,1.0838423645320197,0.9165024630541873,172,,,,
1343,1.6169560315670801,1.759143179255919,1.6493573844419391,1.6680721533258174,352,1.83,1.8599999999999999,1.8599999999999999,1.8900000000000001
1344,1.9066582914572865,2.041582914572864,2.1984422110552764,2.166030150753769,311,,,,
1346,1.6641493775933611,1.723070539419087,1.5175933609958507,1.6938589211618258,294,,,,
1348,1.901823056300268,1.9526541554959786,1.9868364611260054,1.7625201072386059,307,,,,
1351,1.4228230616302187,1.7169781312127237,1.405765407554672,1.5619085487077535,222,,,,
1352,2.1133333333333333,1.9466666666666665,2.026666666666667,1.8199999999999998,4,2.1342857142857143,1.9885714285714287,2.0742857142857143,1.8514285714285716
1354,1.9446384720327423,0.105,2.0523601637107776,1.7741336971350614,268,2.3446153846153845,,1.896923076923077,1.9153846153846155
1356,2.183281596452328,2.375521064301552,2.196851441241685,2.299290465631929,187,,,,
1359,1.507819732034105,1.4086479902557856,1.5341291108404385,1.3182460414129111,288,1.6914285714285715,1.4542857142857142,1.682857142857143,1.3485714285714285
1360,1.1790371389270977,1.4792847317744156,1.2478679504814305,1.266767537826685,280,1.329,1.581,1.383,1.392
1361,1.5033070866141731,1.302283464566929,1.3913385826771654,1.6901574803149606,246,1.54,1.32,1.47,1.5650000000000002
1362,1.7511818181818182,2.058340909090909,2.21475,1.965,317,1.8828571428571428,2.2085714285714286,2.1114285714285717,1.9657142857142857
1363,2.763026905829596,1.690627802690583,2.867017937219731,1.714372197309417,298,3.0300000000000002,2.16,2.88,1.92
1364,1.8779160186625194,2.0958009331259717,2.0240435458786936,2.219813374805599,283,2.106,2.148,2.2199999999999998,2.2920000000000003
1365,2.650175438596491,2.265964912280702,2.6314912280701757,2.228421052631579,290,2.703157894736842,2.2989473684210524,2.64,2.317894736842105
1366,0.39,1.8315410958904113,1.7952739726027398,1.7054794520547945,249,,,,
1367,2.3746923076923077,2.113769230769231,2.3386153846153843,2.2449999999999997,315,2.48,2.14,2.56,2.6
1368,1.8863026521060844,1.839219968798752,1.865990639625585,1.7301716068642745,282,2.19,1.98,1.89,1.74
1370,1.6253631284916201,1.6477374301675978,1.5897486033519552,1.7084078212290503,259,1.8726315789473684,1.803157894736842,1.5221052631578948,1.7842105263157895
1371,0.9088615384615385,1.2310153846153846,0.9348923076923076,1.1841230769230768,265,1.014,1.476,1.116,1.5539999999999998
1372,1.4008163265306122,1.6976020408163266,1.5767602040816326,1.8087244897959183,295,1.5825,1.8825,1.6275,2.14875
