cow,lp_group,variable,median,min,max,mean,count
627,l,area,0.2148928086970246,0.1958278948299585,0.2322121683598786,0.21453412463240965,125
627,l,back_eu,0.0958553295275756,0.0691675873102412,0.1068357465493221,0.0939555222062719,125
627,l,back_geo,0.1615899751095602,0.1565802339021214,0.1678918804887484,0.16169269307313677,125
627,l,front_eu,0.278990314766715,0.2100600543318208,0.2996624712065917,0.27388805813616396,125
627,l,front_geo,0.3028057365453772,0.2971910453964746,0.3064219750221748,0.3026886029722513,125
627,l,lb_area,0.0374411903416142,0.0305557337297942,0.0470246955989949,0.03782447716758807,125
627,l,lb_circ,1.6970800834743435e-05,1.4056457892496632e-05,2.109238170662132e-05,1.7158959634147968e-05,125
627,l,lb_ecc,0.5964904116659961,0.4104117348707589,0.7093162267520056,0.5897208430990317,125
627,l,lb_vol,0.6748488406901443,0.3809908324756345,0.9954960704574513,0.679921525143664,125
627,l,lb_vol2,0.6665002842059443,0.4074494340023875,0.9553924571753404,0.6677441703151411,125
627,l,lf_area,0.0635569703541285,0.0572542814354282,0.0701125228431405,0.06349882316823607,125
627,l,lf_circ,6.764086473497702e-06,5.937112453471799e-06,7.656743932601756e-06,6.74603312753563e-06,125
627,l,lf_ecc,0.7338506011428519,0.6707561097393379,0.7873279616889103,0.7362399201636033,125
627,l,lf_vol,1.6273331071325754,1.2440928695395732,2.083723882925969,1.627374319416835,125
627,l,lf_vol2,1.5404993244953915,1.1611398318112642,1.9276904554234924,1.5385924978360959,125
627,l,rb_area,0.0365462292369054,0.024338729265566,0.0468068214321775,0.03627788194879014,125
627,l,rb_circ,1.604139445543352e-05,1.1959446747497852e-05,2.103646992713357e-05,1.6471870463930457e-05,125
627,l,rb_ecc,0.5410328310509861,0.2658193282765331,0.7563155111183436,0.5266583496598772,125
627,l,rb_vol,0.8491233270346662,0.3741569072170753,1.0404505884878947,0.836693759962187,125
627,l,rb_vol2,0.8032462868453536,0.3781467536975627,0.9742731149216008,0.788676680950931,125
627,l,rf_area,0.0689337459942939,0.0582771236225972,0.0841946610740758,0.069023014489934,125
627,l,rf_circ,7.086337004861471e-06,6.38913638709032e-06,8.848752809379054e-06,7.110622800735122e-06,125
627,l,rf_ecc,0.7179313689693573,0.5671065656637243,0.7838977623913042,0.7190482536926037,125
627,l,rf_vol,1.9088125012072668,1.3179188257076833,2.303497321094811,1.909497358271169,125
627,l,rf_vol2,1.7647611051169452,1.24134409769053,2.1050830708707573,1.7613158042175612,125
627,l,udder_circ,0.7383460631185293,0.7091981424249815,0.7603082187169202,0.7388373429577706,125
627,l,udder_ecc,0.6132253913126012,0.5813409311176267,0.6329789486966968,0.6141396478974044,125
627,l,volume,5.04744218944973,3.382555390510253,5.714225695145118,5.008983253849282,125
627,l,volume2,4.876354681217313,3.3030353652161355,5.57685709320738,4.855137044473776,125
723,l,area,0.13282581638363922,0.0817383162782835,0.1618522088336902,0.12805368544016427,10
723,l,back_eu,0.057775476425953,0.043790387340381,0.1586264401263893,0.09494930821734629,9
723,l,back_geo,0.0695140720626542,0.0648457636928344,0.1552983735761827,0.10383244838573917,9
723,l,front_eu,0.2118470512020933,0.1742914524788812,0.253041241417547,0.21275926655848804,10
723,l,front_geo,0.29338750455232093,0.2642235566181912,0.2986243614746992,0.2858506694971468,10
723,l,lb_area,0.017028880509666548,0.0010577529318033,0.0316956955641792,0.016409152247729368,10
723,l,lb_circ,3.848349439314989e-05,2.7843684286676395e-05,0.0001175349030971,5.9127371580013176e-05,10
723,l,lb_ecc,0.8336812562441964,0.8115976576764785,0.8547430732872839,0.8329900464664796,10
723,l,lb_vol,0.10647306073481065,0.0011149597412996,0.3914721538381888,0.15190527841593943,10
723,l,lb_vol2,0.1012137959430051,0.001211911207799,0.4042962936836792,0.1524431462581761,10
723,l,lf_area,0.0404631381396066,0.0033345121210258,0.0588677422417531,0.035765364489713146,10
723,l,lf_circ,1.4146083879777828e-05,1.2427792029337758e-05,2.157660533212345e-05,1.5112089664939522e-05,10
723,l,lf_ecc,0.7014000413167043,0.5798711763092259,0.7577185420242645,0.6970032252606104,10
723,l,lf_vol,0.310201843489493,0.0236372249314746,0.7794543313418764,0.31573352821359907,10
723,l,lf_vol2,0.3036803321686371,0.0059092677850873,0.7372249312610818,0.29887761535851587,10
723,l,rb_area,0.01793591519768485,0.0074462403692643,0.029234104980569,0.017998129657147522,10
723,l,rb_circ,8.818673118915264e-05,2.8046511024884547e-05,0.0001216821571228,7.845188919259397e-05,10
723,l,rb_ecc,0.8490110553600645,0.8021224705606684,0.8961935254065769,0.8501582622510753,10
723,l,rb_vol,0.24183404850402157,0.0339360881696455,0.4361260938009155,0.21745016982675552,10
723,l,rb_vol2,0.24539638671428582,0.0327166028965116,0.4292198407993532,0.21927893346907204,10
723,l,rf_area,0.0403759864721533,0.0323077406047211,0.0605661160037381,0.04297837326809427,10
723,l,rf_circ,1.9496657415790905e-05,1.3629311045846045e-05,2.1252599870246916e-05,1.8569833494977516e-05,10
723,l,rf_ecc,0.6517313406883947,0.613791878256456,0.7248255334641912,0.659885520422085,10
723,l,rf_vol,0.42856936647024135,0.1913280972707658,1.1376908341849616,0.5305270495281421,10
723,l,rf_vol2,0.4082437543199354,0.1886400924240104,1.029685189451039,0.495211686714564,10
723,l,udder_circ,0.7176545415795311,0.7086887961117188,0.729847558470295,0.7179345984029305,10
723,l,udder_ecc,0.7297975116413034,0.7093415000455199,0.7551369592914174,0.728494038658123,10
723,l,volume,1.1624141512682828,0.4809199473129511,2.2646447764931663,1.2338275100597262,10
723,l,volume2,1.1472032832400925,0.3713430315780044,2.15813835585195,1.1762778214064802,10
729,l,area,0.27977447290931395,0.235765430150609,0.3043615362700337,0.28008885139745493,324
729,l,back_eu,0.07497046088737636,0.0558741505891395,0.2421413631185193,0.07879435311162097,316
729,l,back_geo,0.14066233333032685,0.0591069526230672,0.3454169241109464,0.1370196923411019,316
729,l,front_eu,0.1267630524762006,0.0986986734196671,0.1653593384860103,0.13049859830116256,324
729,l,front_geo,0.28071081516356033,0.2618207091449989,0.3075641958682338,0.2803796406187901,324
729,l,lb_area,0.0243905391202928,0.0162899451748948,0.0452214025091289,0.025469435891663,324
729,l,lb_circ,4.849342271829124e-05,3.973842179145141e-05,5.4553170706659655e-05,4.82805137622075e-05,324
729,l,lb_ecc,0.6673429390977008,0.4907527483011208,0.766271368243716,0.6644082027843113,324
729,l,lb_vol,0.3375276379607922,0.1439183218994978,0.9600411267108134,0.35105120678392204,324
729,l,lb_vol2,0.34150468414441604,0.1521876929537019,1.0481501423024109,0.3567143371494637,324
729,l,lf_area,0.1236379870646428,0.0982369432793298,0.1385352941524401,0.12370858074194462,324
729,l,lf_circ,6.693072442279914e-06,6.439144009950284e-06,9.859085446895478e-06,6.741554405319248e-06,324
729,l,lf_ecc,0.7955050951595994,0.7644367455781825,0.8101085125115595,0.7944310008754487,324
729,l,lf_vol,2.594424767618581,1.857297913176049,3.1521292135102934,2.5919713424187045,324
729,l,lf_vol2,2.5375238521878734,1.8328367769030784,3.0560792708562152,2.5365951241462406,324
729,l,rb_area,0.03147191494043695,0.0109127548360754,0.0548697162090572,0.030444701902104247,324
729,l,rb_circ,4.52471122082091e-05,3.85043269190763e-05,5.1845127430860185e-05,4.5352785661492795e-05,324
729,l,rb_ecc,0.5720975758748682,0.3981032276892804,0.7099714103295853,0.5713829276089883,324
729,l,rb_vol,0.3728575334754366,0.0444242520166341,1.183035309988391,0.36519925984859364,324
729,l,rb_vol2,0.36653828356588336,0.0185791993090708,1.1994796530696887,0.35973747488251556,324
729,l,rf_area,0.09793411342205895,0.0624959115827027,0.1336227759839569,0.0975288535485852,324
729,l,rf_circ,9.770709371865173e-06,6.489359271617352e-06,1.0744033923608764e-05,9.73255203378772e-06,324
729,l,rf_ecc,0.7716935718759708,0.7467258435715045,0.8053430898198268,0.7718223349560661,324
729,l,rf_vol,2.0298346637695914,0.5823574811943732,2.778488003561005,1.9834184779828454,324
729,l,rf_vol2,2.014843541881433,0.5839397407968208,2.712427229059116,1.9649335772648429,324
729,l,udder_circ,0.7564472487338145,0.7313354433897155,0.7868290677117531,0.7554687649410582,324
729,l,udder_ecc,0.5485303894984166,0.5075908533897938,0.5830381283684588,0.5489202375145844,324
729,l,volume,5.369982191370422,2.797047502292666,7.270912602194379,5.28578609311878,324
729,l,volume2,5.287137300428763,2.7116208036403746,7.107526445322389,5.194311566310299,324
736,l,area,0.2078378419977331,0.2078378419977331,0.2078378419977331,0.2078378419977331,1
736,l,back_eu,0.0723042510817512,0.0723042510817512,0.0723042510817512,0.0723042510817512,1
736,l,back_geo,0.1415065308442362,0.1415065308442362,0.1415065308442362,0.1415065308442362,1
736,l,front_eu,0.1068459270928287,0.1068459270928287,0.1068459270928287,0.1068459270928287,1
736,l,front_geo,0.1805336549312898,0.1805336549312898,0.1805336549312898,0.1805336549312898,1
736,l,lb_area,0.0504374623497478,0.0504374623497478,0.0504374623497478,0.0504374623497478,1
736,l,lb_circ,2.085484221797657e-05,2.085484221797657e-05,2.085484221797657e-05,2.085484221797657e-05,1
736,l,lb_ecc,0.4014668483593896,0.4014668483593896,0.4014668483593896,0.4014668483593896,1
736,l,lb_vol,1.0755280935844955,1.0755280935844955,1.0755280935844955,1.0755280935844955,1
736,l,lb_vol2,0.994475311432528,0.994475311432528,0.994475311432528,0.994475311432528,1
736,l,lf_area,0.0964997306317269,0.0964997306317269,0.0964997306317269,0.0964997306317269,1
736,l,lf_circ,4.456848956010851e-06,4.456848956010851e-06,4.456848956010851e-06,4.456848956010851e-06,1
736,l,lf_ecc,0.5979462175024198,0.5979462175024198,0.5979462175024198,0.5979462175024198,1
736,l,lf_vol,2.156340747275175,2.156340747275175,2.156340747275175,2.156340747275175,1
736,l,lf_vol2,2.048557301401133,2.048557301401133,2.048557301401133,2.048557301401133,1
736,l,rb_area,0.0343979842473922,0.0343979842473922,0.0343979842473922,0.0343979842473922,1
736,l,rb_circ,3.445449495973448e-05,3.445449495973448e-05,3.445449495973448e-05,3.445449495973448e-05,1
736,l,rb_ecc,0.7019224717265035,0.7019224717265035,0.7019224717265035,0.7019224717265035,1
736,l,rb_vol,0.4929025739513455,0.4929025739513455,0.4929025739513455,0.4929025739513455,1
736,l,rb_vol2,0.4865261332412022,0.4865261332412022,0.4865261332412022,0.4865261332412022,1
736,l,rf_area,0.0403540496950304,0.0403540496950304,0.0403540496950304,0.0403540496950304,1
736,l,rf_circ,2.002602680544797e-05,2.002602680544797e-05,2.002602680544797e-05,2.002602680544797e-05,1
736,l,rf_ecc,0.8496230280600117,0.8496230280600117,0.8496230280600117,0.8496230280600117,1
736,l,rf_vol,0.4944577466315298,0.4944577466315298,0.4944577466315298,0.4944577466315298,1
736,l,rf_vol2,0.5029330163238168,0.5029330163238168,0.5029330163238168,0.5029330163238168,1
736,l,udder_circ,0.7748559741821262,0.7748559741821262,0.7748559741821262,0.7748559741821262,1
736,l,udder_ecc,0.6720688103209851,0.6720688103209851,0.6720688103209851,0.6720688103209851,1
736,l,volume,4.110153331021229,4.110153331021229,4.110153331021229,4.110153331021229,1
736,l,volume2,3.919429001841365,3.919429001841365,3.919429001841365,3.919429001841365,1
764,l,area,0.1586199191446816,0.116534564659174,0.2139115432713645,0.16336295747237328,9
764,l,back_eu,0.0989524100342337,0.0819266683555816,0.1089462595724758,0.09896370220745457,9
764,l,back_geo,0.1459704207841652,0.0803568516531093,0.1607453225879297,0.12581694676170393,9
764,l,front_eu,0.2626931615925807,0.2122269251573295,0.3082267558164501,0.2599362946015321,9
764,l,front_geo,0.3318246211598563,0.3120524984979124,0.4345135704173403,0.3443664794722043,9
764,l,lb_area,0.0059603589773356,0.0019009485493987,0.0286138876304768,0.013090527916949556,9
764,l,lb_circ,3.9557591509240014e-05,3.731787611335161e-05,6.273914931896906e-05,4.5537052585440974e-05,9
764,l,lb_ecc,0.6282878524065508,0.5498611988433126,0.6960359975161029,0.6289358588991237,9
764,l,lb_vol,0.0316940999018777,0.0137709036946128,0.1245937147419264,0.05330488289944569,9
764,l,lb_vol2,0.0501589207232038,0.0316112571628968,0.1199306534063874,0.06163894145837498,9
764,l,lf_area,0.0465831224167791,0.0357538982440097,0.1007345473860695,0.05646873630965602,9
764,l,lf_circ,1.1155630341424166e-05,8.272051728218976e-06,1.2048419653173125e-05,1.0694312230335915e-05,9
764,l,lf_ecc,0.7188602326332175,0.6863339424293877,0.7288295691573858,0.7118711225497135,9
