Animal Number;Group Name;Lactation Number;Days In Milk;Avg Daily Yield Last 7 Days;Avg Daily Milkings Last 7 Days;Max Milking Interval Last 7 Days;Avg Yield Per Milking Last 7 Days;Avg Milking Duration Last 7 Days;Avg Flow Last 7 Days;Avg Daily Harvesting Flow Last 7 Days;Avg Kick_Offs Per Milking Last 7 Days;Avg Incomplete Milkings Last 7 Days;Performance Index
1277;VMS 1&2 group;2;175;38.27;2.57;13:16;14.88;07:09;3.39;2.09;0.00;0.00;100
729;VMS 1&2 group;5;170;66.11;2.57;15:58;25.71;09:38;4.61;2.68;0.00;0.00;100
1272;VMS 3 & 4 Group;2;169;39.12;2.29;21:22;17.12;07:59;4.50;2.16;0.13;0.14;100
1284;VMS 3 & 4 Group;2;167;47.28;3.00;12:45;15.76;06:17;4.32;2.51;0.00;0.00;100
1405;VMS 3 & 4 Group;1;166;35.41;3.14;11:49;11.27;05:17;3.75;2.14;0.00;0.00;100
1293;VMS 3 & 4 Group;2;166;39.48;2.57;14:31;15.35;06:52;4.56;2.25;0.06;0.00;100
1442;VMS 3 & 4 Group;1;165;31.51;2.71;16:51;11.61;05:54;4.22;1.97;0.00;0.00;100
970;VMS 3 & 4 Group;4;165;47.18;2.71;12:17;17.38;06:40;5.35;2.62;0.00;0.14;100
764;VMS 3 & 4 Group;5;164;45.99;2.71;12:13;16.94;07:14;4.24;2.35;0.00;0.00;100
1447;VMS 3 & 4 Group;1;162;36.34;3.43;11:30;10.60;06:29;3.19;1.64;0.00;0.00;100
861;VMS 1&2 group;4;162;44.29;3.43;08:26;12.92;06:00;4.63;2.15;0.04;0.00;100
833;VMS 1&2 group;4;162;38.56;2.71;12:17;14.21;07:54;2.86;1.80;0.00;0.00;100
1437;VMS 3 & 4 Group;1;159;31.76;2.29;17:18;13.90;06:09;4.06;2.27;0.00;0.00;100
1270;VMS 3 & 4 Group;2;156;35.32;2.43;13:45;14.55;07:43;5.63;1.89;0.00;0.00;100
1084;VMS 1&2 group;3;150;50.59;2.57;11:27;19.67;07:25;4.88;2.66;0.00;0.00;100
1440;VMS 3 & 4 Group;1;149;23.66;2.86;11:50;8.28;05:10;2.79;1.61;0.00;0.00;100
1271;VMS 3 & 4 Group;2;148;47.44;2.29;15:17;20.75;08:01;4.94;2.59;0.00;0.00;100
1425;VMS 3 & 4 Group;1;147;35.49;2.57;12:30;13.80;09:00;2.93;1.53;0.00;0.00;100
975;VMS 1&2 group;4;147;55.36;3.00;11:07;18.45;08:08;4.04;2.28;0.00;0.00;100
1451;VMS 3 & 4 Group;1;146;29.85;3.14;11:33;9.50;04:50;4.91;1.97;0.50;0.00;100
1295;VMS 3 & 4 Group;2;141;39.77;3.00;11:55;13.26;05:47;3.88;2.30;0.00;0.00;100
1261;VMS 3 & 4 Group;2;141;48.31;2.43;14:33;19.89;07:24;4.99;2.71;0.00;0.00;100
1235;VMS 1&2 group;2;141;51.28;2.71;14:45;18.89;09:16;3.62;2.04;0.00;0.00;100
1455;VMS 3 & 4 Group;1;137;30.14;3.14;12:10;9.59;04:38;4.39;2.07;0.00;0.00;100
1281;VMS 3 & 4 Group;2;135;46.43;2.57;11:25;18.05;06:31;5.10;2.78;0.00;0.00;100
1456;VMS 3 & 4 Group;1;131;33.29;3.29;12:55;10.13;05:53;3.49;1.73;0.00;0.00;100
1449;VMS 3 & 4 Group;1;131;40.71;2.57;12:04;15.83;05:16;6.07;3.03;0.00;0.00;100
1244;VMS 1&2 group;2;131;46.91;2.71;13:02;17.28;05:57;7.60;2.91;0.00;0.00;100
1435;VMS 3 & 4 Group;1;130;36.58;3.00;12:41;12.19;05:31;4.71;2.23;0.00;0.00;100
1148;VMS 1&2 group;3;129;54.65;3.57;10:34;15.30;05:39;5.63;2.71;0.00;0.00;100
1291;VMS 3 & 4 Group;2;125;41.95;3.43;09:52;12.24;05:04;5.51;2.43;0.00;0.14;100
904;VMS 1&2 group;4;125;58.60;3.43;11:31;17.09;08:44;3.51;1.96;0.00;0.14;100
1418;VMS 3 & 4 Group;1;121;43.03;2.43;14:11;17.72;05:12;6.54;3.42;0.00;0.00;100
856;VMS 1&2 group;4;120;56.97;3.14;10:12;18.13;06:41;5.30;2.71;0.00;0.14;100
1300;VMS 3 & 4 Group;2;119;43.74;3.14;10:48;13.92;05:44;4.61;2.43;0.00;0.14;100
1241;VMS 1&2 group;2;119;57.69;3.14;11:24;18.36;05:56;6.75;3.11;0.05;0.00;100
962;VMS 1&2 group;4;118;55.39;3.14;11:52;17.63;08:09;4.21;2.17;0.09;0.14;100
1276;VMS 1&2 group;2;117;59.56;3.14;13:04;18.95;07:45;4.42;2.45;0.00;0.00;100
1023;VMS 1&2 group;4;117;62.75;3.14;11:34;19.97;08:34;4.57;2.34;0.00;0.00;100
722;VMS 1&2 group;5;117;72.86;2.71;12:59;26.84;13:17;3.15;2.02;0.00;0.00;100
1286;VMS 1&2 group;2;116;48.60;3.14;10:07;15.46;06:19;5.09;2.45;0.00;0.00;100
1003;VMS 1&2 group;3;114;55.62;3.57;11:22;15.57;07:30;4.09;2.08;0.00;0.00;100
1443;VMS 3 & 4 Group;1;113;35.65;2.71;12:06;13.14;09:39;2.50;1.36;0.00;0.00;100
1262;VMS 3 & 4 Group;2;112;49.71;2.86;12:29;17.40;09:54;3.65;1.76;0.10;2.00;100
1151;VMS 1&2 group;3;110;58.19;3.57;10:36;16.29;05:15;6.92;3.11;0.00;0.00;100
986;VMS 1&2 group;4;110;59.04;2.57;13:12;22.96;11:32;3.00;2.00;0.28;0.00;100
1454;VMS 3 & 4 Group;1;109;39.38;2.86;13:11;13.78;09:08;2.98;1.51;0.00;0.00;100
1465;VMS 3 & 4 Group;1;107;33.64;3.14;12:05;10.70;07:00;2.79;1.53;0.14;0.00;100
1460;VMS 3 & 4 Group;1;107;32.72;3.29;10:16;9.96;08:05;2.27;1.23;0.00;0.14;100
1294;VMS 1&2 group;2;107;41.10;2.71;15:30;15.14;06:14;5.86;2.44;0.00;0.00;100
1116;VMS 3 & 4 Group;3;105;46.93;2.43;14:45;19.32;06:39;5.02;2.91;0.00;0.00;100
1274;VMS 1&2 group;2;104;41.86;3.00;12:12;13.95;06:13;4.43;2.25;0.00;0.00;100
1163;VMS 1&2 group;3;100;53.78;3.14;10:51;17.11;10:40;2.60;1.60;0.27;0.14;100
1453;VMS 3 & 4 Group;1;93;40.72;3.29;10:11;12.39;05:28;5.50;2.26;0.00;0.14;100
1432;VMS 3 & 4 Group;1;92;39.09;2.86;12:57;13.68;06:07;4.42;2.24;0.00;0.00;100
627;VMS 1&2 group;6;92;55.62;2.43;15:05;22.90;06:09;7.57;3.74;0.00;0.00;100
935;VMS 1&2 group;4;91;51.39;3.29;11:49;15.64;06:06;4.20;2.57;0.00;0.00;100
1305;VMS 1&2 group;2;90;48.62;3.00;11:20;16.21;08:07;3.03;2.00;0.14;0.00;100
924;VMS 1&2 group;4;88;61.90;3.71;09:27;16.67;07:19;4.46;2.28;0.00;0.00;100
1144;VMS 1&2 group;3;86;56.03;3.29;11:50;17.05;06:41;5.58;2.55;0.00;0.00;100
1325;VMS 3 & 4 Group;2;85;37.98;2.71;11:05;13.99;05:51;4.51;2.40;0.00;0.14;100
1172;VMS 1&2 group;3;85;46.61;2.57;16:43;18.13;06:01;5.77;3.02;0.00;0.00;100
807;VMS 1&2 group;5;84;57.53;3.57;09:25;16.11;07:56;4.23;2.03;0.00;0.00;100
1142;VMS 1&2 group;3;83;49.69;3.00;10:24;16.56;06:56;3.54;2.40;0.00;0.00;100
1321;VMS 1&2 group;2;81;52.89;2.86;12:17;17.64;05:28;6.90;3.24;0.00;0.00;100
1468;VMS 3 & 4 Group;1;77;34.65;2.57;13:19;13.48;07:45;3.39;1.75;0.00;0.00;100
1153;VMS 1&2 group;3;75;58.59;3.43;10:59;17.09;05:53;6.28;2.91;0.00;0.00;100
1461;VMS 3 & 4 Group;1;74;37.56;2.86;15:53;13.15;05:29;4.61;2.41;0.00;0.00;100
1474;VMS 3 & 4 Group;1;73;39.05;2.86;15:36;13.67;06:04;4.28;2.26;0.00;0.00;100
1478;VMS 3 & 4 Group;1;72;35.97;3.29;11:59;10.95;04:41;5.19;2.35;0.00;0.00;100
1477;VMS 3 & 4 Group;1;72;33.60;3.00;11:34;11.20;07:22;2.39;1.53;0.00;0.00;100
1463;VMS 3 & 4 Group;1;72;39.39;2.14;15:11;19.72;09:04;3.78;2.17;0.00;0.00;100
1282;VMS 1&2 group;2;72;54.04;3.43;09:37;15.76;05:43;4.84;2.76;0.00;0.00;100
971;VMS 3 & 4 Group;4;70;48.88;3.29;11:35;14.88;05:20;5.63;2.80;0.00;0.00;100
1328;VMS 3 & 4 Group;2;66;43.05;3.29;14:27;13.10;04:45;6.02;2.76;0.04;0.14;100
1323;VMS 3 & 4 Group;2;65;35.54;2.71;13:28;13.09;05:39;3.81;2.33;0.00;0.00;100
1145;VMS 1&2 group;3;65;59.53;3.00;11:15;19.84;09:15;3.64;2.15;0.00;0.00;100
902;VMS 3 & 4 Group;4;65;47.94;2.71;12:27;17.66;07:41;3.60;2.30;0.47;0.14;100
1486;VMS 3 & 4 Group;1;64;31.00;3.14;12:36;9.86;04:31;6.08;2.19;0.00;0.00;100
1178;VMS 1&2 group;3;63;49.88;2.86;15:46;17.46;07:45;4.64;2.25;0.05;0.14;100
1288;VMS 3 & 4 Group;2;61;48.35;2.14;14:10;22.56;11:59;3.10;1.89;0.80;0.14;100
1168;VMS 1&2 group;3;61;61.64;3.14;10:17;19.61;10:51;2.95;1.81;0.00;0.00;100
1472;VMS 3 & 4 Group;1;60;23.69;2.57;13:03;9.21;07:51;2.44;1.18;0.06;0.43;100
868;VMS 1&2 group;4;60;63.09;3.14;12:43;20.08;06:28;6.05;3.11;0.00;0.00;100
1279;VMS 1&2 group;2;58;53.79;3.14;11:04;17.12;05:44;6.05;2.99;0.00;0.00;100
1427;VMS 3 & 4 Group;1;56;35.41;2.14;13:47;16.53;05:41;5.68;2.92;0.00;0.00;100
1139;VMS 1&2 group;3;54;56.91;3.00;11:08;18.97;10:41;3.23;1.78;0.00;0.00;100
778;VMS 1&2 group;5;54;49.34;3.71;09:31;13.29;06:38;3.87;2.01;0.00;0.00;100
1458;VMS 3 & 4 Group;1;52;35.15;3.43;11:40;10.25;04:43;4.03;2.18;0.00;0.00;100
1312;VMS 3 & 4 Group;2;52;61.46;3.43;13:53;17.93;08:45;3.44;2.05;0.00;0.00;100
686;VMS 3 & 4 Group;5;50;71.17;3.43;09:27;20.76;07:43;5.11;2.69;0.00;0.14;100
1334;VMS 3 & 4 Group;2;48;46.31;2.57;11:15;18.01;09:16;3.37;1.94;0.06;0.00;100
1471;VMS 3 & 4 Group;1;44;38.59;3.29;11:58;11.74;05:10;4.63;2.27;0.04;0.00;100
1335;VMS 3 & 4 Group;2;44;45.14;2.86;12:07;15.80;06:36;5.96;2.39;0.00;0.29;100
1315;VMS 3 & 4 Group;2;43;43.17;3.00;13:45;14.39;05:51;4.52;2.48;0.00;0.00;100
1127;VMS 1&2 group;3;42;64.57;2.57;14:30;25.11;09:30;4.93;2.64;0.00;0.00;100
1133;VMS 3 & 4 Group;3;41;45.44;3.14;14:40;14.46;04:43;6.40;3.09;0.00;0.00;100
1475;VMS 3 & 4 Group;1;39;39.13;2.29;14:26;17.12;05:45;6.33;2.98;0.00;0.00;100
1470;VMS 3 & 4 Group;1;39;35.22;4.00;14:35;8.81;04:23;4.99;2.00;0.04;0.00;100
1457;VMS 3 & 4 Group;1;38;43.81;3.29;11:33;13.33;06:57;4.38;1.93;0.13;0.29;100
785;VMS 1&2 group;5;36;51.53;3.43;12:31;15.03;06:55;3.95;2.17;0.00;0.00;100
723;VMS 1&2 group;5;35;40.88;2.00;14:43;20.44;05:33;7.05;3.72;0.00;0.00;100
1476;VMS 3 & 4 Group;1;33;31.00;3.43;11:12;9.04;08:02;2.45;1.13;0.21;0.14;100
628;VMS 1&2 group;6;31;46.48;3.00;12:24;15.49;06:41;3.96;2.32;0.00;0.00;100
1319;VMS 1&2 group;2;30;36.14;3.14;13:25;11.50;04:40;5.08;2.48;0.05;0.00;100
808;VMS 1&2 group;5;29;59.53;3.86;10:33;15.43;07:06;3.94;2.17;0.00;0.00;100
571;VMS 3 & 4 Group;6;28;44.91;2.43;13:03;18.49;09:29;3.78;1.95;0.24;0.29;100
1480;VMS 3 & 4 Group;1;27;34.99;2.14;15:57;16.33;10:18;2.74;1.59;0.07;0.14;100
1487;VMS 3 & 4 Group;1;25;36.10;3.00;11:53;12.03;06:09;3.67;1.96;0.05;0.14;100
981;VMS 1&2 group;4;24;50.14;3.57;11:52;14.04;05:48;5.49;2.42;0.04;0.00;100
1483;VMS 3 & 4 Group;1;23;40.04;3.43;11:08;12.37;05:03;5.57;2.45;0.04;0.00;100
1164;VMS 1&2 group;3;23;59.18;2.86;14:37;20.71;06:10;6.66;3.37;0.00;0.00;100
1485;VMS 3 & 4 Group;1;22;33.41;3.43;11:45;9.75;07:06;2.74;1.38;0.00;0.00;100
1501;VMS 3 & 4 Group;1;21;29.07;2.00;14:03;14.53;06:27;4.66;2.26;0.50;0.29;100
1495;VMS 3 & 4 Group;1;21;26.48;2.29;14:19;11.59;05:42;4.44;2.04;0.06;0.00;100
1473;VMS 3 & 4 Group;1;21;31.71;2.29;18:29;13.87;05:37;4.55;2.49;0.00;0.00;100
1177;VMS 1&2 group;3;20;49.95;2.57;14:18;19.43;08:17;3.93;2.35;0.06;0.00;100
1057;VMS 1&2 group;4;20;46.44;2.00;14:29;23.22;12:22;3.75;1.88;0.07;0.00;100
1197;VMS 3 & 4 Group;3;19;53.98;2.71;11:53;19.89;07:51;4.49;2.54;0.00;0.00;100
1160;VMS 3 & 4 Group;3;18;41.68;3.57;08:19;11.67;05:15;5.05;2.23;0.08;0.00;100
1462;VMS 3 & 4 Group;1;17;36.11;2.57;13:08;14.04;04:39;7.12;3.05;0.06;0.00;100
1268;VMS 1&2 group;2;15;48.56;3.29;11:39;14.78;05:14;6.52;2.83;0.00;0.00;100
1170;VMS 1&2 group;3;14;27.90;2.00;17:12;13.95;05:18;5.93;2.64;0.00;0.00;100
929;VMS 1&2 group;4;14;51.12;2.86;14:56;17.89;07:57;4.27;2.25;0.05;0.00;100
1504;VMS 3 & 4 Group;1;12;9.46;2.00;14:47;4.73;04:57;2.55;0.96;0.00;0.14;100
1159;VMS 1&2 group;3;9;28.42;2.43;15:51;11.70;06:09;4.03;1.91;0.00;0.00;100
1489;VMS 3 & 4 Group;1;8;27.03;2.14;14:33;12.62;05:19;5.23;2.40;0.00;0.00;100
1507;VMS 3 & 4 Group;1;7;10.34;1.86;14:52;4.92;07:00;2.52;0.70;0.15;0.00;100
1503;VMS 3 & 4 Group;1;7;19.59;1.86;14:13;10.55;06:45;3.78;1.58;0.08;0.00;100
1173;VMS 3 & 4 Group;3;6;33.53;2.29;13:10;12.57;06:55;3.36;1.83;0.00;0.00;100
1479;VMS 3 & 4 Group;1;4;17.12;1.00;14:01;9.78;06:02;4.41;1.63;0.00;0.00;100
1352;VMS 3 & 4 Group;2;4;24.82;1.00;13:24;14.18;05:22;5.72;2.68;0.00;0.00;100
1184;VMS 3 & 4 Group;3;4;22.61;1.00;13:26;12.92;05:10;6.58;2.51;0.00;0.00;100
1511;VMS 3 & 4 Group;1;3;9.77;0.71;14:43;5.86;06:29;3.41;0.92;0.20;0.00;100
