                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.25081,                0.46774,                      1,                 0.7583,             0.00031816,             0.00031816,             0.00031816
                     59,                0.25535,                0.53226,                      1,                0.75146,             0.00031109,             0.00031109,             0.00031109
                     60,                0.26193,                    0.5,                      1,                 0.7478,             0.00030402,             0.00030402,             0.00030402
                     61,                0.33872,                0.54839,                      1,                0.71582,             0.00029695,             0.00029695,             0.00029695
                     62,                0.23664,                0.59677,                      1,                0.70483,             0.00028988,             0.00028988,             0.00028988
                     63,                0.25152,                0.58065,                      1,                0.70605,             0.00028282,             0.00028282,             0.00028282
                     64,                0.29869,                0.54839,                      1,                0.71753,             0.00027575,             0.00027575,             0.00027575
                     65,                0.22075,                0.54839,                      1,                 0.7251,             0.00026868,             0.00026868,             0.00026868
                     66,                0.19804,                0.54839,                      1,                0.72876,             0.00026161,             0.00026161,             0.00026161
                     67,                0.20364,                0.54839,                      1,                  0.729,             0.00025454,             0.00025454,             0.00025454
                     68,                0.18412,                0.51613,                      1,                 0.7334,             0.00024747,             0.00024747,             0.00024747
                     69,                0.25499,                0.51613,                      1,                0.74097,              0.0002404,              0.0002404,              0.0002404
                     70,                0.20616,                0.56452,                      1,                0.73633,             0.00023334,             0.00023334,             0.00023334
                     71,                0.17381,                0.54839,                      1,                0.73438,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.1706,                0.53226,                      1,                0.71704,              0.0002192,              0.0002192,              0.0002192
                     73,                0.20381,                0.56452,                      1,                0.70459,             0.00021213,             0.00021213,             0.00021213
                     74,                0.17812,                0.54839,                      1,                0.69849,             0.00020506,             0.00020506,             0.00020506
                     75,                0.19609,                0.54839,                      1,                0.70215,             0.00019799,             0.00019799,             0.00019799
                     76,                0.15025,                0.54839,                      1,                0.71045,             0.00019092,             0.00019092,             0.00019092
                     77,                0.19397,                0.51613,                      1,                 0.7251,             0.00018385,             0.00018385,             0.00018385
                     78,                0.18636,                0.54839,                      1,                 0.7251,             0.00017679,             0.00017679,             0.00017679
                     79,                0.16141,                0.51613,                      1,                0.72754,             0.00016972,             0.00016972,             0.00016972
                     80,                0.15921,                0.53226,                      1,                0.73657,             0.00016265,             0.00016265,             0.00016265
                     81,                0.21888,                0.54839,                      1,                  0.729,             0.00015558,             0.00015558,             0.00015558
                     82,                 0.2352,                0.56452,                      1,                0.72534,             0.00014851,             0.00014851,             0.00014851
                     83,                0.18137,                0.58065,                      1,                0.70605,             0.00014144,             0.00014144,             0.00014144
                     84,                0.11136,                0.58065,                      1,                0.69629,             0.00013437,             0.00013437,             0.00013437
                     85,                0.18477,                0.58065,                      1,                0.69385,             0.00012731,             0.00012731,             0.00012731
                     86,                0.21689,                0.59677,                      1,                0.69946,             0.00012024,             0.00012024,             0.00012024
                     87,                0.14428,                0.58065,                      1,                0.69067,             0.00011317,             0.00011317,             0.00011317
                     88,                0.18197,                 0.6129,                      1,                0.67944,              0.0001061,              0.0001061,              0.0001061
                     89,                0.14185,                0.62903,                      1,                0.68359,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.16429,                 0.6129,                      1,                0.68848,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.14869,                0.62903,                      1,                0.68262,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.12755,                0.62903,                      1,                0.67822,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.12702,                0.62903,                      1,                0.68066,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.15655,                0.59677,                      1,                0.67969,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.26074,                0.59677,                      1,                0.68042,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.15746,                0.59677,                      1,                0.68384,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.15251,                0.59677,                      1,                0.68823,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.20572,                0.59677,                      1,                0.69604,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.1529,                0.58065,                      1,                0.69507,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.13311,                0.56452,                      1,                0.69507,             2.1277e-05,             2.1277e-05,             2.1277e-05
