animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
1171,2,7,2,2,1,12,11,318,746,3.459119496855346
1172,3,0,0,0,0,0,0,85,220,0.0
1173,3,0,0,0,0,0,0,6,19,0.0
1177,3,0,3,0,0,3,3,20,50,15.0
1178,3,3,0,0,1,4,3,63,172,4.761904761904762
1184,3,0,0,0,0,0,0,4,9,0.0
1191,2,2,6,2,4,14,13,328,799,3.9634146341463414
1192,2,37,5,3,16,61,50,353,899,14.164305949008499
1197,3,0,0,0,0,0,0,19,50,0.0
1198,2,32,11,9,15,67,47,309,781,15.210355987055015
1199,2,23,4,4,8,39,28,333,749,8.408408408408409
1200,2,21,5,3,12,41,32,356,871,8.98876404494382
1204,2,0,5,0,1,6,6,297,736,2.0202020202020203
1207,2,2,3,3,2,10,9,296,769,3.040540540540541
1212,2,0,0,5,1,6,6,282,630,2.127659574468085
1215,2,2,0,1,5,8,8,330,833,2.4242424242424243
1216,2,0,2,3,9,14,11,293,730,3.754266211604096
1219,2,9,4,3,10,26,18,306,699,5.88235294117647
1223,2,10,3,2,2,17,16,312,1108,5.128205128205128
1224,2,3,1,3,5,12,8,303,726,2.6402640264026402
1225,2,2,0,0,0,2,2,312,926,0.641025641025641
1231,2,2,1,3,2,8,4,185,571,2.1621621621621623
1232,2,20,1,0,10,31,26,291,749,8.934707903780069
1233,2,1,19,8,1,29,28,246,641,11.38211382113821
1235,2,5,3,2,0,10,6,141,384,4.25531914893617
1236,2,6,1,1,2,10,8,203,512,3.9408866995073892
1237,2,3,5,4,13,25,22,311,729,7.07395498392283
1240,2,4,2,3,1,10,8,231,787,3.463203463203463
1241,2,1,1,1,3,6,5,119,376,4.201680672268908
1243,2,4,2,19,5,30,28,246,595,11.38211382113821
1244,2,3,0,0,0,3,3,131,374,2.2900763358778624
1245,2,20,32,9,8,69,59,267,654,22.09737827715356
1246,2,0,0,1,1,2,2,248,862,0.8064516129032258
1252,2,3,0,1,2,6,5,200,406,2.5
1255,2,4,0,6,5,15,14,271,642,5.166051660516605
1258,2,2,5,0,2,9,6,186,435,3.225806451612903
1259,2,0,0,2,0,2,2,249,667,0.8032128514056224
1261,2,3,0,0,7,10,10,141,424,7.092198581560284
