                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.39004,                0.14775,                 0.0037,                0.24382,                 1.0557,                0.96142,                0.98146,                0.99307,                0.88057,                0.96142,                0.98146,                0.99307,                0.97868,                  0.524,                0.23509,                0.01575,                0.34918,                 1.0478,              0.0002378,              0.0002378,              0.0002378
                     92,                   0.35,                0.12301,                0.00416,                 0.2028,                0.99584,                0.99991,                      1,                  0.995,                0.90074,                0.99991,                      1,                  0.995,                0.96363,                0.48588,                0.22165,                0.01568,                0.27759,                  1.003,               0.000218,               0.000218,               0.000218
                     93,                0.33908,                0.11489,                0.00628,                0.20177,                0.99098,                0.97813,                 0.9947,                0.99421,                0.91908,                0.97813,                 0.9947,                0.99421,                0.97821,                 0.4349,                0.19037,                0.01432,                0.28625,                0.96584,              0.0001982,              0.0001982,              0.0001982
                     94,                0.33416,                0.11208,                0.00387,                0.19593,                 0.9858,                0.99992,                      1,                  0.995,                0.94292,                0.99992,                      1,                  0.995,                0.98816,                0.36242,                0.14154,                0.00441,                0.20519,                0.90282,              0.0001784,              0.0001784,              0.0001784
                     95,                0.33042,                0.11062,                0.00592,                0.19361,                0.98139,                0.99991,                      1,                  0.995,                0.95598,                0.99991,                      1,                  0.995,                0.98833,                0.34059,                 0.1434,                0.00386,                0.20523,                0.89087,              0.0001586,              0.0001586,              0.0001586
                     96,                0.32404,                0.10757,                0.00489,                0.19242,                0.97968,                0.99405,                      1,                0.99496,                 0.9485,                0.99405,                      1,                0.99496,                0.98415,                0.36109,                0.16295,                0.00737,                0.24316,                0.91367,              0.0001388,              0.0001388,              0.0001388
                     97,                0.32094,                0.11108,                0.00306,                0.18692,                 0.9749,                0.99993,                      1,                  0.995,                0.95187,                0.99993,                      1,                  0.995,                0.98688,                0.34045,                0.13698,                0.00231,                  0.195,                0.88503,               0.000119,               0.000119,               0.000119
                     98,                0.31928,                0.10745,                 0.0035,                0.18954,                0.97526,                0.99969,                      1,                  0.995,                0.95188,                0.99969,                      1,                  0.995,                0.98776,                0.34123,                0.13894,                0.00262,                0.21232,                0.89415,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.3119,                0.10288,                0.00286,                0.18792,                0.97358,                0.99992,                      1,                  0.995,                0.95993,                0.99992,                      1,                  0.995,                0.98831,                0.33091,                0.13727,                0.00198,                0.19722,                0.88066,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.31936,                0.10331,                0.00429,                0.18762,                0.98912,                0.99992,                      1,                  0.995,                0.97081,                0.99992,                      1,                  0.995,                 0.9884,                0.30173,                0.14229,                0.00231,                0.19398,                0.86795,               5.96e-05,               5.96e-05,               5.96e-05
