                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.81374,                0.40912,                0.23304,                0.53014,                   1.32,                0.73791,                0.44371,                0.52881,                0.34164,                0.73791,                0.44371,                0.52843,                0.37335,                   1.44,                 1.7519,                0.15755,                 2.5841,                 1.9172,               0.001604,               0.001604,               0.001604
                     23,                0.81502,                 0.4149,                0.23567,                0.53476,                 1.3341,                0.99998,                0.99868,                  0.995,                0.88244,                  0.996,                 0.9947,                0.99424,                0.90405,                0.55509,                0.49597,                0.02961,                0.36091,                 1.0937,              0.0015842,              0.0015842,              0.0015842
                     24,                0.81116,                0.40336,                  0.223,                0.51576,                 1.3266,                0.03256,                0.45828,                0.02712,                0.00806,                0.04206,                0.59205,                0.03817,                0.01205,                 2.7723,                 2.8958,                0.50287,                 3.7928,                 3.1955,              0.0015644,              0.0015644,              0.0015644
                     25,                0.78588,                0.40128,                0.21818,                0.49699,                 1.3034,                0.97023,                0.97616,                0.99307,                0.84205,                0.92248,                0.92998,                0.91752,                0.79037,                0.75296,                 0.8507,                0.07612,                 0.4821,                  1.276,              0.0015446,              0.0015446,              0.0015446
                     26,                0.80414,                0.38722,                0.21456,                0.52495,                 1.3242,                0.75735,                0.38859,                0.51948,                  0.188,                0.73501,                 0.3894,                0.49891,                0.19415,                   2.78,                 2.4204,                 0.1385,                 2.5316,                  3.669,              0.0015248,              0.0015248,              0.0015248
                     27,                 0.7881,                0.38472,                0.21478,                0.50791,                  1.309,                 0.9986,                      1,                  0.995,                0.90673,                 0.9986,                      1,                  0.995,                0.90832,                0.46136,                0.36338,                0.03046,                0.33829,                 1.0095,               0.001505,               0.001505,               0.001505
                     28,                0.77747,                0.36127,                0.20828,                0.49746,                 1.2972,                0.96655,                 0.9894,                0.99361,                0.83852,                0.96524,                0.99318,                0.99375,                0.91438,                0.61541,                 0.4125,                0.01162,                0.38716,                 1.1398,              0.0014852,              0.0014852,              0.0014852
                     29,                0.78315,                0.36444,                0.20811,                0.50269,                 1.2952,                 0.9988,                      1,                  0.995,                0.90951,                 0.9988,                      1,                  0.995,                0.92069,                0.46497,                0.35562,                0.02111,                0.30223,                0.98952,              0.0014654,              0.0014654,              0.0014654
                     30,                0.78151,                0.34949,                0.21103,                0.50058,                 1.2979,                0.89797,                0.90596,                0.96672,                0.75218,                 0.8946,                0.91064,                 0.9657,                0.85152,                0.81982,                 0.5298,                0.08462,                0.58757,                 1.3355,              0.0014456,              0.0014456,              0.0014456
                     31,                0.76933,                 0.3511,                0.20666,                0.50239,                 1.2977,                0.61865,                0.19983,                 0.2611,                0.05496,                0.56043,                0.18278,                0.26657,                0.07956,                  3.288,                  3.294,                 0.2907,                 2.8119,                 3.8634,              0.0014258,              0.0014258,              0.0014258
                     32,                0.75363,                0.33849,                 0.2047,                0.48715,                 1.2798,                0.97488,                0.99338,                0.99404,                0.85547,                0.94096,                0.95894,                0.94202,                0.78491,                0.63542,                0.75862,                0.01821,                0.46025,                 1.1813,               0.001406,               0.001406,               0.001406
                     33,                0.75247,                0.32921,                0.19909,                0.48824,                 1.2832,                0.03625,                0.06358,                0.02201,                0.00361,                0.18202,                0.31921,                0.25381,                0.09339,                 3.8514,                 3.1937,                 1.1811,                 4.8028,                 5.1806,              0.0013862,              0.0013862,              0.0013862
                     34,                0.74167,                 0.3451,                0.20758,                0.48112,                  1.272,                 0.9922,                0.99735,                  0.995,                0.92392,                0.99088,                0.99603,                0.99369,                 0.9309,                0.46498,                0.34715,                0.02055,                0.34853,                 1.0228,              0.0013664,              0.0013664,              0.0013664
                     35,                0.75446,                0.33098,                0.20594,                0.48454,                 1.2879,                0.99827,                      1,                0.99499,                  0.851,                0.99431,                0.99603,                0.99419,                0.94724,                0.71044,                0.33127,                0.00231,                0.32642,                  1.166,              0.0013466,              0.0013466,              0.0013466
                     36,                0.73264,                0.32659,                0.19561,                 0.4752,                 1.2656,                0.99725,                      1,                0.99489,                0.72878,                0.99461,                0.99735,                0.99241,                0.92798,                 1.1059,                0.40352,                0.01959,                 0.4171,                 1.6271,              0.0013268,              0.0013268,              0.0013268
                     37,                0.73912,                0.31438,                  0.193,                0.47191,                 1.2685,                0.99864,                      1,                  0.995,                0.88723,                0.99732,                0.99868,                 0.9948,                0.92577,                0.51226,                0.32453,                0.00455,                0.30838,                 1.0455,               0.001307,               0.001307,               0.001307
                     38,                0.72836,                 0.3151,                0.19196,                 0.4683,                  1.256,                0.99787,                      1,                  0.995,                0.90478,                0.98861,                0.99073,                0.98671,                0.87421,                0.55519,                0.52169,                0.00895,                0.33379,                 1.0844,              0.0012872,              0.0012872,              0.0012872
                     39,                0.72012,                  0.302,                0.19148,                0.47002,                 1.2506,                0.46456,                0.61987,                0.48571,                0.22877,                0.62914,                0.76026,                0.75527,                0.52546,                  2.241,                 1.4262,                0.17883,                 1.4987,                 2.6878,              0.0012674,              0.0012674,              0.0012674
                     40,                0.71905,                 0.2806,                0.18107,                0.46491,                 1.2495,                0.99991,                      1,                  0.995,                0.90207,                0.99594,                0.99603,                0.99325,                 0.9317,                0.48863,                0.29728,                0.00619,                0.29314,                 1.0083,              0.0012476,              0.0012476,              0.0012476
                     41,                0.71588,                0.29437,                0.18513,                0.46296,                  1.244,                0.99992,                      1,                  0.995,                0.83452,                0.99992,                      1,                  0.995,                0.94605,                0.67479,                0.29479,                0.00457,                0.33362,                 1.1704,              0.0012278,              0.0012278,              0.0012278
                     42,                0.71644,                0.28323,                0.18446,                0.45728,                 1.2477,                0.95703,                 0.9457,                0.98875,                0.84226,                0.94604,                 0.9289,                0.97853,                 0.9044,                0.59818,                 0.4715,                0.00742,                0.44372,                 1.1381,               0.001208,               0.001208,               0.001208
                     43,                0.70214,                0.29149,                0.17814,                0.44218,                 1.2341,                0.95142,                0.95981,                0.98685,                0.87719,                0.94486,                0.96821,                0.98934,                0.92659,                0.57333,                0.41233,                0.00478,                0.39205,                 1.1105,              0.0011882,              0.0011882,              0.0011882
                     44,                0.69341,                0.30131,                0.18134,                0.44987,                 1.2352,                0.74012,                0.65633,                0.82127,                0.63185,                0.73713,                0.65368,                0.81683,                0.66422,                0.96668,                0.92605,                0.07048,                 1.0684,                 1.5752,              0.0011684,              0.0011684,              0.0011684
                     45,                0.70486,                0.29531,                0.17996,                0.45606,                 1.2485,                0.99933,                      1,                  0.995,                0.91758,                0.99933,                      1,                  0.995,                0.93913,                0.45543,                0.36764,                0.00704,                0.28442,                 1.0302,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.7089,                0.27011,                0.16766,                0.46936,                 1.2461,                0.99928,                0.99868,                  0.995,                0.92768,                0.99928,                0.99868,                  0.995,                0.94303,                0.45696,                0.33669,                 0.0311,                0.30331,                0.99429,              0.0011288,              0.0011288,              0.0011288
                     47,                0.69008,                0.27332,                0.16998,                0.44859,                   1.23,                0.99992,                      1,                  0.995,                0.90515,                0.99992,                      1,                  0.995,                0.95246,                0.48269,                 0.2869,                0.00836,                0.27003,                0.99268,               0.001109,               0.001109,               0.001109
                     48,                0.69082,                 0.2624,                0.16527,                0.45268,                 1.2324,                0.26438,                0.84636,                0.63441,                0.42529,                0.27472,                0.87947,                 0.6656,                0.31745,                 1.2615,                 1.9588,                0.33323,                 2.7578,                 1.8418,              0.0010892,              0.0010892,              0.0010892
                     49,                0.67838,                0.26804,                0.17044,                0.43972,                 1.2245,                0.99991,                      1,                  0.995,                0.68636,                0.99594,                0.99603,                0.99385,                 0.9615,                 1.2681,                0.27367,                0.00551,                0.42848,                  1.941,              0.0010694,              0.0010694,              0.0010694
                     50,                0.69629,                0.26716,                0.16465,                0.44142,                 1.2317,                0.99981,                      1,                  0.995,                 0.9043,                0.99981,                      1,                  0.995,                0.95391,                0.44979,                0.25304,                0.00636,                0.29533,                0.98956,              0.0010496,              0.0010496,              0.0010496
                     51,                0.68421,                0.26328,                0.16044,                0.44406,                 1.2279,                0.99255,                0.99868,                0.99497,                0.92439,                0.99124,                0.99735,                0.99388,                0.95547,                0.45602,                0.26052,                 0.0057,                0.30709,                 1.0263,              0.0010298,              0.0010298,              0.0010298
                     52,                0.66739,                 0.2579,                0.15219,                0.43868,                 1.2088,                0.99729,                 0.9947,                0.99499,                0.55232,                0.99596,                0.99338,                0.99485,                 0.9192,                 1.7553,                0.38497,                0.00341,                0.57654,                 2.8454,                0.00101,                0.00101,                0.00101
                     53,                0.66779,                0.26237,                0.15545,                0.43557,                 1.2118,                0.91994,                0.91314,                0.96959,                0.81162,                0.91727,                0.91049,                 0.9671,                0.89628,                0.67222,                0.41015,                0.04864,                0.67897,                 1.2574,              0.0009902,              0.0009902,              0.0009902
                     54,                0.66481,                0.24229,                0.14978,                0.43844,                 1.2167,                0.99992,                      1,                  0.995,                0.94104,                0.99992,                      1,                  0.995,                0.97771,                 0.3898,                0.21324,                0.00984,                0.25097,                0.92806,              0.0009704,              0.0009704,              0.0009704
                     55,                0.66222,                0.25657,                0.14949,                0.44311,                 1.2048,                0.99728,                      1,                0.99488,                0.91295,                0.99728,                      1,                0.99488,                0.95925,                0.52257,                0.25823,                0.01963,                0.31544,                 1.0623,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.6542,                0.24737,                0.14762,                0.42135,                 1.1998,                0.97401,                0.99257,                0.98823,                0.52012,                0.90646,                0.92419,                0.89264,                0.68314,                 1.5249,                 1.0313,                0.03558,                 0.7092,                 2.0094,              0.0009308,              0.0009308,              0.0009308
                     57,                0.65058,                0.24709,                0.14731,                0.43331,                 1.2043,                0.92103,                0.86511,                0.96027,                0.79352,                0.90295,                0.82517,                0.92125,                0.84865,                0.66683,                0.61225,                0.04081,                0.52888,                 1.2322,               0.000911,               0.000911,               0.000911
                     58,                0.65352,                0.23952,                0.14948,                0.42562,                  1.203,                0.99914,                      1,                  0.995,                0.91219,                0.99914,                      1,                  0.995,                0.97481,                0.46479,                  0.216,                0.01942,                 0.3077,                 1.0052,              0.0008912,              0.0008912,              0.0008912
                     59,                0.65539,                0.23585,                 0.1456,                0.43217,                 1.2147,                0.99989,                      1,                  0.995,                0.53241,                0.99592,                0.99603,                0.99479,                0.96872,                 1.8528,                 0.2597,                0.00642,                0.57396,                 3.0522,              0.0008714,              0.0008714,              0.0008714
                     60,                0.66172,                0.23783,                0.14385,                0.43082,                   1.21,                0.92357,                0.82384,                0.94999,                0.76916,                0.92209,                0.82252,                0.94762,                 0.8464,                0.79477,                0.59401,                0.07422,                 0.8212,                 1.3687,              0.0008516,              0.0008516,              0.0008516
                     61,                0.64454,                0.22631,                 0.1414,                0.42327,                  1.199,                0.95989,                0.94172,                0.97264,                0.58156,                0.91804,                0.90066,                0.90622,                0.77336,                 1.2261,                 0.8037,                0.04911,                0.81907,                 1.6759,              0.0008318,              0.0008318,              0.0008318
                     62,                0.64267,                0.23343,                 0.1463,                 0.4164,                 1.1962,                0.94193,                0.89139,                0.97489,                0.64862,                 0.9316,                0.88392,                 0.9606,                0.80594,                 1.0786,                0.78834,                0.09123,                0.81546,                 1.5714,               0.000812,               0.000812,               0.000812
                     63,                0.64338,                0.22283,                 0.1373,                0.42373,                 1.1972,                0.99767,                0.99868,                  0.995,                0.92503,                0.99767,                0.99868,                  0.995,                0.97258,                0.42888,                0.19083,                0.01283,                0.30512,                0.97918,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.6336,                0.22748,                0.13446,                0.41211,                 1.1888,                 0.9087,                0.84768,                0.93576,                0.80342,                0.85919,                 0.9457,                0.97149,                0.90085,                0.72111,                 0.4065,                0.00453,                0.51993,                 1.3087,              0.0007724,              0.0007724,              0.0007724
                     65,                0.63459,                0.23531,                0.13298,                0.41243,                 1.1934,                0.93543,                0.92098,                0.98147,                0.84504,                0.93543,                0.92098,                0.98502,                0.93707,                0.64435,                0.36693,                0.01644,                0.40169,                 1.1531,              0.0007526,              0.0007526,              0.0007526
                     66,                0.62088,                0.21891,                0.13269,                0.40592,                 1.1792,                0.99991,                      1,                  0.995,                0.91758,                0.99991,                      1,                  0.995,                0.98785,                0.45257,                0.16291,                0.00448,                0.25361,                0.96594,              0.0007328,              0.0007328,              0.0007328
                     67,                0.63258,                0.22851,                0.13846,                  0.413,                 1.1897,                0.99992,                      1,                  0.995,                0.89916,                0.99727,                0.99735,                0.99342,                0.96843,                0.48906,                0.23456,                0.00315,                0.26208,                0.99462,               0.000713,               0.000713,               0.000713
                     68,                0.61901,                0.21523,                0.13882,                0.40685,                 1.1802,                 0.9999,                      1,                  0.995,                0.92023,                0.99858,                0.99868,                0.99491,                 0.9792,                0.43863,                0.18035,                0.01622,                0.25626,                0.96486,              0.0006932,              0.0006932,              0.0006932
                     69,                0.62193,                0.22362,                0.13412,                0.40259,                 1.1811,                0.99429,                      1,                0.99496,                0.90339,                0.99429,                      1,                0.99496,                0.96179,                0.47608,                0.23251,                0.01014,                0.31934,                 1.0306,              0.0006734,              0.0006734,              0.0006734
                     70,                0.60909,                0.21038,                0.13236,                0.39735,                 1.1728,                  0.932,                0.30859,                0.61564,                 0.3616,                0.65621,                0.42781,                0.51192,                0.20115,                 1.5898,                 1.9692,                0.38442,                 2.8028,                  2.058,              0.0006536,              0.0006536,              0.0006536
                     71,                0.61851,                0.21445,                0.13141,                0.40162,                  1.173,                0.99992,                      1,                  0.995,                0.68103,                0.99992,                      1,                  0.995,                0.98987,                 1.3693,                0.17947,                0.00469,                0.42532,                 2.0479,              0.0006338,              0.0006338,              0.0006338
                     72,                0.62609,                0.21278,                0.13498,                0.40965,                 1.1824,                0.99992,                      1,                  0.995,                0.94295,                0.99992,                      1,                  0.995,                0.97217,                0.36025,                0.18578,                0.00871,                0.22793,                0.90623,               0.000614,               0.000614,               0.000614
                     73,                0.60603,                0.20252,                0.13007,                0.39889,                 1.1748,                0.99989,                      1,                  0.995,                0.93001,                0.99989,                      1,                  0.995,                0.98242,                0.41231,                0.17668,                0.00146,                0.24933,                0.94062,              0.0005942,              0.0005942,              0.0005942
                     74,                0.59819,                0.19791,                0.12379,                0.39002,                  1.157,                0.99992,                      1,                  0.995,                0.91292,                0.99727,                0.99735,                0.99301,                0.96506,                  0.465,                0.21296,                0.00298,                0.24723,                0.96195,              0.0005744,              0.0005744,              0.0005744
                     75,                0.59012,                0.19165,                0.12484,                0.39177,                 1.1586,                0.91056,                0.87417,                0.94666,                0.63181,                0.90642,                 0.8702,                0.94198,                0.82517,                 1.1923,                0.53757,                0.07588,                0.70689,                 1.7808,              0.0005546,              0.0005546,              0.0005546
                     76,                0.60023,                0.19778,                0.12234,                0.38988,                 1.1679,                0.99991,                      1,                  0.995,                0.85297,                0.99462,                 0.9947,                 0.9939,                0.95894,                0.65003,                  0.233,                0.00708,                0.28635,                 1.1349,              0.0005348,              0.0005348,              0.0005348
                     77,                0.60192,                0.20051,                0.12485,                0.38899,                 1.1649,                0.99539,                      1,                0.99495,                0.92944,                0.99539,                      1,                0.99495,                0.97972,                0.44535,                0.18584,                0.00658,                 0.2713,                0.98393,               0.000515,               0.000515,               0.000515
                     78,                0.59028,                0.19975,                0.12701,                0.38304,                 1.1637,                0.98949,                0.99799,                0.99476,                0.92577,                0.98949,                0.99799,                0.99476,                0.95953,                0.41909,                0.26239,                0.00231,                0.25333,                0.95204,              0.0004952,              0.0004952,              0.0004952
                     79,                0.58177,                0.18091,                0.11783,                0.38007,                 1.1496,                0.99992,                      1,                  0.995,                0.62619,                0.99462,                 0.9947,                0.99002,                0.97523,                 1.5114,                0.17896,                0.00193,                0.48032,                 2.4588,              0.0004754,              0.0004754,              0.0004754
                     80,                0.59225,                0.18789,                0.12081,                0.38834,                  1.163,                0.99992,                      1,                  0.995,                0.75253,                0.99992,                      1,                  0.995,                0.99041,                  1.022,                0.14003,                0.00449,                0.36486,                 1.6043,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57749,                0.19769,                 0.1209,                0.38819,                 1.1471,                0.99992,                      1,                  0.995,                0.94858,                0.99992,                      1,                  0.995,                0.98196,                0.35001,                0.15998,                0.00671,                0.22866,                0.90442,              0.0004358,              0.0004358,              0.0004358
                     82,                0.58193,                0.18343,                 0.1174,                0.38783,                 1.1545,                0.99894,                      1,                  0.995,                0.93021,                0.99365,                 0.9947,                0.99072,                0.97729,                0.40634,                0.19016,                0.00719,                0.24058,                0.93955,               0.000416,               0.000416,               0.000416
                     83,                0.57823,                0.18969,                0.12237,                0.37344,                 1.1515,                0.99864,                      1,                  0.995,                0.92245,                0.99864,                      1,                  0.995,                0.98433,                0.41746,                0.16782,                0.00241,                0.23415,                0.93875,              0.0003962,              0.0003962,              0.0003962
                     84,                0.58316,                0.17921,                0.11563,                0.37993,                 1.1528,                0.99992,                      1,                  0.995,                0.95684,                0.99992,                      1,                  0.995,                 0.9835,                0.33954,                0.16367,                0.00309,                0.23802,                0.89415,              0.0003764,              0.0003764,              0.0003764
                     85,                  0.569,                 0.1796,                0.11539,                0.38007,                 1.1408,                0.99992,                      1,                  0.995,                 0.8078,                0.99992,                      1,                  0.995,                 0.9849,                0.83062,                0.15889,                0.00311,                0.32466,                 1.3097,              0.0003566,              0.0003566,              0.0003566
                     86,                0.56627,                0.18945,                0.12078,                0.37524,                 1.1363,                 0.9999,                      1,                  0.995,                0.84929,                 0.9999,                      1,                  0.995,                0.95608,                0.60136,                0.23678,                0.01201,                0.31963,                 1.1119,              0.0003368,              0.0003368,              0.0003368
                     87,                0.56227,                 0.1786,                 0.1172,                0.37272,                 1.1399,                  0.991,                      1,                  0.995,                0.94715,                  0.991,                      1,                  0.995,                0.98335,                0.36375,                0.15607,                0.00513,                0.22635,                0.90662,               0.000317,               0.000317,               0.000317
                     88,                0.56284,                 0.1813,                0.11476,                0.37769,                 1.1356,                0.99991,                      1,                  0.995,                0.74975,                0.99329,                0.99338,                0.99099,                0.95731,                0.97559,                0.27296,                 0.0047,                0.38487,                 1.5041,              0.0002972,              0.0002972,              0.0002972
                     89,                0.55675,                0.17629,                0.11395,                 0.3728,                 1.1363,                0.99992,                      1,                  0.995,                0.88429,                0.99992,                      1,                  0.995,                0.99027,                0.58372,                0.13639,                 0.0029,                0.26639,                 1.0685,              0.0002774,              0.0002774,              0.0002774
                     90,                0.57047,                0.18424,                0.11583,                0.37715,                 1.1419,                0.99992,                      1,                  0.995,                0.95316,                0.99992,                      1,                  0.995,                0.98928,                0.34963,                0.14137,                 0.0027,                0.22685,                0.90331,              0.0002576,              0.0002576,              0.0002576
