filename,cow,img_class,pbad,pgood
1057_20231117_140050_frame_621,1057,1,0.8491489291191101,0.1508510261774063
808_20231117_173436_frame_42,808,1,0.39440521597862244,0.6055947542190552
868_20231117_142436_frame_157,868,1,0.9999953508377075,4.60879073216347e-06
627_20231117_165940_frame_654,627,0,0.3221200406551361,0.6778799891471863
1376_20231117_123958_frame_499,1376,1,0.9691819548606873,0.030818071216344833
1335_20231117_121441_frame_289,1335,1,0.002503565512597561,0.9974964261054993
1360_20231117_150535_frame_992,1360,1,0.005857646930962801,0.9941423535346985
1039_20231117_120824_frame_125,1039,1,0.9940845370292664,0.005915517918765545
1300_20231117_130153_frame_211,1300,1,0.0009944267803803086,0.9990056157112122
1354_20231117_125009_frame_570,1354,1,0.04052262008190155,0.9594773650169373
1057_20231117_140050_frame_286,1057,1,0.9440597295761108,0.05594030022621155
808_20231117_173436_frame_14,808,1,0.8881111741065979,0.11188877373933792
868_20231117_142436_frame_152,868,1,0.9999960660934448,3.942696821468417e-06
627_20231117_165940_frame_691,627,0,0.01526710670441389,0.9847329258918762
1376_20231117_123958_frame_253,1376,0,1.0,7.4251049753115694e-09
1335_20231117_121441_frame_63,1335,1,0.024608980864286423,0.9753910899162292
1360_20231117_150535_frame_276,1360,1,0.18602585792541504,0.8139742016792297
1039_20231117_120824_frame_498,1039,1,0.8317264318466187,0.16827361285686493
1300_20231117_130153_frame_423,1300,1,0.01623120717704296,0.9837687611579895
1354_20231117_125009_frame_557,1354,0,0.012205442413687706,0.9877945184707642
1057_20231117_140050_frame_611,1057,1,0.983245849609375,0.016754215583205223
808_20231117_173436_frame_178,808,1,0.9318485856056213,0.06815144419670105
868_20231117_142436_frame_226,868,0,0.9975672960281372,0.0024326962884515524
627_20231117_165940_frame_690,627,1,0.7544507384300232,0.24554923176765442
1376_20231117_123958_frame_166,1376,0,0.9999998807907104,9.288406488394685e-08
1335_20231117_121441_frame_303,1335,1,9.400989074492827e-05,0.9999059438705444
1360_20231117_150535_frame_881,1360,1,0.008884294889867306,0.9911156892776489
1039_20231117_120824_frame_216,1039,1,0.9982579350471497,0.0017420272342860699
1300_20231117_130153_frame_177,1300,1,0.004319844767451286,0.9956800937652588
837_20231117_165123_frame_463,837,1,0.9976426959037781,0.0023572396021336317
1057_20231117_140050_frame_610,1057,1,0.3133595883846283,0.6866404414176941
808_20231117_173436_frame_183,808,0,0.9764155745506287,0.023584377020597458
868_20231117_142436_frame_316,868,0,0.9999825954437256,1.740732477628626e-05
627_20231117_165940_frame_406,627,1,0.7382379174232483,0.26176202297210693
1376_20231117_123958_frame_189,1376,0,0.9999926090240479,7.41438998375088e-06
1335_20231117_121441_frame_392,1335,1,0.0018395687220618129,0.9981604218482971
1360_20231117_150535_frame_327,1360,1,0.0449586920440197,0.9550412893295288
1039_20231117_120824_frame_442,1039,1,0.02260533533990383,0.9773946404457092
1300_20231117_130153_frame_223,1300,1,0.002172144828364253,0.9978278279304504
837_20231117_165123_frame_620,837,0,1.0,1.0971772823609172e-08
1057_20231117_140050_frame_629,1057,1,0.5114302635192871,0.4885697066783905
808_20231117_173436_frame_381,808,0,0.04694438353180885,0.9530556201934814
