,cow,filename,volume
0,1003,1003_20231117_163646_frame_1,7.016584323404434
1,1039,1039_20231117_120824_frame_1,6.7464969067013545
2,1040,1040_20231117_172657_frame_190,3.3297948908473542
3,1057,1057_20231117_140050_frame_139,6.388172187456571
4,1116,1116_20231117_141845_frame_109,4.804131547739448
5,1223,1223_20231117_110830_frame_351,2.9542559416196017
6,1236,1236_20231117_142505_frame_10,4.155091054387605
7,1261,1261_20231117_134027_frame_1159,3.0963422870296498
8,1262,1262_20231117_121934_frame_1,6.35717556963288
9,1271,1271_20231117_164614_frame_207,4.82269469170044
10,1281,1281_20231117_111109_frame_188,6.250705545844096
11,1288,1288_20231117_111541_frame_160,5.302112911913741
12,1291,1291_20231117_112153_frame_1,4.058218105439244
13,1293,1293_20231117_112814_frame_1,10.914768644978306
14,1295,1295_20231117_130928_frame_1,3.718231379390751
15,1300,1300_20231117_130153_frame_1,1.2025220516042696
16,1315,1315_20231117_115302_frame_100,5.617730050487615
17,1320,1320_20231117_132737_frame_1,5.738505412134261
18,1325,1325_20231117_113835_frame_147,1.1482090002297893
19,1329,1329_20231117_132115_frame_1,6.823035536579336
20,1335,1335_20231117_121441_frame_1,5.922922810576507
21,1354,1354_20231117_125009_frame_1,4.014921982120153
22,1359,1359_20231117_124049_frame_1,2.844777007794957
23,1360,1360_20231117_150535_frame_1,3.9758954915841613
24,1376,1376_20231117_123958_frame_100,9.869147596990935
25,627,627_20231117_165940_frame_147,4.645753600716745
26,723,723_20231117_175039_frame_101,1.8283687419186267
27,729,729_20231117_112927_frame_1,5.812991064554601
28,736,736_20231117_152813_frame_100,15.08287309628023
29,764,764_20231117_144922_frame_288,9.396794392148909
30,778,778_20231117_140227_frame_1,37.25312200726784
31,785,785_20231117_125124_frame_195,7.230673746966373
32,807,807_20231117_175347_frame_1,2.582851116521316
33,808,808_20231117_173436_frame_10,5.771685917744469
34,837,837_20231117_165123_frame_1,6.106678725129934
35,856,856_20231117_152520_frame_1,2.753017423041637
36,861,861_20231117_122436_frame_1,3.627585688882005
37,868,868_20231117_142436_frame_1,18.22015315726744
38,915,915_20231117_123346_frame_10,9.883976612206558
39,922,922_20231117_141213_frame_1,10.26720920553984
40,924,924_20231117_131101_frame_1,4.327074691014726
41,929,929_20231117_151607_frame_1,5.808235969465166
42,948,948_20231117_135427_frame_1,30.295419631146153
43,970,970_20231117_150812_frame_109,2.0901344303159246
44,973,973_20231117_135700_frame_100,5.586075110415775
45,975,975_20231117_173846_frame_1,9.428210112822489
46,978,978_20231117_170827_frame_1,15.781379456223192
47,981,981_20231117_133039_frame_10,6.925549109369465
