,cow,filename,udder_ecc,lf_ecc,rf_ecc,lb_ecc,rb_ecc
0,1003,1003_20231117_163646_frame_10,0.5981666707772225,0.6680135714391214,0.5632788157081077,0.6304229748918714,0.7402920406608766
1,1003,1003_20231117_163646_frame_101,0.6295449116781959,0.7327076107105532,0.5897563724864384,0.676141057011702,0.7428390223062796
2,1003,1003_20231117_163646_frame_102,0.6104126058757561,0.7187781584277013,0.584219485487205,0.6685289189017474,0.733541678954872
3,1003,1003_20231117_163646_frame_103,0.6047045835827781,0.7152123074900927,0.5571713402599319,0.65580045257208,0.7231518504619266
4,1003,1003_20231117_163646_frame_104,0.5803134390433663,0.7141398839892548,0.5773586933011285,0.6132926900455735,0.6829080003164067
5,1003,1003_20231117_163646_frame_106,0.6075700179687158,0.7194303301591088,0.5670898141301414,0.6476230323099388,0.7265815401225085
6,1003,1003_20231117_163646_frame_107,0.599702516766155,0.695080144960515,0.5621021194018173,0.6600366063232881,0.7171080788057705
7,1003,1003_20231117_163646_frame_108,0.6245365041628389,0.7203543317011222,0.5880474757059679,0.7183263096761294,0.7089724719722955
8,1003,1003_20231117_163646_frame_109,0.6264095888792891,0.6835176456565126,0.584520271506612,0.7091118332005292,0.7259874192851906
9,1003,1003_20231117_163646_frame_11,0.6218446015502263,0.7060959497887223,0.5660332932045469,0.6851701062375191,0.7406072518716879
10,1003,1003_20231117_163646_frame_110,0.6188543168325393,0.6761280288124444,0.5693998523814177,0.6737002628333414,0.7433442965988833
11,1003,1003_20231117_163646_frame_111,0.6204700596953752,0.6861976714946573,0.5833593388116913,0.7056202131431749,0.7261365107875086
12,1003,1003_20231117_163646_frame_112,0.6085359175027131,0.6887588112874058,0.5927580015213083,0.6903110204916231,0.7099165241436073
13,1003,1003_20231117_163646_frame_113,0.6203729332015461,0.6961925135970242,0.5859739152172784,0.6899206996050431,0.7333210536688065
14,1003,1003_20231117_163646_frame_114,0.6077571101715001,0.6936862403851156,0.5621012634213662,0.6365786634117112,0.7582204824511176
15,1003,1003_20231117_163646_frame_115,0.6167922859269254,0.7300226601631715,0.5947250464109619,0.6717162452341845,0.7101243288412987
16,1003,1003_20231117_163646_frame_116,0.5860235997490796,0.7269120789225109,0.5854045436746632,0.6409220091689192,0.6657147162207939
17,1003,1003_20231117_163646_frame_117,0.6169261509778148,0.7098290406224469,0.5829763360001124,0.7163045513670974,0.6879893739397401
