cow,variable,std,mean,cv,std_fg,mean_fg,cv_fg,feature
627,lb,0.09587348650196183,0.6611138378291955,0.145018120958968,3.401839518810603,0.91531535606949,3.7165764741658482,vol
627,lf,0.10733516244325875,2.0979421586749845,0.05116211712483501,5.249058512985179,3.172590997463785,1.6545021142597176,vol
627,rb,0.10356340444256358,0.916593554130914,0.11298727115832626,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
627,rf,0.11444670205205086,2.3141868593039616,0.049454391114498425,7.669339338765424,3.128678100766707,2.451303423284739,vol
627,udder,0.19528093574855415,6.726052503137195,0.02903351344008545,11.06022050003498,8.139819959433979,1.3587795006714225,vol
723,lb,0.10659856602326061,0.5090067370018059,0.20942466626504083,3.401839518810603,0.91531535606949,3.7165764741658482,vol
723,lf,0.6442781340692274,3.087550776421943,0.20866964812020333,5.249058512985179,3.172590997463785,1.6545021142597176,vol
723,rb,0.10876282365250778,0.5548079598327381,0.19603688397927324,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
723,rf,0.6014849126646765,2.2130932088573863,0.27178471754256633,7.669339338765424,3.128678100766707,2.451303423284739,vol
723,udder,0.17044183062785745,5.906679445481755,0.028855777971536094,11.06022050003498,8.139819959433979,1.3587795006714225,vol
729,lb,0.12155537715468026,0.797975126723763,0.15232978207447231,3.401839518810603,0.91531535606949,3.7165764741658482,vol
729,lf,0.254171947175124,5.054307895565114,0.05028818038531968,5.249058512985179,3.172590997463785,1.6545021142597176,vol
729,rb,0.13767047710953598,0.8942751254568347,0.15394644577551891,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
729,rf,0.27743999926070295,4.340180684273344,0.06392360582268096,7.669339338765424,3.128678100766707,2.451303423284739,vol
729,udder,0.3055324774701312,12.074555397022094,0.025303828374954793,11.06022050003498,8.139819959433979,1.3587795006714225,vol
736,lb,0.0,1.29873520811137,0.0,3.401839518810603,0.91531535606949,3.7165764741658482,vol
736,lf,0.0,5.03436496964969,0.0,5.249058512985179,3.172590997463785,1.6545021142597176,vol
736,rb,0.0,0.6768562425063283,0.0,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
736,rf,0.0,1.6843147942303451,0.0,7.669339338765424,3.128678100766707,2.451303423284739,vol
736,udder,0.0,8.529069151065816,0.0,11.06022050003498,8.139819959433979,1.3587795006714225,vol
764,lb,0.11454769830408981,0.771934313553393,0.14839047350648288,3.401839518810603,0.91531535606949,3.7165764741658482,vol
764,lf,0.3680186018709186,1.6743636787106775,0.2197960971981348,5.249058512985179,3.172590997463785,1.6545021142597176,vol
764,rb,0.10314894939971124,0.6644291902634358,0.15524445781621107,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
764,rf,0.641913121670686,1.9332383924802419,0.33204033406720507,7.669339338765424,3.128678100766707,2.451303423284739,vol
764,udder,0.9376067737701443,5.829345529419375,0.16084254553761776,11.06022050003498,8.139819959433979,1.3587795006714225,vol
778,lb,0.05025313607910328,0.7036213145857374,0.07142071315547087,3.401839518810603,0.91531535606949,3.7165764741658482,vol
778,lf,,,,5.249058512985179,3.172590997463785,1.6545021142597176,vol
778,rb,0.061982306962173106,1.296421822248323,0.04781029283715706,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
778,rf,0.49802426996192806,3.5091354288676024,0.14192221419127174,7.669339338765424,3.128678100766707,2.451303423284739,vol
778,udder,0.28334900208791164,7.443659397994447,0.03806582044367245,11.06022050003498,8.139819959433979,1.3587795006714225,vol
785,lb,0.00719973487633746,0.9774858183719342,0.007365564534050309,3.401839518810603,0.91531535606949,3.7165764741658482,vol
785,lf,0.03168587507684517,3.4157690175472926,0.009276351800742473,5.249058512985179,3.172590997463785,1.6545021142597176,vol
785,rb,0.04358404987482867,1.2531299208026683,0.03478015260134539,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
785,rf,0.24991476978544425,5.921939493453124,0.04220150679717891,7.669339338765424,3.128678100766707,2.451303423284739,vol
785,udder,0.24052991922213263,10.780987395718295,0.022310564922621085,11.06022050003498,8.139819959433979,1.3587795006714225,vol
808,lb,0.13840748313603776,0.9561073152324806,0.14476145191126744,3.401839518810603,0.91531535606949,3.7165764741658482,vol
808,lf,0.3938050533096412,1.5172102443210442,0.2595586569387225,5.249058512985179,3.172590997463785,1.6545021142597176,vol
808,rb,0.13916282983326111,1.2788803279845546,0.10881614705308205,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
808,rf,0.3870283421330459,3.0236872224764424,0.12799880201103084,7.669339338765424,3.128678100766707,2.451303423284739,vol
808,udder,0.2176473051263043,7.283966834064757,0.02988032621296932,11.06022050003498,8.139819959433979,1.3587795006714225,vol
837,lb,0.11716823603357478,0.594073972276423,0.1972283612840327,3.401839518810603,0.91531535606949,3.7165764741658482,vol
837,lf,0.8853934566425434,1.2472482613196572,0.7098774831770449,5.249058512985179,3.172590997463785,1.6545021142597176,vol
837,rb,0.24685568047818235,0.9719509647155671,0.25397956217927364,3.8798283284684842,0.9057719361597398,4.2834494794771905,vol
837,rf,,,,7.669339338765424,3.128678100766707,2.451303423284739,vol
837,udder,0.35830704602231633,6.772392399009395,0.052907012014650284,11.06022050003498,8.139819959433979,1.3587795006714225,vol
856,lb,0.13976539877067096,0.6514127177066741,0.21455736888699523,3.401839518810603,0.91531535606949,3.7165764741658482,vol
856,lf,1.0179526224963709,4.0340649611844,0.2523391745772731,5.249058512985179,3.172590997463785,1.6545021142597176,vol
