df,sum_sq,mean_sq,F,PR(>F)
137.0,208066.7906999397,1518.735698539706,13.303907960093532,1.2566116092237224e-279
137.0,56067.52821481637,409.25203076508296,16.193666094786522,0.0
137.0,38063.890172542524,277.8386143981206,4.829193125622848,1.94983969603248e-68
137.0,13948.850888461631,101.81642984278562,9.226287102343854,8.322654745821974e-176
137.0,38585.819355718304,281.6483164650971,20.945621968970254,0.0
137.0,9142050247.739935,66730293.77912361,16.186236235477345,0.0
137.0,2529033348.3882217,18460097.43349067,28.320786142710247,0.0
137.0,600980681.6266996,4386720.303844523,13.947287671139549,4.578536035497949e-296
137.0,1218257725.646889,8892392.15800649,36.62227240935616,0.0
137.0,927262392.0384803,6768338.6280181045,36.215944579967385,0.0
137.0,2660081.945224123,19416.65653448265,504.2726934562156,0.0
137.0,1804903.8981472082,13174.481008373783,540.757927725977,0.0
137.0,4816072.467663476,35153.81363258012,351.5238440788237,0.0
137.0,4269761.159795672,31166.139852523153,345.0799267094423,0.0
137.0,248810.42978326144,1816.134523965412,1989.2933851270898,0.0
137.0,138732.3125031473,1012.6446168112941,384.97156015566253,0.0
137.0,375746.3723420005,2742.6742506715364,1093.4995753868825,0.0
137.0,499798.192932312,3648.161992206657,1533.9598056444356,0.0
137.0,1075545.6767259017,7850.6983702620555,38.462100994251585,0.0
137.0,376642.75622013956,2749.21719868715,13.619900686930944,1.0547085699351443e-287
137.0,518075.4340779729,3781.5725115180503,18.18616373510598,0.0
137.0,557234.9785680608,4067.4086026865753,144.3072338853128,0.0
137.0,255284753.0407155,1863392.357961427,7408.533826916785,0.0
137.0,3986778067650.3623,29100569836.86396,8564.220334126549,0.0
137.0,12.593116668891586,0.09192055962694588,604.5028837279759,0.0
137.0,140.58649568235916,1.0261788006011616,1914.882370951306,0.0
137.0,306504269.1337225,2237257.438932281,2304.1378339669254,0.0
137.0,1274097352066.2502,9299980672.016426,4452.738686360157,0.0
137.0,1845.7685615403896,13.472763222922552,46834.779933551974,0.0
137.0,229.3686833128557,1.6742239657872677,977.2025496914214,0.0
137.0,166350105.78403547,1214234.3487885802,1243.866225611008,0.0
137.0,771010089334.2716,5627810871.053078,2608.3525221996924,0.0
137.0,2072.224596830616,15.12572698416508,49089.27513069597,0.0
137.0,232.2524721033456,1.6952735190025228,1082.360114323251,0.0
137.0,125095487.03811052,913105.7448037264,1158.8061409605318,0.0
137.0,311654535724.5563,2274850625.726688,3198.0561443630468,0.0
137.0,1703.0862235358861,12.43128630318165,30362.74779243413,0.0
137.0,444.5009202377589,3.244532264509189,868.5029124307947,0.0
137.0,106244798.76056363,775509.4800041141,893.4676065002095,0.0
137.0,222256521011.6654,1622310372.3479226,2182.560854816806,0.0
137.0,1639.5083630248866,11.967214328648808,23953.124318182272,0.0
137.0,358.42839761590324,2.616265676028491,731.100180238452,0.0
137.0,1431294.5277709584,10447.405312196777,47.02970418786067,0.0
137.0,806080.2260035358,5883.797270098801,27.95303540332049,0.0
137.0,782983.8625216824,5715.210675340747,49.50069204770761,0.0
137.0,1001483.5703519186,7310.099053663639,59.30245985520729,0.0
