cow,vol_udder,sarea_udder,peri_udder,area_udder,circ_udder,exc_udder,date,begin_time,days_in_milk,device_name,lactation_number,interval_sec,yield,is_incomplete,occ
627,6.742235279216353,2202.840956612092,,,,0.6132253913126017,20231117,2023-11-17 16:58:00,92.0,VMS_1,6,32640.0,21.51,Unchecked,300.0
723,5.866113739301144,1557.547076751207,1074.427019615831,66083.5,,0.7297975116413035,20231117,2023-11-17 17:50:00,35.0,VMS_4,5,31383.0,12.03,Unchecked,
729,,,1238.953931550412,92519.0,0.7564472487338145,0.5485303894984166,20231117,2023-11-17 11:28:00,170.0,VMS_1,5,37676.0,26.79,Unchecked,45.0
736,8.529069151065816,2190.923732283639,,,0.7748559741821262,0.6720688103209851,20231117,2023-11-17 15:28:00,253.0,VMS_2,5,47296.0,22.87,Unchecked,25.0
764,6.316109322081853,,1215.3250352560271,81266.0,,0.5518177359951618,20231117,2023-11-17 14:49:00,164.0,VMS_3,5,32304.0,18.84,Unchecked,
778,7.435423584924918,2315.90990269921,1204.1879502661795,88234.0,0.7680205170631885,0.5767540589850267,20231117,2023-11-17 14:02:00,54.0,VMS_2,5,21352.0,13.87,Unchecked,157.0
785,10.780987395718295,2297.708316845874,1250.427019615831,,0.8029326104261821,0.6662108815548418,20231117,2023-11-17 12:51:00,36.0,VMS_1,5,38855.0,21.77,Unchecked,48.0
808,7.242970408004401,2212.334897742524,,93227.0,,0.6578208929671615,20231117,2023-11-17 17:33:00,29.0,VMS_1,5,31261.0,22.5,Unchecked,20.0
837,6.873320523250293,1884.50930247094,1236.129075763134,88942.0,,,20231117,2023-11-17 16:50:00,254.0,VMS_2,4,38376.0,19.86,Unchecked,11.0
856,11.23319497170679,2058.2220384124707,1092.9919907732865,75569.0,0.7931714269557739,,20231117,2023-11-17 15:24:00,120.0,VMS_1,4,27535.0,19.54,Unchecked,402.0
861,5.331675883438992,1971.5110262189803,1151.8534264870236,81529.0,0.7706274050700515,,20231117,2023-11-17 12:24:00,162.0,VMS_1,4,34988.0,18.78,Unchecked,57.0
868,3.6874457468377497,2171.16327497678,1118.3889603929565,78328.0,0.7872539023443994,0.6142875954584847,20231117,2023-11-17 14:24:00,60.0,VMS_1,4,15383.0,10.84,Unchecked,34.0
