cow,farmname,robotside,filename,directory,date,time,size,computer
1476,laufenberg,right,1476_20231117_171509.bag,videos_1,20231117,17:15:26,1894694464,maria
1478,laufenberg,right,1478_20231117_160449.bag,videos_1,20231117,16:05:06,1965265699,maria
1479,laufenberg,right,1479_20231117_172226.bag,videos_1,20231117,17:22:50,2720326177,maria
1483,laufenberg,right,1483_20231117_163850.bag,videos_1,20231117,16:39:06,1755094899,maria
1486,laufenberg,right,1486_20231117_125458.bag,videos_1,20231117,12:55:20,2309504600,maria
1487,laufenberg,right,1487_20231117_120420.bag,videos_1,20231117,12:04:56,4120310386,maria
1489,laufenberg,right,1489_20231117_165935.bag,videos_1,20231117,17:03:58,20348549877,maria
1495,laufenberg,right,1495_20231117_110027.bag,videos_1,20231117,11:01:08,4694662882,maria
1503,laufenberg,right,1503_20231117_170540.bag,videos_1,20231117,17:06:02,9749305,maria
1504,laufenberg,right,1504_20231117_165817.bag,videos_1,20231117,16:58:34,1853586047,maria
1511,laufenberg,right,1511_20231117_171404.bag,videos_1,20231117,17:14:28,125500272,maria
855,laufenberg,right,855_20231117_170701.bag,videos_1,20231117,17:07:30,14829,maria
1003,laufenberg,left,1003_20231117_163646.bag,videos_2,20231117,16:36:56,1247122535,guilherme
1039,laufenberg,left,1039_20231117_120824.bag,videos_2,20231117,12:08:44,2423789589,guilherme
1040,laufenberg,left,1040_20231117_172657.bag,videos_2,20231117,17:27:30,3490161685,guilherme
1057,laufenberg,left,1057_20231117_140050.bag,videos_2,20231117,14:01:12,2527603715,guilherme
1074,laufenberg,left,1074_20231117_145637.bag,videos_2,20231117,14:56:58,2242570271,guilherme
1084,laufenberg,left,1084_20231117_150625.bag,videos_2,20231117,15:06:38,1537376667,guilherme
1089,laufenberg,left,1089_20231117_134638.bag,videos_2,20231117,13:47:04,2540679858,guilherme
1098,laufenberg,left,1098_20231117_115632.bag,videos_2,20231117,11:56:58,3050667196,guilherme
1100,laufenberg,left,1100_20231117_150524.bag,videos_2,20231117,15:05:40,1776947727,guilherme
1127,laufenberg,left,1127_20231117_144642.bag,videos_2,20231117,14:47:02,2358678106,guilherme
1139,laufenberg,left,1139_20231117_114132.bag,videos_2,20231117,11:41:48,1948637392,guilherme
1144,laufenberg,left,1144_20231117_130218.bag,videos_2,20231117,13:02:40,2575514057,guilherme
1148,laufenberg,left,1148_20231117_163359.bag,videos_2,20231117,16:34:16,1951089212,guilherme
1151,laufenberg,left,1151_20231117_145552.bag,videos_2,20231117,14:56:14,2298155123,guilherme
1153,laufenberg,left,1153_20231117_143046.bag,videos_2,20231117,14:31:04,1999321516,guilherme
1159,laufenberg,left,1159_20231117_171700.bag,videos_2,20231117,17:17:16,1888747555,guilherme
1163,laufenberg,left,1163_20231117_164620.bag,videos_2,20231117,16:46:38,2196197082,guilherme
1164,laufenberg,left,1164_20231117_151515.bag,videos_2,20231117,15:15:32,1855576094,guilherme
1168,laufenberg,left,1168_20231117_111157.bag,videos_2,20231117,11:12:32,4127507981,guilherme
1170,laufenberg,left,1170_20231117_170106.bag,videos_2,20231117,17:01:24,2144290019,guilherme
