cow,filename,udder_ecc,udder_circ,lf_ecc,rf_ecc,lb_ecc,rb_ecc,lf_circ,rf_circ,lb_circ,rb_circ
1003,1003_20231117_163646_frame_10,0.5981666707772221,0.7774627633854994,0.6680135714391209,0.5632788157081078,0.6304229748918717,0.740292040660877,3.578877409162339e-05,1.1242367375472798e-05,2.225286593414224e-05,3.526879699624335e-05
1003,1003_20231117_163646_frame_101,0.6295449116781954,0.7877766547982011,0.7327076107105528,0.5897563724864382,0.676141057011702,0.7428390223062794,3.416042496575168e-05,1.1609471919562009e-05,2.1973047767277504e-05,3.326161018496385e-05
1003,1003_20231117_163646_frame_102,0.6104126058757554,0.7755023865136738,0.7187781584277013,0.5842194854872053,0.6685289189017473,0.733541678954872,3.664831393431398e-05,1.19062003834171e-05,2.2979138778950477e-05,3.4242608548964084e-05
1003,1003_20231117_163646_frame_103,0.6047045835827781,0.7708180425434142,0.7152123074900926,0.5571713402599319,0.6558004525720799,0.7231518504619269,3.7806196411135074e-05,1.1875284322403531e-05,2.1710495355577985e-05,3.6430496458851475e-05
1003,1003_20231117_163646_frame_104,0.5803134390433655,0.7682015251201286,0.7141398839892547,0.577358693301129,0.6132926900455737,0.6829080003164065,3.417150934598861e-05,1.168144772990426e-05,2.3658956444843958e-05,3.663981473846483e-05
1003,1003_20231117_163646_frame_106,0.6075700179687157,0.75669773893567,0.7194303301591088,0.5670898141301416,0.6476230323099387,0.7265815401225083,3.466936647520562e-05,1.171708024573129e-05,2.3626828890537348e-05,3.5979907782057765e-05
1003,1003_20231117_163646_frame_107,0.5997025167661553,0.7737518415292761,0.6950801449605153,0.5621021194018179,0.6600366063232879,0.7171080788057702,3.4141289144932875e-05,1.2115289439379548e-05,2.4379607418078768e-05,3.2182508256666806e-05
1003,1003_20231117_163646_frame_108,0.624536504162838,0.7661140928996486,0.7203543317011218,0.5880474757059673,0.7183263096761294,0.7089724719722953,3.79858257597753e-05,1.1892230153208141e-05,2.1906302981315868e-05,3.3330560738770135e-05
1003,1003_20231117_163646_frame_109,0.6264095888792884,0.7748810840853244,0.6835176456565127,0.5845202715066125,0.7091118332005288,0.7259874192851902,3.661559822956144e-05,1.1632809347625021e-05,2.1688074668307124e-05,3.3554323664649665e-05
1003,1003_20231117_163646_frame_11,0.6218446015502269,0.7916388000827648,0.7060959497887219,0.5660332932045471,0.6851701062375186,0.740607251871688,3.9293343352493164e-05,1.114623287017838e-05,2.286934591562186e-05,3.395372123969611e-05
1003,1003_20231117_163646_frame_110,0.6188543168325394,0.7709640197563767,0.6761280288124443,0.5693998523814179,0.673700262833341,0.7433442965988835,3.6459144963487236e-05,1.1595231764299912e-05,2.1811489410088243e-05,3.261010614485163e-05
1003,1003_20231117_163646_frame_111,0.6204700596953737,0.7635444940894579,0.6861976714946576,0.5833593388116907,0.7056202131431744,0.7261365107875086,3.802790984104643e-05,1.1498469223238554e-05,2.3064708211673057e-05,3.33932726117114e-05
1003,1003_20231117_163646_frame_112,0.6085359175027129,0.7725481157127925,0.6887588112874055,0.5927580015213088,0.690311020491623,0.7099165241436072,3.544561097190246e-05,1.15681762262758e-05,2.2038897619122787e-05,3.300155859770399e-05
1003,1003_20231117_163646_frame_113,0.6203729332015462,0.7881349091563782,0.6961925135970247,0.5859739152172783,0.6899206996050433,0.7333210536688063,3.789371474056597e-05,1.1758180460636994e-05,2.2627237796150303e-05,3.21370109055484e-05
1003,1003_20231117_163646_frame_114,0.6077571101715004,0.7791746223248591,0.6936862403851154,0.562101263421367,0.6365786634117109,0.7582204824511177,3.526148702253112e-05,1.18191084488181e-05,2.2681268884379302e-05,3.288382709982211e-05
1003,1003_20231117_163646_frame_115,0.6167922859269254,0.7616088540253377,0.7300226601631721,0.5947250464109632,0.6717162452341842,0.7101243288412988,3.789830868460102e-05,1.1842122732740926e-05,2.182211927669606e-05,3.498588056029291e-05
1003,1003_20231117_163646_frame_116,0.5860235997490789,0.774841785518432,0.7269120789225106,0.5854045436746635,0.6409220091689188,0.6657147162207939,3.773221715518308e-05,1.1835261304012498e-05,2.4019489196433276e-05,3.404768190606022e-05
1003,1003_20231117_163646_frame_117,0.6169261509778133,0.7665157929117327,0.7098290406224467,0.5829763360001122,0.7163045513670971,0.68798937393974,3.80075125016193e-05,1.184342697599649e-05,2.2082572430072842e-05,3.404118141294883e-05
1003,1003_20231117_163646_frame_118,0.6191981227513604,0.7746812217606178,0.717168193644803,0.5666918781230524,0.6757242391634782,0.7380815733029688,3.977964946243149e-05,1.193116158023647e-05,2.1863005539949986e-05,3.4003455435092105e-05
1003,1003_20231117_163646_frame_119,0.6154387999410138,0.7626661232645849,0.6923778729749372,0.5746436985012627,0.666498902740112,0.7439119804820724,3.467855016982393e-05,1.1917684374259765e-05,2.3254030208861506e-05,3.474083840579483e-05
1003,1003_20231117_163646_frame_12,0.5986587461221831,0.7890657087772466,0.6813401176364168,0.5498598767017938,0.6471829364028953,0.7488021109772801,3.647163631950316e-05,1.2107809652467859e-05,2.4387003258092e-05,3.2259366321324495e-05
