,cow,filename,udder_ecc,lf_ecc,rf_ecc,lb_ecc,rb_ecc
0,1084,1084_20231117_150625_frame_318,0.6669751133219775,0.6885488831929559,0.8226011075555818,0.6098034178229575,0.7414493113883415
1,1504,1504_20231117_165817_frame_430,0.6503300523897334,0.5040693837854859,0.354490239586985,0.8593370186703242,0.776819759147934
2,1432,1432_20231117_133858_frame_685,0.6708644281403339,0.7486742072917437,0.7365631558798547,0.8083264811840866,0.6672359709237295
3,1470,1470_20231117_145926_frame_796,0.5820428916279139,0.7553459947203618,0.7353409951792215,0.7949315130660117,0.5594828019389261
4,1061,1061_20231117_120831_frame_19,0.4750283508674121,0.6742763042357683,0.6226081937803996,0.6124774618900934,0.7426146221544548
5,1233,1233_20231117_132057_frame_1025,0.5822959831498374,0.6197434244494315,0.7338335917762007,0.5428905011862636,0.6636736159782584
6,1276,1276_20231117_144729_frame_103,0.6313035240050152,0.7356568719627358,0.867530174821624,0.47837516353727066,0.6305059667973142
7,1231,1231_20231117_134357_frame_606,0.3780999114902635,0.5160465499968457,0.7883925024404589,0.388769441930911,0.6805290790919905
8,1399,1399_20231117_142847_frame_2,0.6254438065945408,0.7854746876414125,0.668469898611382,0.8378374713315941,0.5610352842107842
9,1233,1233_20231117_132057_frame_770,0.5466294100928019,0.6489767824964087,0.7320934062687791,0.4497154433505548,0.5704743925123661
10,1399,1399_20231117_142847_frame_377,0.6257482950074429,0.7130225427977532,0.6503972955815277,0.8139599322057015,0.6235466020630515
11,1061,1061_20231117_120831_frame_264,0.4552063368722138,0.6453968256287974,0.5992686434266116,0.5561474193106959,0.7554737901014977
12,1486,1486_20231117_125458_frame_477,0.6504615751493076,0.6156345624386022,0.620794709759451,0.774344433675595,0.7555029242604747
13,1389,1389_20231117_152844_frame_194,0.46504699584602416,0.7036000221379466,0.6890824451435495,0.6236333983036663,0.5229743272877518
14,1144,1144_20231117_130218_frame_385,0.681762535036274,0.7029666514600217,0.8688898519865418,0.23821725747855177,0.7864056795350785
15,1442,1442_20231117_144458_frame_1038,0.6312539088333562,0.6955427186096914,0.6368989231748404,0.6992065791674259,0.6956917335730599
16,1159,1159_20231117_171700_frame_61,0.6049358451649823,0.5791549900470181,0.8063226049822505,0.4687889329660789,0.7887188227598362
17,1399,1399_20231117_142847_frame_90,0.5738962623647409,0.741858991472069,0.6541009769723322,0.7698205308723829,0.4801514840546003
18,1442,1442_20231117_144458_frame_330,0.651178610898435,0.6945235292281494,0.6641501765099608,0.7409234235928885,0.722018111079345
19,1233,1233_20231117_132057_frame_166,0.5603802772876154,0.604010964203064,0.7559890809689043,0.5252170322122165,0.7176491673230191
