                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.55007,                 1.2235,                0.34742,                  1.034,                0.99984,                      1,                  0.995,                 0.8887,                0.99984,                      1,                  0.995,                  0.821,                0.50711,                 1.1829,                0.30391,                 1.0774,              0.0015446,              0.0015446,              0.0015446
                     26,                0.55473,                 1.2213,                0.35043,                 1.0408,                0.99992,                      1,                  0.995,                0.89699,                0.99992,                      1,                  0.995,                0.83141,                0.47609,                 1.0788,                 0.2656,                 1.0479,              0.0015248,              0.0015248,              0.0015248
                     27,                 0.5326,                 1.1842,                 0.3363,                 1.0264,                      1,                0.99944,                  0.995,                0.87863,                      1,                0.99944,                  0.995,                0.81232,                0.51578,                 1.2421,                0.30803,                 1.0946,               0.001505,               0.001505,               0.001505
                     28,                0.53885,                 1.1776,                0.34399,                 1.0312,                0.98691,                0.99839,                0.99476,                0.89386,                0.98478,                0.99735,                0.99475,                 0.8205,                0.51428,                 1.2329,                 0.2859,                 1.0898,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.5374,                 1.2042,                0.33349,                 1.0236,                0.99865,                      1,                  0.995,                0.88289,                0.99865,                      1,                  0.995,                0.81403,                0.52141,                 1.2371,                0.27432,                 1.0912,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.5315,                 1.1729,                0.32978,                 1.0252,                0.99991,                      1,                  0.995,                 0.8951,                0.99991,                      1,                  0.995,                0.83336,                0.46914,                 1.0861,                0.24584,                 1.0514,              0.0014456,              0.0014456,              0.0014456
                     31,                0.53749,                 1.1809,                0.34015,                 1.0337,                0.99983,                      1,                  0.995,                0.88074,                0.99983,                      1,                  0.995,                0.82089,                 0.4957,                 1.1747,                0.28027,                 1.0778,              0.0014258,              0.0014258,              0.0014258
                     32,                0.53833,                 1.1849,                0.33279,                  1.032,                0.94348,                0.92861,                0.98083,                0.82621,                0.93679,                0.92848,                0.97943,                0.75437,                0.70371,                 1.3142,                0.42207,                 1.2734,               0.001406,               0.001406,               0.001406
                     33,                0.52968,                 1.1647,                0.32898,                 1.0217,                0.98654,                0.99868,                0.99457,                0.88929,                0.98261,                 0.9947,                0.99414,                0.82556,                0.51952,                  1.102,                0.27363,                 1.1076,              0.0013862,              0.0013862,              0.0013862
                     34,                0.50753,                 1.1373,                0.31217,                 1.0111,                0.99983,                      1,                  0.995,                0.89674,                0.99983,                      1,                  0.995,                0.83262,                0.49836,                 1.1369,                0.26501,                 1.0795,              0.0013664,              0.0013664,              0.0013664
                     35,                0.50798,                 1.1323,                0.31642,                 1.0157,                0.99307,                0.94958,                0.97963,                0.85732,                0.99307,                0.94958,                0.97633,                0.78465,                 0.5746,                 1.3793,                0.36121,                 1.1395,              0.0013466,              0.0013466,              0.0013466
                     36,                0.52232,                 1.1484,                0.31658,                 1.0203,                0.99987,                      1,                  0.995,                0.91021,                0.99987,                      1,                  0.995,                0.83933,                0.45661,                 1.1023,                0.23845,                 1.0366,              0.0013268,              0.0013268,              0.0013268
                     37,                0.50846,                 1.1323,                0.30569,                 1.0088,                0.99991,                      1,                  0.995,                0.90896,                0.99991,                      1,                  0.995,                0.82283,                0.45545,                 1.1487,                 0.2385,                 1.0207,               0.001307,               0.001307,               0.001307
                     38,                0.52016,                 1.1258,                0.31329,                 1.0107,                0.99977,                      1,                  0.995,                0.90636,                0.99977,                      1,                  0.995,                0.83852,                0.46731,                 1.1206,                0.24248,                 1.0449,              0.0012872,              0.0012872,              0.0012872
                     39,                0.51502,                 1.1154,                0.31208,                 1.0099,                 0.9999,                      1,                  0.995,                0.90058,                 0.9999,                      1,                  0.995,                0.83711,                0.45025,                 1.0807,                0.23041,                 1.0341,              0.0012674,              0.0012674,              0.0012674
                     40,                0.51037,                 1.1253,                0.31151,                 1.0074,                0.99989,                      1,                  0.995,                0.90451,                0.99989,                      1,                  0.995,                0.83659,                0.46723,                 1.1064,                0.25236,                  1.045,              0.0012476,              0.0012476,              0.0012476
                     41,                    0.5,                 1.1037,                0.30376,                 1.0056,                0.99986,                      1,                  0.995,                 0.8962,                0.99986,                      1,                  0.995,                0.83306,                0.51291,                 1.1686,                0.24703,                 1.0914,              0.0012278,              0.0012278,              0.0012278
                     42,                0.51313,                 1.1244,                0.30829,                 1.0122,                0.99991,                      1,                  0.995,                 0.9016,                0.99991,                      1,                  0.995,                0.83702,                0.44854,                 1.0456,                0.23159,                 1.0269,               0.001208,               0.001208,               0.001208
                     43,                0.49199,                 1.0912,                0.29618,                 0.9987,                0.99991,                      1,                  0.995,                0.91375,                0.99991,                      1,                  0.995,                 0.8404,                0.43509,                 1.1023,                0.21729,                 1.0188,              0.0011882,              0.0011882,              0.0011882
                     44,                0.49966,                 1.0906,                0.30523,                 1.0026,                0.99785,                0.99868,                  0.995,                0.88915,                0.99785,                0.99868,                  0.995,                0.80592,                0.47914,                 1.2543,                0.27652,                 1.0539,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.4851,                 1.0778,                0.29217,                0.99678,                0.99991,                      1,                  0.995,                0.91883,                0.99991,                      1,                  0.995,                0.84078,                0.43881,                 1.0933,                0.23507,                 1.0088,              0.0011486,              0.0011486,              0.0011486
                     46,                0.49023,                 1.0739,                0.29602,                0.99487,                0.99992,                      1,                  0.995,                0.91361,                0.99992,                      1,                  0.995,                0.85012,                0.44443,                 1.0969,                0.22723,                 1.0196,              0.0011288,              0.0011288,              0.0011288
                     47,                0.48518,                 1.0879,                0.29218,                0.99529,                0.99992,                      1,                  0.995,                0.91285,                0.99992,                      1,                  0.995,                0.85236,                0.43732,                 1.0784,                0.22477,                 1.0159,               0.001109,               0.001109,               0.001109
                     48,                0.49018,                 1.0818,                0.29565,                 1.0025,                0.99691,                      1,                0.99484,                0.90424,                0.99691,                      1,                0.99484,                0.83756,                0.45135,                 1.1086,                0.22966,                 1.0319,              0.0010892,              0.0010892,              0.0010892
                     49,                0.49337,                 1.0895,                0.28984,                0.99961,                0.99992,                      1,                  0.995,                0.90723,                0.99992,                      1,                  0.995,                0.83302,                0.42948,                 1.1045,                  0.225,                0.98198,              0.0010694,              0.0010694,              0.0010694
                     50,                0.48675,                  1.072,                 0.2848,                 0.9893,                0.99992,                      1,                  0.995,                0.91521,                0.99992,                      1,                  0.995,                0.84492,                0.44113,                  1.061,                0.21926,                 1.0091,              0.0010496,              0.0010496,              0.0010496
                     51,                0.48179,                 1.0724,                0.28951,                0.99372,                0.99989,                      1,                  0.995,                0.90848,                0.99989,                      1,                  0.995,                0.83175,                0.44201,                 1.0615,                0.22502,                 1.0309,              0.0010298,              0.0010298,              0.0010298
                     52,                0.47499,                 1.0448,                0.27848,                0.98623,                0.99992,                      1,                  0.995,                0.91471,                0.99992,                      1,                  0.995,                0.84756,                0.43798,                 1.0183,                 0.2283,                 1.0216,                0.00101,                0.00101,                0.00101
                     53,                0.47164,                 1.0327,                0.27453,                 0.9858,                0.99987,                      1,                  0.995,                 0.9027,                0.99987,                      1,                  0.995,                 0.8418,                0.45102,                 1.0621,                0.24561,                 1.0369,              0.0009902,              0.0009902,              0.0009902
                     54,                0.47327,                 1.0394,                0.27964,                0.99234,                0.99992,                      1,                  0.995,                0.90501,                0.99992,                      1,                  0.995,                0.84004,                0.46883,                 1.1073,                0.24286,                 1.0468,              0.0009704,              0.0009704,              0.0009704
                     55,                0.47726,                 1.0527,                0.28299,                0.98665,                0.99991,                      1,                  0.995,                0.91063,                0.99991,                      1,                  0.995,                0.84277,                0.43849,                 1.0781,                0.21797,                 1.0153,              0.0009506,              0.0009506,              0.0009506
                     56,                0.47005,                 1.0431,                 0.2791,                 0.9842,                0.99992,                      1,                  0.995,                0.90841,                0.99992,                      1,                  0.995,                0.85031,                0.45094,                  1.042,                0.22904,                 1.0405,              0.0009308,              0.0009308,              0.0009308
                     57,                0.47329,                 1.0373,                0.28572,                0.98728,                0.99992,                      1,                  0.995,                0.91158,                0.99992,                      1,                  0.995,                 0.8492,                0.45552,                 1.0607,                0.23321,                  1.043,               0.000911,               0.000911,               0.000911
