cow,farmname,robotside,filename,date,time,size
1023,laufenberg,left,1023_20231117_124217.bag,20231117,12:42:40,2538080096
1061,laufenberg,left,1061_20231117_120831.bag,20231117,12:08:56,2831195622
1081,laufenberg,left,1081_20231117_112916.bag,20231117,11:29:56,4575010918
1102,laufenberg,left,1102_20231117_114115.bag,20231117,11:41:32,1791811749
1198,laufenberg,left,1198_20231117_115055.bag,20231117,11:51:26,3406363225
1207,laufenberg,left,1207_20231117_131640.bag,20231117,13:17:10,763412914
1245,laufenberg,left,1245_20231117_130459.bag,20231117,13:05:34,4000658516
1258,laufenberg,left,1258_20231117_123257.bag,20231117,12:34:18,9656435272
1259,laufenberg,left,1259_20231117_125126.bag,20231117,12:51:52,2887850461
1282,laufenberg,left,1282_20231117_121652.bag,20231117,12:17:14,2518137301
1319,laufenberg,left,1319_20231117_122525.bag,20231117,12:25:54,3337742803
904,laufenberg,left,904_1274_20231117_105454.bag,20231117,10:55:24,3491345791
921,laufenberg,left,921_20231117_104851.bag,20231117,10:49:00,913513850
935,laufenberg,left,935_20231117_115800.bag,20231117,11:58:34,3849093180
962,laufenberg,left,962_20231117_111426.bag,20231117,11:14:44,1989201859
