cow,farmname,robotside,filename,date,time,size
0764,laufenberg,right,0764_20231117_144922.bag,20231117,14:49:54,3807979957
0902,laufenberg,right,0902_20231117_142952.bag,20231117,14:30:30,4303784100
0970,laufenberg,right,0970_20231117_150812.bag,20231117,15:08:38,2800097357
0973,laufenberg,right,0973_20231117_135700.bag,20231117,13:57:48,5620008570
1116,laufenberg,right,1116_20231117_141845.bag,20231117,14:19:42,6708885177
1223,laufenberg,right,1223_20231117_110830.bag,20231117,11:09:04,3923648168
1223,laufenberg,right,1223_20231117_152133.bag,20231117,15:21:58,2975593953
1223,laufenberg,right,1223_20231117_152630.bag,20231117,15:26:56,3051376574
1223,laufenberg,right,1223_20231117_160714.bag,20231117,16:07:28,1424044502
1223,laufenberg,right,1223_20231117_162703.bag,20231117,16:27:16,1396124589
1236,laufenberg,right,1236_20231117_142505.bag,20231117,14:25:42,4112333268
1261,laufenberg,right,1261_20231117_134027.bag,20231117,13:41:08,4774026248
1262,laufenberg,right,1262_20231117_121934.bag,20231117,12:19:56,2376087276
1271,laufenberg,right,1271_20231117_164614.bag,20231117,16:46:48,3830368406
1281,laufenberg,right,1281_20231117_111109.bag,20231117,11:11:42,3761340170
1288,laufenberg,right,1288_20231117_111541.bag,20231117,11:16:00,2187082098
1291,laufenberg,right,1291_20231117_112153.bag,20231117,11:22:08,1539712713
1293,laufenberg,right,1293_20231117_112814.bag,20231117,11:28:30,1615495334
1295,laufenberg,right,1295_20231117_130928.bag,20231117,13:09:54,2950439772
1300,laufenberg,right,1300_20231117_130153.bag,20231117,13:02:18,2673278482
1315,laufenberg,right,1315_20231117_115302.bag,20231117,11:53:22,2169905035
1320,laufenberg,right,1320_20231117_132737.bag,20231117,13:27:56,2100876705
1325,laufenberg,right,1325_20231117_113835.bag,20231117,11:39:10,3976722262
1329,laufenberg,right,1329_20231117_132115.bag,20231117,13:21:44,3289467287
1332,laufenberg,right,1332_20231117_133858.bag,20231117,13:39:42,5073168173
1335,laufenberg,right,1335_20231117_121441.bag,20231117,12:15:02,2274830396
1354,laufenberg,right,1354_20231117_125009.bag,20231117,12:50:36,3074085101
1359,laufenberg,right,1359_20231117_124049.bag,20231117,12:41:10,2313493159
1360,laufenberg,right,1360_20231117_150535.bag,20231117,15:06:16,4731782740
1360,laufenberg,right,1360_20231117_151517.bag,20231117,15:15:40,2583492344
1376,laufenberg,right,1376_20231117_123958.bag,20231117,12:40:18,2186674284
1380,laufenberg,right,1380_20231117_130025.bag,20231117,13:01:12,5469666155
1389,laufenberg,right,1389_20231117_152844.bag,20231117,15:29:02,1930591495
1396,laufenberg,right,1396_20231117_122138.bag,20231117,12:22:06,3238838847
1397,laufenberg,right,1397_20231117_114638.bag,20231117,11:47:12,3825157020
1399,laufenberg,right,1399_20231117_142847.bag,20231117,14:29:08,2508932550
1401,laufenberg,right,1401_20231117_141034.bag,20231117,14:11:02,3094027896
1404,laufenberg,right,1404_20231117_130822.bag,20231117,13:08:42,2224522034
1409,laufenberg,right,1409_20231117_164140.bag,20231117,16:41:58,1922614377
1410,laufenberg,right,1410_20231117_140610.bag,20231117,14:06:42,3662848928
1412,laufenberg,right,1412_20231117_131754.bag,20231117,13:18:24,3499318009
1414,laufenberg,right,1414_20231117_120922.bag,20231117,12:09:38,1751106340
1417,laufenberg,right,1417_20231117_165013.bag,20231117,16:50:36,2516909668
1419,laufenberg,right,1419_20231117_132922.bag,20231117,13:30:06,5013747602
1422,laufenberg,right,1422_20231117_144116.bag,20231117,14:41:40,2683206319
1423,laufenberg,right,1423_20231117_135006.bag,20231117,13:51:04,6751536499
1424,laufenberg,right,1424_20231117_143759.bag,20231117,14:38:24,2719918363
1434,laufenberg,right,1434_20231117_124532.bag,20231117,12:46:00,3131555568
1441,laufenberg,right,1441_20231117_162056.bag,20231117,16:21:14,1909425873
1442,laufenberg,right,1442_20231117_144458.bag,20231117,14:45:54,6416497543
1443,laufenberg,right,1443_20231117_161630.bag,20231117,16:16:46,1822900402
1456,laufenberg,right,1456_20231117_163305.bag,20231117,16:33:20,1560878335
1457,laufenberg,right,1457_20231117_145604.bag,20231117,14:56:44,4533897695
1458,laufenberg,right,1458_20231117_135837.bag,20231117,13:58:52,1749883513
1460,laufenberg,right,1460_20231117_115153.bag,20231117,11:52:24,3450232474
1461,laufenberg,right,1461_20231117_123203.bag,20231117,12:32:30,3078888673
1462,laufenberg,right,1462_20231117_134845.bag,20231117,13:49:12,3107216400
1463,laufenberg,right,1463_20231117_141744.bag,20231117,14:18:06,2397252898
1468,laufenberg,right,1468_20231117_113916.bag,20231117,11:41:04,12744797771
1468,laufenberg,right,1468_20231117_114137.bag,20231117,11:41:58,2188625003
1470,laufenberg,right,1470_20231117_145926.bag,20231117,14:59:58,3786494257
1471,laufenberg,right,1471_20231117_161255.bag,20231117,16:13:10,1583586862
1472,laufenberg,right,1472_20231117_122932.bag,20231117,12:29:52,2189847830
1473,laufenberg,right,1473_20231117_105808.bag,20231117,10:58:30,2461069842
1475,laufenberg,right,1475_20231117_162805.bag,20231117,16:28:20,1683300837
1476,laufenberg,right,1476_20231117_171509.bag,20231117,17:15:26,1894694464
1478,laufenberg,right,1478_20231117_160449.bag,20231117,16:05:06,1965265699
1479,laufenberg,right,1479_20231117_172226.bag,20231117,17:22:50,2720326177
1483,laufenberg,right,1483_20231117_163850.bag,20231117,16:39:06,1755094899
1486,laufenberg,right,1486_20231117_125458.bag,20231117,12:55:20,2309504600
1487,laufenberg,right,1487_20231117_120420.bag,20231117,12:04:56,4120310386
1489,laufenberg,right,1489_20231117_165935.bag,20231117,17:03:58,20348549877
1495,laufenberg,right,1495_20231117_110027.bag,20231117,11:01:08,4694662882
1503,laufenberg,right,1503_20231117_170540.bag,20231117,17:06:02,9749305
1504,laufenberg,right,1504_20231117_165817.bag,20231117,16:58:34,1853586047
1511,laufenberg,right,1511_20231117_171404.bag,20231117,17:14:28,125500272
