cow,lp_group,area,back_eu,back_geo,front_eu,front_geo,lb_area,lb_circ,lb_ecc,lb_vol,lb_vol2,lf_area,lf_circ,lf_ecc,lf_vol,lf_vol2,rb_area,rb_circ,rb_ecc,rb_vol,rb_vol2,rf_area,rf_circ,rf_ecc,rf_vol,rf_vol2,udder_circ,udder_ecc,volume,volume2,farmname,robotside,filename,directory,date,time,size,computer,begin_time,end_time,yield,device_name,conductivity_lf,conductivity_lr,conductivity_rf,conductivity_rr,mean_flow_lf,mean_flow_lr,mean_flow_rf,mean_flow_rr,yield_lf,yield_lr,yield_rf,yield_rr,occ(*1000_cells/ml),peak_flow_lf,peak_flow_lr,peak_flow_rf,peak_flow_rr,interval,quarters_num,num_videos,birth_date,age_in_days,last_calving_date,days_in_milk,lactation_number,total_kick-offs_last_7d,peak_occ_current_lactation,latest_lifetime_daily_yield,total_lifetime_yield,type,avg._occ_last_9_milkings,avg._flow_last_7_days,avg._yield_per_milking_last_7d,total_yield_in_lactation,peak_yield,peak_yield_day,peak_occ_current_lactation.1
627,l,0.2148928086970246,0.0958553295275756,0.1615899751095602,0.278990314766715,0.3028057365453772,0.0374411903416142,1.6970800834743435e-05,0.5964904116659961,0.6748488406901443,0.6665002842059443,0.0635569703541285,6.764086473497702e-06,0.7338506011428519,1.6273331071325754,1.5404993244953915,0.0365462292369054,1.604139445543352e-05,0.5410328310509861,0.8491233270346662,0.8032462868453536,0.0689337459942939,7.086337004861471e-06,0.7179313689693573,1.9088125012072668,1.7647611051169452,0.7383460631185293,0.6132253913126012,5.04744218944973,4.876354681217313,laufenberg,left,627_20231117_165940.bag,videos_2,20231117,17:00:22,3723942237,guilherme,11/17/2023 4:58 PM,5:06 PM,47.42,VMS_1,4.38,4.28,4.34,4.22,3.44,4.37,3.84,4.37,8.66,13.91,10.34,14.51,300.0,5.03,5.69,5.03,6.08,09:04:00,4.0,1,4/17/2016,2771,8/17/2023,93.0,6,0.0,1425.0,52.9,146679.0,Tank,257.0,16.77,52.31,10674.56,,,1425.0
723,l,0.1328258163836392,0.057775476425953,0.0695140720626542,0.2118470512020933,0.2933875045523209,0.0170288805096665,3.848349439314989e-05,0.8336812562441964,0.1064730607348106,0.1012137959430051,0.0404631381396066,1.4146083879777828e-05,0.7014000413167043,0.310201843489493,0.3036803321686371,0.0179359151976848,8.818673118915264e-05,0.8490110553600645,0.2418340485040215,0.2453963867142858,0.0403759864721533,1.9496657415790905e-05,0.6517313406883947,0.4285693664702413,0.4082437543199354,0.7176545415795311,0.7297975116413034,1.1624141512682828,1.1472032832400925,laufenberg,left,723_20231117_175039.bag,videos_2,20231117,17:50:54,1788923592,guilherme,11/17/2023 5:50 PM,5:55 PM,26.52,VMS_4,4.06,4.08,4.07,3.74,3.84,4.23,3.84,3.84,6.28,6.83,6.7,6.7,,4.89,5.42,5.03,4.89,08:43:03,4.0,1,10/30/2016,2575,10/13/2023,36.0,5,0.0,771.0,55.5,143015.0,Tank,183.0,15.46,44.25,2819.82,,,771.0
729,l,0.2797744729093139,0.0749704608873763,0.1406623333303268,0.1267630524762006,0.2807108151635603,0.0243905391202928,4.849342271829124e-05,0.6673429390977008,0.3375276379607922,0.341504684144416,0.1236379870646428,6.693072442279914e-06,0.7955050951595994,2.594424767618581,2.5375238521878734,0.0314719149404369,4.52471122082091e-05,0.5720975758748682,0.3728575334754366,0.3665382835658833,0.0979341134220589,9.770709371865173e-06,0.7716935718759708,2.0298346637695914,2.014843541881433,0.7564472487338145,0.5485303894984166,5.369982191370422,5.287137300428763,laufenberg,left,729_20231117_112927.bag,videos_2,20231117,11:29:44,1984574488,guilherme,11/17/2023 11:28 AM,11:40 AM,59.06,VMS_1,5.04,5.1,5.13,5.09,2.38,2.38,2.65,2.65,14.22,13.16,16.8,14.88,45.0,3.31,3.17,3.84,3.7,10:27:56,4.0,1,11/26/2016,2548,5/31/2023,171.0,5,0.0,280.0,55.8,142180.0,Tank,65.0,9.99,58.78,22536.23,160.46,130.0,280.0
736,l,0.2078378419977331,0.0723042510817512,0.1415065308442362,0.1068459270928287,0.1805336549312898,0.0504374623497478,2.085484221797657e-05,0.4014668483593896,1.0755280935844955,0.994475311432528,0.0964997306317269,4.456848956010851e-06,0.5979462175024198,2.156340747275175,2.048557301401133,0.0343979842473922,3.445449495973448e-05,0.7019224717265035,0.4929025739513455,0.4865261332412022,0.0403540496950304,2.002602680544797e-05,0.8496230280600117,0.4944577466315298,0.5029330163238168,0.7748559741821262,0.6720688103209851,4.110153331021229,3.919429001841365,laufenberg,left,736_20231117_152813.bag,videos_2,20231117,15:28:38,3003974335,guilherme,11/17/2023 3:28 PM,3:38 PM,50.42,VMS_2,5.05,4.74,5.25,4.87,1.85,2.25,2.12,2.25,9.39,14.22,12.48,14.33,25.0,2.51,2.78,2.91,3.17,13:08:16,4.0,1,12/11/2016,2533,3/9/2023,254.0,5,0.0,268.0,49.2,124545.0,Tank,20.0,7.38,31.55,24435.58,120.36,60.0,268.0
764,l,0.1586199191446816,0.0989524100342337,0.1459704207841652,0.2626931615925807,0.3318246211598563,0.0059603589773356,3.9557591509240014e-05,0.6282878524065508,0.0316940999018777,0.0501589207232038,0.0465831224167791,1.1155630341424166e-05,0.7188602326332175,0.6661990871446852,0.6512026989026725,0.0052455692462311,6.396845303921173e-05,0.7405721667864784,0.0284213971927573,0.0501555345250657,0.0602294172775487,1.017094686348269e-05,0.7189633174612244,0.7374455760803268,0.735209404127329,0.6967592497382711,0.5518177359951618,1.6536056611498997,1.6263927549294994,laufenberg,right,0764_20231117_144922.bag,videos_1,20231117,14:49:54,3807979957,maria,11/17/2023 2:49 PM,2:58 PM,41.54,VMS_3,4.29,4.25,4.36,6.13,2.51,2.65,2.51,1.32,12.85,14.97,11.84,1.87,,3.97,3.57,3.84,2.51,08:58:24,4.0,1,3/6/2017,2448,6/6/2023,165.0,5,0.0,1180.0,45.1,110525.0,Tank,,9.31,36.63,17444.06,124.27,42.0,1180.0
778,l,0.2629601988199503,0.0791181290443854,0.1710541768278386,0.186624890359426,0.3028745593223632,0.036222943238774,4.0312721303048895e-05,0.680045653905601,0.7190492857428028,0.6813440514959264,0.0903488075045997,1.3302844219728272e-05,0.815846994762806,1.5392838990284752,1.4561497404071908,0.0488931534460455,1.591685296993153e-05,0.3881614602526525,1.0848697703034875,1.0853228159348958,0.097853722049314,1.2923772871078884e-05,0.5771193156678636,0.9188490576021396,0.9435264889066328,0.7680205170631885,0.5767540589850267,4.171623245228891,4.050109909821681,laufenberg,left,778_20231117_140227.bag,videos_2,20231117,14:02:50,2623424255,guilherme,11/17/2023 2:02 PM,2:09 PM,30.58,VMS_2,,4.4,4.51,4.73,,3.97,3.31,2.12,,12.43,9.04,9.11,157.0,,5.16,4.37,2.91,05:55:52,3.0,1,5/3/2017,2390,9/24/2023,55.0,5,0.0,5360.0,46.3,110691.0,Tank,119.0,8.69,30.22,4219.3,,,5360.0
785,l,0.2203197744343506,0.1129432935486368,0.1751900422424604,0.1693803526119254,0.2582441919211059,0.0345888424588985,4.020828912336295e-05,0.7151364480992923,0.7254037434337265,0.7340005977814311,0.0738517978403912,1.2084846125721223e-05,0.7994861531505193,1.222037246353115,1.2279610746952472,0.04156843219156,1.923751077507814e-05,0.4452540616082024,1.1635769210256224,1.144521547880903,0.08481874785631,7.06116066194418e-06,0.6794266488720138,1.9124183010790756,1.9020340425557032,0.802932610426182,0.6662108815548418,4.8240043120694125,4.800437808330821,laufenberg,left,785_20231117_125124.bag,videos_2,20231117,12:52:10,3899807561,guilherme,11/17/2023 12:51 PM,1:01 PM,47.99,VMS_1,3.85,3.82,3.79,3.76,1.85,1.85,1.98,2.51,10.1,12.24,12.41,13.25,48.0,2.78,2.65,2.91,3.57,10:47:35,4.0,1,5/26/2017,2367,10/12/2023,37.0,5,0.0,477.0,45.5,107783.0,Tank,89.0,8.75,34.07,3478.3,,,477.0
808,l,0.2139106955390972,0.1524561440827731,0.2147745684070142,0.3102569669141957,0.3498099498255631,0.0433442864522368,2.583877211534783e-05,0.7519851481051016,1.0244176505738034,0.9522402371376312,0.0409660818014774,2.644561771709506e-05,0.7618332332590085,0.9404622472776984,0.9441343704027512,0.0553158790468165,1.6526867573016253e-05,0.4418282599332987,1.502966508674778,1.4016819250993513,0.0767564147647974,7.290045739095952e-06,0.6083965136274264,1.5055489148542385,1.5349380763911846,0.5700005915163449,0.6578208929671618,5.013641696206264,4.803642653876602,laufenberg,left,808_20231117_173436.bag,videos_2,20231117,17:35:00,2216033154,guilherme,11/17/2023 5:33 PM,5:44 PM,49.6,VMS_1,4.38,4.35,4.34,4.42,1.85,2.65,1.32,2.78,10.71,15.08,7.67,16.14,20.0,2.91,3.7,1.98,3.84,08:41:01,4.0,1,7/10/2017,2322,10/19/2023,30.0,5,0.0,885.0,48.0,111462.0,Tank,42.0,8.56,35.55,3246.4,,,885.0
837,l,0.1636732310042934,0.1145590559168108,0.1591178574767441,0.158262297966636,0.1440211048709597,0.0269332604407204,4.119750465112012e-05,0.6956179081438565,0.6530286901667492,0.6795982278827053,0.025028876969217,5.149248300241765e-05,0.8599985014390916,0.6766053266369834,0.6366829051778511,0.0259933368501519,1.905913469677471e-05,0.4400731562761671,0.4998907639605482,0.5550117709739093,0.0833973468331907,5.6887764433113285e-06,0.6577979114700161,1.6520591612457465,1.6075754558167696,0.7286131985460762,0.7930524491889229,3.2984666598036103,3.278617583194199,laufenberg,left,837_20231117_165123.bag,videos_2,20231117,16:51:50,3083835871,guilherme,11/17/2023 4:50 PM,4:58 PM,43.78,VMS_2,4.38,4.33,,4.13,3.57,2.78,,3.97,14.88,12.35,,16.56,11.0,4.76,3.57,,5.29,10:39:36,3.0,1,8/22/2017,2279,3/8/2023,255.0,4,0.0,320.0,50.7,115432.0,Tank,18.0,9.61,37.27,26867.56,125.56,63.0,320.0
856,l,0.200632473610465,0.1060225080355419,0.1757526990812542,0.2594557214298307,0.3098017112872018,0.0203708802283123,9.686387415970144e-05,0.6255082258678285,0.370580683564228,0.3541200421923005,0.0681297790052131,1.3070840802285851e-05,0.7800222814561322,1.4172258037860466,1.3939306533360178,0.0313139049381517,5.119775996671216e-05,0.4565456559514911,0.5674599796336427,0.5670858860060762,0.0872656703940884,9.25602576636728e-06,0.6876688050738238,1.5089115754109257,1.503122743271492,0.7931714269557739,0.4418776400794074,3.777432878478333,3.750599854534184,laufenberg,left,856_20231117_152520.bag,videos_2,20231117,15:25:36,1875540319,guilherme,11/17/2023 3:24 PM,3:32 PM,43.08,VMS_1,3.98,4.08,4.07,4.29,2.65,3.44,3.31,2.91,10.6,13.07,10.01,9.39,402.0,3.57,4.76,5.16,4.23,07:38:55,4.0,1,10/10/2017,2230,7/20/2023,121.0,4,0.0,5345.0,43.6,97313.0,Tank,634.0,11.75,41.14,14404.39,135.11,58.0,5345.0
