                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.84454,                0.69499,                0.24715,                0.60923,                 1.3586,                0.98117,                0.98146,                0.97953,                0.85484,                0.99971,                      1,                  0.995,                0.76272,                0.57393,                0.87659,                 0.0186,                0.36443,                 1.0963,               0.001604,               0.001604,               0.001604
                     23,                0.84692,                0.68296,                0.25233,                0.61135,                 1.3724,                0.12412,                0.27534,                0.15665,                0.07416,                 0.1475,                0.37086,                0.20556,                0.07859,                 2.6736,                 2.5718,                0.24152,                 2.7741,                 3.2464,              0.0015842,              0.0015842,              0.0015842
                     24,                0.83196,                0.67806,                0.24995,                0.59376,                  1.355,                0.97042,                0.97616,                 0.9802,                0.82387,                0.94202,                0.94702,                0.95095,                 0.6926,                0.59498,                0.98466,                0.05123,                0.45456,                 1.1358,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.8061,                0.68409,                0.24123,                0.58951,                 1.3326,                0.61473,                0.72053,                0.68862,                 0.4434,                0.76239,                0.80265,                0.83721,                0.36042,                 1.2327,                 2.1354,                0.05209,                 1.5615,                 1.7088,              0.0015446,              0.0015446,              0.0015446
                     26,                0.81739,                 0.6262,                0.23944,                0.59811,                 1.3444,                0.36927,                0.19603,                0.18182,                0.02765,                0.72313,                0.36821,                0.62095,                0.20916,                 3.6157,                 2.9341,                 0.4945,                 2.5884,                 4.2594,              0.0015248,              0.0015248,              0.0015248
                     27,                0.80613,                0.65329,                 0.2388,                0.59063,                 1.3336,                0.81402,                0.78808,                0.86866,                 0.5685,                0.79129,                0.77351,                0.85263,                0.53097,                  1.213,                 1.6871,                0.10747,                 1.1033,                 1.5979,               0.001505,               0.001505,               0.001505
                     28,                 0.7979,                 0.5925,                0.23721,                0.56868,                 1.3222,                0.98145,                0.98096,                0.98958,                0.87732,                0.99867,                0.99814,                0.99436,                0.76359,                0.54326,                0.71541,                 0.0116,                0.33942,                  1.067,              0.0014852,              0.0014852,              0.0014852
                     29,                0.80976,                0.58136,                0.23374,                0.58702,                  1.329,                0.01785,                0.37351,                 0.0137,                0.00241,                 0.0417,                0.87285,                0.05513,                0.01765,                 4.1909,                 3.5226,                0.67065,                 3.1713,                 5.8025,              0.0014654,              0.0014654,              0.0014654
                     30,                0.80178,                 0.5688,                 0.2376,                0.58408,                  1.322,                0.90985,                0.90901,                0.93426,                0.73535,                0.94291,                0.95099,                0.97628,                0.64814,                0.86261,                 1.1022,                0.11595,                0.60956,                 1.2977,              0.0014456,              0.0014456,              0.0014456
                     31,                0.78581,                0.54766,                0.23074,                0.57269,                 1.3213,                  0.976,                0.97881,                 0.9717,                0.81601,                0.98934,                0.99205,                0.99472,                0.75044,                0.68666,                0.87037,                 0.1271,                0.47893,                 1.2119,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.7719,                0.54902,                0.23759,                0.56372,                 1.3117,                 0.9617,                0.96437,                0.98137,                0.87235,                0.98019,                0.98291,                0.99426,                0.74232,                0.58409,                 0.8778,                0.04935,                0.44273,                 1.1215,               0.001406,               0.001406,               0.001406
                     33,                0.77189,                0.52001,                0.22918,                 0.5614,                 1.3114,                 0.8931,                 0.9457,                0.97043,                0.81799,                0.92032,                0.94853,                0.98498,                0.70531,                0.71224,                 1.0693,                0.02115,                 0.4762,                 1.1964,              0.0013862,              0.0013862,              0.0013862
                     34,                0.77387,                 0.5479,                0.23831,                 0.5614,                 1.3084,                0.92284,                0.98013,                0.98361,                0.87134,                0.93781,                0.99603,                0.99185,                0.74631,                0.56219,                0.92467,                0.07803,                0.42302,                 1.1073,              0.0013664,              0.0013664,              0.0013664
                     35,                0.77982,                0.54375,                0.23393,                0.56519,                 1.3224,                0.93783,                0.95497,                0.97925,                0.83228,                0.92352,                 0.9404,                0.95729,                0.72008,                0.63933,                  1.081,                0.03934,                0.48658,                 1.1913,              0.0013466,              0.0013466,              0.0013466
                     36,                0.75083,                0.49788,                0.22234,                0.53997,                 1.2952,                 0.5758,                 0.2463,                0.29416,                0.10503,                0.59317,                 0.2974,                0.39779,                0.16053,                 2.6037,                 2.4228,                0.39812,                 2.5722,                 3.1842,              0.0013268,              0.0013268,              0.0013268
                     37,                0.75426,                0.48257,                0.22079,                0.54664,                  1.292,                0.96482,                0.98067,                0.97856,                0.86373,                0.95961,                0.97542,                0.97483,                 0.7576,                0.57054,                0.90027,                0.06032,                0.43748,                 1.1467,               0.001307,               0.001307,               0.001307
                     38,                0.77518,                0.51375,                0.22357,                0.56568,                 1.3046,                0.90264,                0.63856,                0.76559,                0.48546,                0.84991,                0.61503,                0.73989,                 0.3399,                 1.3785,                 2.1834,                0.14397,                 1.5334,                 1.9659,              0.0012872,              0.0012872,              0.0012872
                     39,                0.74124,                0.48096,                 0.2179,                0.54555,                 1.2783,                0.98133,                0.98146,                0.98702,                0.85356,                 0.9906,                0.99073,                0.99388,                0.74889,                0.66151,                0.87804,                0.01991,                0.35793,                 1.1517,              0.0012674,              0.0012674,              0.0012674
                     40,                0.74022,                0.43902,                 0.2064,                0.53228,                 1.2802,                0.96275,                0.97086,                0.98114,                0.87166,                0.97589,                0.98411,                 0.9921,                 0.7217,                0.53567,                0.95048,                0.01606,                0.35969,                 1.0488,              0.0012476,              0.0012476,              0.0012476
                     41,                0.75253,                0.45745,                0.20859,                0.53029,                 1.2801,                0.97487,                0.98146,                0.98622,                0.86705,                0.99197,                0.99868,                0.99467,                0.82036,                0.53788,                0.64118,                0.03756,                0.31541,                 1.0584,              0.0012278,              0.0012278,              0.0012278
                     42,                0.74335,                0.44974,                0.22064,                0.54434,                 1.2778,                0.98024,                0.98146,                 0.9773,                0.88914,                0.99215,                0.99338,                 0.9938,                0.79855,                0.46412,                0.72031,                0.02611,                0.32635,                 1.0143,               0.001208,               0.001208,               0.001208
                     43,                0.72131,                0.46452,                0.21439,                0.52546,                  1.261,                0.95841,                0.98146,                0.98096,                0.90753,                0.97522,                0.99868,                0.99205,                0.80817,                0.43658,                0.63864,                 0.0198,                 0.3264,                0.97056,              0.0011882,              0.0011882,              0.0011882
                     44,                0.71306,                0.44526,                0.21408,                0.52294,                 1.2626,                0.83831,                0.70464,                0.78753,                0.55466,                0.81363,                0.76291,                0.88752,                0.61701,                 1.3912,                 1.4674,                0.05452,                  1.108,                  1.712,              0.0011684,              0.0011684,              0.0011684
                     45,                0.72953,                 0.4425,                0.21642,                0.53622,                 1.2826,                0.97735,                0.98146,                0.97325,                0.87938,                0.97867,                0.98278,                0.98416,                0.82232,                0.52219,                0.66023,                0.04368,                0.32557,                 1.0272,              0.0011486,              0.0011486,              0.0011486
                     46,                0.73167,                0.40552,                0.20118,                0.54203,                 1.2752,                0.94536,                0.98013,                0.96909,                0.89222,                0.96197,                0.99735,                0.99041,                0.85265,                 0.4285,                0.49692,                0.04995,                0.35338,                0.97849,              0.0011288,              0.0011288,              0.0011288
                     47,                0.71964,                0.42465,                0.21154,                0.52075,                 1.2639,                0.98007,                0.98146,                0.98208,                0.87962,                0.99726,                0.99868,                 0.9948,                0.81047,                0.50477,                 0.6573,                0.04078,                0.32525,                 1.0594,               0.001109,               0.001109,               0.001109
                     48,                0.71442,                0.41722,                0.20122,                0.54102,                 1.2641,                0.97647,                0.98146,                0.97512,                0.89245,                 0.9936,                0.99868,                0.99444,                0.85222,                0.48753,                0.54313,                0.03097,                0.34177,                 1.0335,              0.0010892,              0.0010892,              0.0010892
                     49,                0.70698,                0.40184,                0.20788,                0.51729,                  1.257,                0.95882,                0.97219,                0.97772,                0.84704,                0.97617,                0.99205,                0.99426,                0.61308,                0.63224,                 1.3279,                0.03562,                0.44952,                 1.2025,              0.0010694,              0.0010694,              0.0010694
                     50,                0.72262,                0.40191,                0.20448,                0.52119,                 1.2597,                0.98066,                0.98146,                0.98412,                0.88397,                0.99787,                0.99868,                0.99425,                0.86625,                 0.5104,                0.51699,                0.01628,                0.29915,                 1.0188,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70841,                0.39358,                0.20665,                0.51824,                 1.2587,                0.97857,                0.98146,                0.97668,                 0.8398,                0.99178,                 0.9947,                0.99132,                0.84528,                0.65499,                0.58519,                0.04782,                0.43901,                  1.173,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.6901,                0.36372,                 0.1983,                0.50731,                 1.2385,                0.96836,                0.97281,                0.98181,                0.84945,                0.95125,                0.95621,                0.95142,                0.74204,                0.62652,                0.92009,                0.04546,                0.38961,                 1.1419,                0.00101,                0.00101,                0.00101
