cow,udder_vol,lf_vol,rf_vol,lb_vol,rb_vol,udder_sarea,lf_sarea,rf_sarea,lb_sarea,rb_sarea,front_eu,back_eu,right_eu,left_eu,front_gd,back_gd,right_gd,left_gd,udder_peri,udder_area,udder_circ,udder_exc,lf_peri,lf_area,lf_circ,lf_exc,rf_peri,rf_area,rf_circ,rf_exc,lb_peri,lb_area,lb_circ,lb_exc,rb_peri,rb_area,rb_circ,rb_exc,lf_len,rf_len,lb_len,rb_len
627,6.742235279216353,2.08510631166118,2.320265345254639,0.6552868320050121,0.9071178414489716,2202.840956612092,676.5268689653107,710.6061570859031,388.7589496912815,340.6577636652304,21.157402313683235,7.202212202694377,25.65268627278495,25.37141512442472,30.321760860050155,16.136207370738035,24.223363067354747,25.251423838625985,,,,0.614121871853345,794.4345955666558,37490.0,0.7436501370680205,0.7154964519438514,843.9320702497141,,0.7042170167198458,0.7394856659282536,603.58787847868,,0.7536537437493516,0.5401290991085821,,,0.7180003140774548,0.6008904409386939,37.9912880217919,41.33752857926118,42.07860192883262,36.35894193696292
723,5.866113739301144,3.1890805444924606,1.988038194899747,0.49710514035337605,0.5656731096536407,1557.547076751207,620.0122917343565,569.9620400835297,259.22454206675616,183.28607865843648,18.25296692989638,8.338149488361504,23.470440778754064,24.9587839004586,29.622597765369992,10.958275286794978,22.155553429444673,27.626364307625508,1074.2051942088826,66114.5,,0.7274539718513864,550.58787847868,18434.5,0.770561832768168,0.6354696600738994,703.7452557384356,25791.0,0.6650536247616525,0.7080203513769305,509.6553749530773,12375.5,0.6037186835426085,0.8429609075769269,477.78279195104676,8966.5,,0.8154591421419135,46.12646842271553,47.95609353894011,32.71643131669937,
729,,5.068294819683003,4.3552399113274465,0.7862205369564672,0.8917709889907725,,,998.0564467304475,255.7104930395109,319.3654715454892,11.203797684211057,6.701473465086672,,,27.67296232023104,15.052288019482525,,30.868048735933076,1239.0249993622774,92486.5,0.7564082788836594,0.5482087900648037,706.5492962455423,30142.0,0.7593067754684031,0.7710864712060441,843.4401692108024,,0.7035851309265194,0.7952149319428474,462.7381130634992,11435.5,0.6700332063734205,0.5717812551684198,422.1076477383248,10422.0,0.7400371916943961,0.6648801467156444,,60.75767733413044,48.85914444282572,37.34396331886726
736,8.529069151065816,5.03436496964969,1.6843147942303451,1.29873520811137,0.6768562425063283,2190.923732283639,1036.3295233890185,415.8562929743927,525.5301346354646,338.0782652352972,7.646200802459988,5.309199591043318,20.31687772173973,23.34899765394938,,13.655454720861597,24.46275676718084,26.5112982593059,,,,0.6412490262556668,,,,0.6024910917167507,648.8599564173221,19188.0,,0.8865343524177227,589.303607231218,,0.7190372477233954,0.5490092275792964,445.3147545195113,9557.0,0.6056159164457643,,,,51.872414640929485,49.51513503422193
764,6.316109322081853,1.7885401110468158,2.2410999024513547,0.7526631747386819,0.685145842834421,,825.0745674242472,901.3991458617088,567.4141391963512,496.7090248361201,19.35014288310948,8.04084158318124,18.95928541073646,19.18417712880961,34.36316546895329,19.62834072978254,26.75191793544685,26.839284296839043,1211.9108216936545,80918.0,,0.559735827730548,671.2457787486989,26434.0,0.7479881338451588,0.7166557489681721,775.7249634685276,31295.0,0.6481895866534381,0.7128283707830285,502.97875144394015,12841.0,0.6448917384691318,0.6240276716768914,452.2680733252853,9417.0,0.5819457720099893,0.7354503332764736,43.87571564762485,44.013406186447526,37.06692210895625,37.68155934105507
778,7.435423584924918,,3.614294372543637,0.7097279923415352,,2315.90990269921,,926.517180022672,262.656756463319,484.39657260997,17.16426513790581,7.016351032964699,23.443658436564643,18.474241158919437,30.20553988331133,17.245280011955245,26.87008658924696,22.689413902748843,1204.773736703807,88318.0,0.7674757040558919,0.5819290471652531,,,,,667.286363288515,25218.0,0.706000075396684,0.8146624668932526,623.1858582251266,,0.7221775733366711,0.3693943513885107,473.0609665440988,12205.0,0.6913708039900901,0.6846722444820319,,51.08553979459057,37.501897332969165,48.711823096977646
785,10.780987395718295,3.4157690175472926,,0.9774858183719342,,2297.708316845874,749.1467344760651,962.37811785993,326.2551790712155,415.2572624986611,14.160583644435945,9.506399305856643,22.305628383626555,22.341626887743224,25.833499893155093,17.705230949349286,24.405169567894927,24.517338007256328,1281.66966030295,,0.758247952348037,0.6633811174107564,,40001.0,,0.661712597966013,691.7066735052981,26469.0,0.6952515768393841,0.7968681493739105,573.2442097179091,,0.7451396370097316,0.39997169349175277,498.8980156401965,12429.5,0.6282161151667207,0.7378390100587681,52.174959191871274,28.688924242328092,,46.132609236192096
808,7.242970408004401,1.4475014862533775,3.0907106972747997,0.9230036988973276,,2212.334897742524,410.46794474762106,861.8199783837933,384.06611330929127,575.7604412388857,,11.913791072034014,26.99567245679224,27.70735244320492,,21.85859188198432,26.853497921512265,24.807867094284813,,92220.0,,0.6651285554099251,755.9493141924172,36186.0,0.7927669784646222,0.6088934667524377,687.0853531617383,16744.0,,0.7747732386457856,,,0.6914624100491725,0.4258971069620025,,,0.6205028996725278,0.7507100951114064,28.89559658097081,50.73415967519728,41.79782534733376,42.10772880625591
837,6.873320523250293,1.0307375644084014,,0.5730137977664274,0.9206898011482372,1884.5093024709397,211.4059979778244,,265.8355919918391,402.8295183133992,13.354007916566024,11.42719813715652,24.074682708270284,8.980102200819983,,16.06035355445334,23.010139912863952,,1236.7148622007608,88666.0,,,,,,0.7094563113921072,,,,,570.475180106472,18415.0,0.7421069971641842,0.506233505261881,448.492424049175,11263.0,0.6986528149559835,0.7217405388683077,,,41.07023851125552,40.634171524737575
856,11.23319497170679,3.6744881329354286,,0.6128348021055787,0.9278605362711588,2058.2220384124707,703.3954193996293,919.53877344236,206.5494080704725,312.64214394411647,19.08161640671914,7.592793380395634,25.90735866237601,22.94154872115852,31.308422615121607,18.190442060972583,26.71557214493393,23.581326478742238,1092.2640687119283,75697.0,0.7986342006997659,,818.98484809835,33337.0,,0.689144858131656,662.4579361637687,25131.0,0.7154648708343071,0.7852938334195813,414.08430714121175,10014.0,0.740967795238413,0.4760886047933252,355.072113832392,6846.0,0.6784151158857016,0.6585439796234097,40.518919694209735,49.80289146398727,41.11284649087455,45.05121911865516
861,5.331675883438992,1.0915359379997749,2.1664506708930187,0.5543118524237931,1.0018970137520453,1971.5110262189805,559.6984434850801,687.0617466774206,330.3871331550307,466.9897710783388,,,20.44466967029726,16.789938732452562,32.537714942502,,22.648694845963945,19.0310074554027,1151.7026688919411,81318.0,0.7713425792854874,0.4710806347544675,741.3041302414814,31148.0,0.7161613017647445,,653.4076836320746,23334.5,0.6877255708443538,0.8099526168010249,526.7680733252854,16707.5,0.7848396613822859,0.3717673846328694,450.38939366884495,8919.5,0.5427719983184791,0.6996794820593777,,41.968146402682244,39.958132919916025,44.99335136091243
868,3.6874457468377497,1.0700032059378155,1.5750682506504068,0.2116212905592581,0.2544221485497115,2171.16327497678,518.394535717976,811.2499448438166,295.40207900407813,558.8554566568627,11.789797962382911,,20.41614597200981,21.482727557974652,23.407448138473047,15.415835682064415,18.417248267630622,20.616050594143395,1118.3889603929565,78635.0,0.7872539023443994,0.6234864152938793,675.6295090390227,27690.0,0.7536237166226255,,547.0437226013956,17833.0,0.7439289472615661,0.7092920154326147,,,0.7087000607089111,0.6375472639998574,537.286363288515,12088.0,,0.8389523325021483,40.18083082591196,42.78900776235057,,
915,9.792705874956512,2.8442650175007067,,0.4524218855543686,0.8615618523332288,2299.151506814079,669.1974054602504,,273.62779392238394,321.71147788702274,13.69037511507744,4.923760943808084,20.00231931276135,19.174941128956146,26.36801663028639,9.906912580413472,22.500001421237684,24.3951308787612,1202.0788232314399,86773.5,0.7546190665135066,0.5631899942788512,822.2782643274268,39942.5,0.7407438478034601,0.6701819511827245,710.2183438038544,26810.5,0.6671900640909854,0.8551171904211952,476.2797436238418,11484.0,0.6380813909747519,0.46526691457658764,395.88329701443513,7834.5,0.6420508925142923,0.7279722947185814,49.3856053885968,26.314124510576633,25.62785620105612,28.866701301436727
922,8.601103631203488,3.2113051233790237,3.626638453112314,1.1254354989744455,,2022.0019788969096,746.5668592377747,671.339537142287,421.33467153962994,382.4993514193302,17.208546493111086,11.013353847094292,27.067146843419405,26.37305855057305,26.072582220672317,15.408389244491946,28.569114146425186,26.20867832373127,1169.193000900063,86260.0,0.7950155847502539,0.7409806160598778,643.4873734152917,26165.0,0.7923166352217589,0.5944880195009761,729.0853531617383,25964.0,0.6094883600186588,0.7987466085439764,588.866053071732,15079.0,0.5453977302779922,0.899337543963142,,,0.5517133629039634,0.7293053708609127,49.03638087657906,37.28573443571096,35.036812114882764,40.459731901238406
924,7.167880402618325,2.001940133615786,3.1628571241553374,0.5720798767499161,0.5147622781119061,2269.217125935047,859.5217008908786,961.8333717225906,225.97400623020692,231.68311100634216,17.3378889149269,7.95445591412674,26.003438305030723,23.428836892922515,28.91628773817954,16.83288655882231,26.56800478443263,23.60293103986955,,,0.7571369228927307,,820.3929650063131,39402.0,0.7350689563164309,0.7783306121794957,822.4995667241114,,0.7401030599930088,0.7716497239303314,443.39801564019655,10536.0,0.6773737342137965,0.4284831404917307,444.8772003600252,9836.0,0.625909984094236,0.6394755851327891,39.54599066012607,47.681355467527126,33.203703263168954,38.70623201731338
929,10.4904108095976,3.3397637006299896,,0.5117459110573052,0.8271905858987857,2178.960033487541,749.6091047694105,994.3342392288904,248.28255762496605,407.193504737163,20.94030789453016,,21.348085369351686,21.454584277418984,26.84003877564759,17.252819567474493,20.321884878096583,20.011263770756205,1223.6021638285529,94098.0,0.7897866422947412,0.7043531354012,852.7716446627536,38671.0,0.6467567682400713,0.7282494065307602,726.3340905032675,29016.0,0.7164631963444044,0.8425629533302678,593.9777054234136,17225.0,0.5748884940605541,0.6730035957611264,463.4041122946064,9316.0,0.5917155775999411,0.8055481531018792,40.15059879944857,40.31691114070814,24.849285393773325,25.323067459001624
948,7.68978655666896,3.4908576050779736,2.352787633937922,0.7575071156125437,0.6376713412046938,2146.896311341257,1002.823454093082,619.8948506438703,235.33203627882347,292.5808782375732,14.749507924023389,6.533942980890216,19.88075247616482,19.65561983375239,28.12663396149216,12.889143907385767,24.75648345006834,23.31316093928808,1232.773736703807,93687.0,0.7742775178995024,0.5654722552290271,708.8538597629123,27312.0,0.6893839949608218,0.8345374681509161,841.0975464705581,,0.7604392842303968,0.6905367058134919,511.9371208835975,11332.0,0.5337646626381629,0.4213844545720075,443.3980156401966,11074.0,0.700969302469478,0.7255521802021431,45.68733989473824,44.712906893656594,41.09340280971736,38.74788230924782
962,,5.573957541887206,4.085820276402695,1.1114116428574283,1.092560294833564,,,804.5705321533461,,,17.81899546480697,,19.782035178265044,21.64846066170968,33.57345374640323,,,29.70357006484138,1219.6437943888957,91825.0,0.7747024483411966,0.5963755089260108,852.4173516239526,40222.0,0.69746011405273,0.6393726931073498,621.3574311003805,22633.0,0.7364511621625883,0.7597342027347302,542.5107140124046,15590.0,0.6643836185118361,,505.2741699796952,12677.0,0.6235820375688348,0.7222363281825958,42.45733244970958,,37.86215491334518,
970,7.735401341832796,2.908092363447279,2.653856817416541,1.0606427124055091,0.7601906295264247,2716.3523138241244,1038.4784944778248,674.4819442130042,634.9315196276326,368.0182796313537,18.763854876190464,11.030369569239664,,,32.29523732141835,19.954367534079807,,30.675897277902887,1271.4427842621187,96563.0,0.7550991682229587,0.5519107698988757,656.2985565973347,23977.0,0.7026718404275866,0.7018734503179707,771.4467888754755,,0.8115020902737407,0.583023478941725,503.95436482630055,13126.0,0.6554251252291988,0.7579953429193315,,,0.6408271544539462,,42.40862406819539,27.08357081462455,41.13288910333603,42.797343218722496
973,7.9032030313469805,3.1162206902555125,3.4324262991757166,0.5493639149430752,0.6784749507365329,2378.1314088448107,928.3825262829738,824.5399192638231,421.15882647570913,299.86356290399453,19.026044168353923,6.599191701194783,19.29959678976626,19.258364302971557,28.04071743902086,16.28243107336352,21.934791939703672,22.057541606676523,1257.7615433949868,,0.7684338615624815,0.57181876326666,823.1686142824235,36964.0,0.6868698261893498,0.8002568019833356,833.7422074112308,,0.6832856603278934,0.8213932690571311,414.492424049175,9746.0,0.7167675173013537,0.613197988650547,450.99242404917504,11961.5,0.73527435943048,0.5141738377295111,47.598347196940885,45.523440707560184,43.59285235071188,43.26245555195166
975,11.329727554177397,4.061254841019691,4.497130566232105,0.5981876347326104,,2345.576145813686,764.6529573370026,866.9215091733408,201.94125011526856,522.8688195963326,17.426366215865926,10.055748433357842,18.900792155559042,18.43109449864173,27.9978857502268,19.10720531538092,23.30560018854895,20.634345348530253,1063.414826307011,70015.0,0.7795204709812887,0.6331095872411406,636.9340725563925,24572.5,0.7562828409356388,0.5398384543975259,695.3305191657993,22539.0,,0.8763675441221643,516.250306372319,15729.0,0.750985899197318,0.4913592573475117,340.47770542341357,6446.5,0.7106181605986364,0.8282468888505683,40.070520327875094,51.90904688455142,44.780587893708194,50.47820297744517
978,9.282221791981208,3.92960109012564,3.7856969355611847,0.495034730609976,0.6030190971635931,2329.8353111903484,862.2069502439631,761.7001049254272,295.6849142815602,391.1963602392472,12.377457723198276,3.732499387020692,25.14872109074975,24.39014313625757,25.85099948696432,13.06487107822879,27.17587707873618,26.90106140417801,1114.146319705837,74084.0,0.7520086255098385,0.621620048264043,646.2152954766494,25432.0,0.7659449685794343,0.6417703111457816,686.2508293825822,25933.0,0.6914190957970089,0.8007088907121651,460.1848122046001,12432.0,0.736993711528071,0.6878892264183913,419.1909088590101,9862.0,0.7060273486398038,0.5798845504546788,48.73751937607994,49.80492381256856,38.03420617057248,37.63615368861807
981,,3.721668358940743,,0.9585248235702142,,2247.1139337534114,695.1482421062622,923.0045049129058,311.9956766593186,372.9337358824522,15.854730216093655,8.981211015084982,21.953492142202354,22.737644799166986,27.74608696846898,15.732033092987317,27.397267686260214,26.921500346279807,1059.2224381515862,70132.0,0.7850426732113546,0.6155963549644472,684.7508293825822,28703.5,0.7674260219421822,0.6653380966885307,598.5315292925759,20275.5,0.7130143970896778,0.7948205921910725,471.43354954612926,11416.0,0.6440792416116657,0.5257530224561464,431.906637611548,9160.5,0.6202423534066316,0.8032294487426916,55.53393088974154,50.84456438935465,45.34517713825906,48.24607727141685
1003,10.06582782525184,,4.318849541528791,,1.2253937258091043,2076.7686716724297,,729.1054242611136,548.6400145577716,421.6658320400945,14.381238417654863,8.377529630118584,17.4694007539971,16.192878765129617,25.81939785542068,16.213415554747257,22.20640568766928,23.15049998881412,1078.1879502661798,72341.0,0.7827078664005366,0.6148389120904227,,,,,659.263022691402,26544.0,0.7669063918229689,0.5679685582953634,598.4224022578361,18222.0,0.6442916122491021,0.6658128140174024,548.683332908185,14574.0,0.6126796868697933,0.7471916474442878,,50.51075723489027,44.19726068738706,41.43281360248666
1023,5.71478345746605,1.621161904286881,1.6999280746746497,1.0399279237305148,0.9185184466962032,1950.0882188323585,590.2414754879745,618.2521601280478,416.5172867456369,402.92971799759954,17.495512389638932,7.698302997872322,24.10803913562395,24.84622095816886,28.64552057449493,15.524940001808584,25.09615224441089,25.734496954674825,1004.38181771802,63911.0,0.7941578568742836,0.5876525285966997,527.3208511739211,16527.0,0.7492618138444672,0.6323527359062887,569.5756851698602,19119.0,0.7423722898661563,0.67467262596326,508.048773235279,14489.0,0.7043066244200418,0.6629297396322987,505.469083452062,13280.0,0.6548864219593112,0.5773820304935847,48.38712135075683,44.50049484184829,36.84477649421559,37.68154813458375
1039,9.720605832513108,5.853701690322871,2.4506819101752058,0.875638226851545,0.49322375271251084,2301.1379069740647,991.7686037457337,689.7217038995896,341.85754388757437,328.3437635620745,11.877169269695091,6.321640977639208,25.722219919332076,,23.855536710790602,14.526130101836596,26.773506659549412,28.01029476347182,1165.7321061434639,82923.5,0.7663227670353865,0.6265263436259544,900.902109987928,38672.5,,0.6907547352267271,623.7655480083437,21903.0,0.7037565948922581,0.8061806441476937,495.4279759019827,12161.0,0.6334825228162924,0.5645695637141301,401.93050121892435,9274.0,0.7199560707575308,0.6513047783952899,59.037217106399915,43.91494569529489,28.51954455778832,38.58022093302992
1040,5.914194747655145,1.9963671616248204,1.5045882669855746,1.0201825390475363,0.9735146992155173,2003.3658911860891,623.8577372337853,539.1885833045964,395.0971014372748,487.2676088372723,,11.244531490105404,23.78040709245812,23.789317337629694,34.328626354527856,17.005706008859043,24.6032631712796,26.085398225205463,,,0.7670347402650148,0.6821659821341417,736.5290039756342,30833.0,0.7237627154741023,0.6863376411740553,739.2569260369921,30778.0,0.7167902989246999,0.7401752154675022,,,0.6673692157564654,0.7225796818617994,,,0.681435836705096,0.7092796509162141,42.26634698456398,26.780318131198957,38.11732913951595,38.10511530176927
1057,10.363165039897758,4.2871202359985014,3.224397157983806,0.9599491296743154,1.019022040284697,2668.743554736726,581.5308029485781,,405.28985728254474,493.21209673459884,19.595861335582406,13.056364094075018,,25.82030289169812,31.339455747539652,22.80707894505605,,24.962305336855042,1258.146319705837,94413.5,0.7523019615530481,0.6726165049510964,659.1325573662275,21940.5,0.6503939476542044,0.8472316844516239,797.5675862087719,,0.756561112055219,0.6590769885290849,545.2680733252853,13981.5,0.6238199896822278,0.7846216001148769,566.6289860287593,,0.6748918241018109,,,,33.96286776973133,42.90697578465699
1061,8.568867840547767,3.3976858128382337,3.2028581191249583,0.7279018409338214,,2408.8638323787795,851.6362227615297,834.2170049938295,294.6345553617055,,13.27011098503577,7.943372545231877,15.75677177759506,13.268326623672522,25.27730337774826,15.37649098932368,21.65722420943739,17.90863325302403,1057.7615433949868,75677.0,,,713.7066735052979,25813.0,,0.6290438876099778,636.3929650063131,22520.0,0.7022119080157484,0.6035929542631274,458.5584412271571,9627.0,0.595592487174881,0.5786749828218534,,,,,38.25734973566109,49.5397394170046,25.44304017358624,
1074,8.226312229891251,3.949913653458976,1.996374416633472,,0.793431656848649,2117.6607016158164,1062.524430198065,,461.61076489256897,278.7098577981656,17.57360149849605,7.500773437798092,21.45402473258762,19.280326758436757,27.28108357975338,16.8647589745094,21.605180793980104,28.334032452554094,1028.2640687119283,67788.0,0.8065857930735808,0.6800792854026935,687.8366158202092,28806.0,0.7662431664749897,0.6095496209599829,564.2264427649427,15961.0,0.6382355832659058,0.8589012148732651,475.3807716974934,11705.0,0.655056670506862,0.5488491866837156,489.8477631085024,10742.0,0.5650889686978485,0.8560982229817673,44.53672367606391,,,53.019572763270496
1081,9.478594789784337,4.8004541639296985,3.181683452484661,0.8290212297487819,0.5933647354680847,2463.0798437386006,787.6250147083648,783.3901594937788,551.8267801388976,337.9215195438238,13.147271882764974,7.400913635264519,18.36429222687928,19.71520068322834,27.78946178662928,15.94029328165476,22.67958081191103,27.26245967021727,1173.8031739553294,83867.0,0.7630478030296478,0.5816698905147472,754.541197284454,32392.0,0.7140692185690887,0.7294858007135578,702.97875144394,26819.0,0.683042370688593,0.8040351792724539,470.57568516986026,13561.0,0.7651935002000329,0.4349319180922186,431.7411613907042,10606.0,0.7186332511011537,0.6822706735737544,,50.10124418702952,45.33573915854256,40.27209617616273
1084,6.723700716846214,2.215566381630321,2.3727812296287514,0.8781321192171195,0.7843984869007803,1906.1535932255952,656.9575509429052,574.1090958023414,416.1194196022633,271.70275223954235,13.039555792189752,7.4559732192746395,20.99698754931575,14.871327080090783,21.87414107179972,12.600173640474786,22.60399160314605,20.107085085141293,1014.4858941188763,61709.5,0.7552906324607576,0.6898772032138323,582.250306372319,20421.5,0.7573101973949605,0.6926897568178663,566.2711216524904,18232.0,0.7146630755565946,0.8250253012253588,476.98380207782344,13486.0,0.7518651121536003,0.6516041006256426,414.6848122046001,9039.0,0.6618816621101702,0.7577535024794977,31.309323726557412,44.28290626536286,34.84333630870936,26.459850625462117
1089,8.459232116702184,3.4383739414655925,2.7781520414446605,0.9244405701427107,0.925373256638332,2170.740877627175,810.3783384545924,692.766176317715,320.67477445448344,381.5271014210228,14.288840195874949,6.474104351223612,18.749517563729064,16.67618625376405,29.97729313285592,13.881111714944597,22.41660726875196,22.65756458076825,1053.134126397017,71133.0,0.8065152968147613,0.6197077703524547,663.6711395993651,26611.0,0.756198369889961,0.7259096095242145,593.4751801064718,20625.0,0.7340389313564458,0.7442240663423341,436.63455967290594,10408.0,0.6852145283694633,0.6054758892138983,499.6406563273158,12939.0,0.6544370630341859,0.7146227925742864,48.85984787984727,51.98251148507871,36.927979705707,32.74114956148908
1098,7.619284320248025,3.1019538402640365,2.6423369057670727,0.8069935715027073,0.6082336700334248,2303.3847181989463,814.8832193735107,665.7525328593423,417.81981858272985,355.85510808329724,19.326862114244577,5.032730056011018,24.502936462304078,26.5429166136393,31.671376244945836,14.640972136893945,26.25439694902288,28.56479882019034,1243.4427842621187,91431.0,0.742194430821797,,722.7777413171634,31916.0,0.7699305138175974,0.5971899068482119,702.8843430349616,29244.0,0.7411399391830751,0.6829993485768852,527.2031021678298,15996.0,0.7347208647535293,0.584576456140091,512.0315292925759,13348.0,0.6381118568008433,0.6316454065819257,42.89385071952725,42.6787865210736,45.682466493949136,41.13237844839384
1100,7.6045362160295396,3.4003408943587665,2.871732798776601,0.6579431362450074,0.546071448962019,2037.443215482186,766.4557040374784,621.6320003896682,384.3062837552805,274.95044551965486,13.89906635926004,,23.946778497040267,21.3448935794914,24.11102419446749,,25.578766740412856,22.383107682991145,1154.3473298326137,71696.0,,0.6659661497476412,708.1980515339465,29861.0,0.733205438982397,0.731493387360985,644.2091988222396,20205.0,0.6026928024073976,0.8984926553798981,526.7594513539337,13707.0,0.630051103298726,0.4601768022479067,368.56958851545033,7411.0,0.7037872137545356,0.7503781068636,30.696688926704663,,39.03419754899098,25.754763307288968
1102,8.658630891960433,4.072827894359751,2.6187533975060635,0.6852380575008675,0.6458548233889201,2339.550023049389,876.0386792211342,782.9963522294993,298.43834251555046,365.7810273759844,15.880683758287104,5.690712152384784,16.860539384302626,17.802492307286755,27.38457727351863,13.907078067505344,22.35813123566996,22.55784534025234,1197.6021638285529,85429.0,0.7498494481757545,0.6396588245213113,826.0559159102154,37830.0,0.7015863513707813,0.79125178239043,669.2985565973348,24009.0,0.6866123321915449,0.7860964457818915,439.2203461105328,10287.0,0.674379355542861,0.5421889677323332,489.9898987322333,12526.0,0.6510570130283141,0.7973994130563553,54.18040855440474,,37.16011683663263,35.985604428482695
1116,9.96228269822788,4.220635030008968,3.445527171990296,1.2729375450555722,0.7108435454323954,2780.634957543037,635.168093738997,833.7696637866145,668.7901490853494,565.0167345056179,,9.213173936266896,21.903049082798127,17.822844498606226,,20.855041416676805,25.36876490371865,26.452352770678694,1272.3128419472075,94163.0,,,610.8549057834387,21502.0,0.724123412567673,0.6037895049834818,701.4701294725885,33692.0,0.7429714994434328,0.6072870991275909,615.9970414071697,18498.0,0.6033751283867953,0.6905049042480902,571.120887067671,,0.7150423241026994,0.6550135766505265,45.15543297903949,44.45898745360476,52.440148250329,45.12316582365209
