animal_number,min_date,max_date,count_date,min_dim,max_dim,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
454,2023-03-21,2023-11-17,246,0.0,241.0,381.2437106918239,18.092106918238997,3.775345911949685,5.109465408805031,5.893915094339623,3.313380503144654,1.3700943396226417,1.7828301886792457,1.6134591194968555,1.4116981132075472,96.5864779874214,5,38,3,18,8,51,53,11622.23,651,0.7680491551459293,5.837173579109063,0.4608294930875576,2.7649769585253456,1.228878648233487,7.834101382488479,8.141321044546851,2432.15,3276.69,3782.15,2131.24,31594.31643625192
571,2023-10-20,2023-11-17,29,0.0,28.0,450.4,17.54733333333333,3.5151666666666666,6.301666666666667,4.934333333333333,2.7961666666666667,1.256,1.172,1.7020000000000002,1.48,89.6,2,13,5,13,7,21,23,1102.89,64,3.125,20.3125,7.8125,20.3125,10.9375,32.8125,35.9375,225.47,392.54,309.63,175.25,37965.25
627,2023-08-17,2023-11-17,94,0.0,92.0,244.5040322580645,19.376451612903224,3.7845564516129033,5.40133064516129,5.924314516129033,4.26625,2.429274193548387,2.236935483870968,2.6366129032258065,2.398306451612903,96.625,0,0,0,0,0,0,0,4841.9,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.77,1347.54,1480.53,1065.06,31442.34
628,2023-10-17,2023-11-17,32,0.0,31.0,332.9367088607595,16.635189873417723,4.160886075949366,6.386075949367089,6.088227848101266,,,1.5015189873417722,1.96253164556962,1.9518987341772152,79.46835443037975,0,0,0,1,0,1,1,1314.18,79,0.0,0.0,0.0,1.2658227848101269,0.0,1.2658227848101269,1.2658227848101269,328.71,504.5,480.97,0.0,33534.81012658228
686,2023-09-28,2024-09-23,365,0.0,361.0,316.45536609829486,20.46792377131394,4.4613340020060175,5.744543630892679,5.596850551654965,4.665195586760281,1.9926980942828485,2.2011634904714144,2.050110330992979,1.8813640922768304,91.38816449348045,1,9,1,6,2,15,16,20687.2,1016,0.0984251968503936,0.8858267716535433,0.0984251968503936,0.5905511811023622,0.1968503937007873,1.4763779527559056,1.574803149606299,4501.31,5808.03,5664.09,4713.77,30266.27952755905
703,2023-03-18,2023-11-17,249,0.0,244.0,260.2350230414747,18.23327188940092,4.687019969278034,5.045007680491552,4.097880184331797,4.403364055299539,1.9820276497695848,2.383225806451613,1.850967741935484,1.9518894009216592,93.036866359447,1,2,4,0,4,2,6,11946.1,658,0.1519756838905775,0.303951367781155,0.60790273556231,0.0,0.60790273556231,0.303951367781155,0.911854103343465,3071.63,3305.01,2690.85,2878.61,31691.065349544075
722,2023-07-23,2024-07-27,375,0.0,370.0,588.1662870159454,23.306697038724373,6.622357630979499,4.288929384965831,6.439521640091116,5.955888382687927,1.237995444191344,1.3235535307517083,1.3260820045558086,0.9798861047835992,96.36674259681094,0,1,0,0,0,1,1,20737.51,895,0.0,0.1117318435754189,0.0,0.0,0.0,0.1117318435754189,0.1117318435754189,5906.6,3790.15,5740.74,5300.02,35002.581005586595
723,2023-10-13,2023-11-17,35,0.0,35.0,228.4125,15.70825,4.248125,4.531750000000001,3.52725,3.4011250000000004,1.89675,2.25375,2.166,2.29275,95.5875,0,0,0,0,0,0,0,1279.05,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,369.72,287.01,276.32,36978.04878048781
729,2023-05-31,2024-06-14,386,0.0,380.0,412.6422857142857,22.58470857142857,5.383737142857143,5.155028571428571,5.5925714285714285,6.453371428571429,1.6917257142857145,1.5072,1.6426971428571426,1.5077485714285714,108.70628571428573,6,14,1,9,7,21,21,20004.29,896,0.6696428571428571,1.5625,0.1116071428571428,1.0044642857142858,0.78125,2.34375,2.34375,4776.2,4548.33,4953.81,5725.95,36087.228794642855
736,2023-03-09,2024-01-24,331,0.0,321.0,402.3324873096447,16.62739847715736,3.168426395939086,4.675939086294416,5.121205583756345,3.6618274111675126,1.215761421319797,1.0776395939086294,1.2705837563451776,1.2482741116751268,94.57106598984772,4,7,3,4,7,11,14,13230.75,801,0.4993757802746567,0.8739076154806492,0.3745318352059925,0.4993757802746567,0.8739076154806492,1.373283395755306,1.7478152309612984,2524.63,3707.99,4089.27,2908.86,34144.24968789014
