animal_number,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
1266,3257.93,4999.02,4240.46,3030.91,35829.84234752589
1267,3243.95,3113.56,2620.82,3147.2,33722.95645645646
1268,150.15,188.82,198.11,177.33,28903.978260869564
1270,1922.48,1753.69,0.0,1671.42,36961.260387811635
1271,4130.26,4074.38,4264.01,4002.07,38433.57957244656
1272,4196.87,2.21,4138.71,4029.87,34376.7585733882
1273,3764.71,4033.41,4487.12,3753.39,35189.596529284165
1274,2407.24,3981.35,3912.43,2736.79,32410.8583599574
1276,4376.37,5257.82,6089.57,4186.02,30595.571558796717
1277,2979.04,0.0,4094.82,0.0,29036.49708737864
1279,2163.54,4145.01,4952.59,2659.55,31910.57382953181
1281,4297.68,4288.13,4147.03,4310.7,35229.17617617617
1282,4442.61,0.0,5697.75,4082.49,28766.321111111112
1283,2820.54,3616.32,3850.1,2564.38,29281.38698630137
1284,2822.27,1043.2,2273.6,2618.92,29921.794549266247
1286,1233.29,1483.98,1652.08,1164.99,29736.17717717718
1288,3125.53,3822.15,3475.94,3827.07,38126.93227091633
1291,2251.16,2998.62,3985.95,3289.4,29194.887871853545
1293,3444.17,2650.97,2492.05,3357.61,34553.05006954103
1294,1109.35,1576.52,1037.55,894.49,33745.634686346864
1295,0.0,2008.82,2197.83,1003.99,31865.18567639257
1300,1307.34,1453.65,1493.83,978.95,29920.803519061585
1305,5180.14,4579.18,0.0,4349.02,33240.70011402509
1312,3376.43,3959.74,3994.5099999999998,3489.18,32947.18551461245
1314,3404.48,4751.96,4607.99,3337.41,33320.990506329115
1315,346.92,427.35,467.72,371.73,32476.704347826086
1319,100.74,394.51,293.58,5.9,34286.12
1320,3177.74,3926.16,4020.94,3013.97,39129.969365426696
1321,890.36,902.73,1095.26,1021.15,31951.788990825688
1323,579.99,707.71,685.0,0.0,36257.6129032258
1325,11.67,1241.01,521.82,1176.1,32149.777777777777
1328,2484.78,3105.5,2915.16,2907.38,29155.883027522937
1329,3630.74,3736.02,3610.53,3256.2,33890.96532333646
1334,2485.21,3102.73,2751.83,3347.28,32148.337398373984
1335,3087.56,3981.48,4192.39,3014.74,35013.18853503185
1352,3576.27,3452.71,3785.59,3197.24,36716.983889528194
1354,3002.72,0.03,3385.41,3290.8,31188.77732240437
1359,3588.04,2986.29,4259.42,3428.78,31620.679166666665
1360,2708.14,2518.35,2426.31,2688.69,32823.55295735901
1362,3034.08,3398.68,3373.45,2820.54,31689.91772151899
1364,2309.99,3635.15,3437.97,2383.69,38608.0
1365,3705.9,3566.45,2854.28,3776.57,38708.935799782375
1370,2890.04,3283.73,3099.49,2769.43,32760.99749058971
1371,1311.63,2791.11,2982.45,1868.84,36030.010416666664
1372,3537.17,4053.65,3859.89,3907.13,33895.09159584514
1376,2872.53,3118.43,3061.11,2785.64,28374.33572895277
1380,2367.35,2905.37,2556.16,2184.36,31559.943765281172
1385,2474.11,2753.9900000000002,2501.31,2704.31,35457.19208211144
1389,3760.0,547.03,1959.95,3609.79,44967.26981450253
1391,3367.54,2568.84,3016.1,3018.34,31901.502679528403
1395,2356.71,2140.83,2573.06,0.43,28248.498188405796
1396,0.45999999999999996,3432.57,3431.05,3093.38,33941.70491803279
1397,2450.13,3348.62,3095.98,2684.07,32634.275167785236
1398,2703.47,2987.51,2772.36,2514.84,34528.77584059776
1399,3015.35,4361.83,3173.12,3255.98,31977.199207135778
1400,2843.04,2885.1,2995.97,3028.29,33742.247354497355
1401,2442.77,1556.25,2537.67,2303.27,34738.23401360544
1404,2478.29,3804.16,3402.74,2584.04,24048.162358642974
1405,0.01,3622.83,2567.96,3335.46,27374.243392070486
1406,1823.79,2393.55,1419.64,2001.29,32546.038179148312
1407,2710.39,4010.37,3966.21,2854.64,35134.97278225807
1409,3045.95,4088.77,3872.76,3144.58,27038.12914188615
1410,2860.67,4212.12,0.24,3445.79,34932.441001191895
1412,3536.91,360.95,3016.6,3374.67,33654.71370420624
1414,2119.17,2602.02,2952.55,2342.02,33013.68200270636
1417,3344.96,3557.17,0.01,3674.9,32322.56862745098
1418,2795.98,2827.28,2849.29,2828.37,41629.017027863774
1419,2125.99,2553.2,2325.31,2409.2,37689.385017421606
1422,405.04,3571.99,3399.81,2646.99,34384.81234256927
1423,2819.05,2720.35,3134.83,2789.85,33085.683010262255
1424,2156.29,1658.72,1775.45,2391.49,29641.270166453265
1425,2118.32,2942.84,3112.67,2544.82,34514.351898734174
1427,2197.35,3231.8,3280.88,2540.83,31062.991266375546
1429,3240.49,2973.98,3015.73,3343.55,31753.9190897598
1430,3237.05,3651.57,2800.09,3211.81,36206.27310344828
1432,2361.26,2524.03,2424.6,2597.97,32140.42536327609
1433,2674.26,3045.46,2669.39,2932.02,29489.724622030237
1434,3280.4,3438.91,3006.99,3613.36,38458.00701262272
1435,2524.14,2470.29,2587.74,2744.94,34994.14683544304
1436,3048.53,2895.12,2326.73,3161.44,33184.724178403754
1437,2534.28,3603.79,3507.83,2432.07,39215.43937708565
1440,0.0,2215.73,1671.77,1400.59,27945.277945619335
1441,1637.12,2128.46,1072.1299999999999,1982.37,33970.96324655436
1442,1200.75,1362.95,1467.93,1273.31,34195.4927184466
1443,2617.02,2722.6,1239.51,3505.58,34663.63762626263
1447,2200.75,1944.08,1610.83,2336.57,30900.7476340694
1449,4762.31,5510.27,4833.04,4279.21,33862.36050420168
1451,1011.8,1206.08,1095.2,1063.86,26797.96573875803
1453,477.82,1147.5,941.06,835.15,30720.888030888033
1454,982.45,921.46,950.57,1050.87,34500.62222222222
1455,2090.85,2212.91,2261.79,0.0,34554.7848324515
1456,979.82,1100.22,1026.8,1028.82,27080.95641646489
1457,3198.49,2998.59,4010.61,3042.74,34862.18245614035
1458,93.89,4148.76,4600.75,3956.03,33183.13782051282
1460,1986.49,2772.64,2459.23,1981.57,31419.21085080148
1461,2385.16,2763.88,2428.63,2573.19,32052.042216358837
1462,2899.23,2710.95,2628.8,2600.9900000000002,33702.545454545456
1463,646.05,795.11,846.48,625.08,41125.208053691276
1465,1615.35,2053.44,1915.14,1267.93,34173.55958549223
1468,2601.26,3478.21,2965.66,2559.41,38335.34093789607
1470,294.08,279.14,287.71,286.11,28916.83620689655
1471,2777.27,3073.66,3602.72,2682.85,32539.069988137602
1472,373.59,324.61,339.84,422.32,33962.112582781454
1473,2564.85,4619.66,4669.62,2693.6,32256.464435146445
1474,2306.56,3024.19,3023.8,2566.53,38098.19941348974
1475,3875.01,5385.36,5519.35,3860.97,33900.437956204376
1476,202.05,173.63,200.21,213.57,31940.75
1477,0.6,3275.49,2927.35,2067.95,33581.93846153846
1478,2188.09,2495.4,2215.88,2450.9,31768.276315789473
1479,3970.95,3805.67,3430.2,4316.13,31460.649056603772
1480,173.75,226.24,235.32,188.28,40585.80701754386
1483,2820.27,3005.36,3459.84,2560.9,32193.3216080402
1484,3137.51,2773.96,2317.2599999999998,3342.91,31306.644849785407
1485,2604.53,3366.63,2976.05,2815.39,32001.961006289308
1486,457.27,488.74,430.47,460.56,31781.508771929824
1487,2633.47,3487.49,3339.83,2627.71,32828.12977099237
1489,2509.8,2907.03,2877.72,2597.95,36762.87160120846
1495,125.65,111.28,113.77,134.0,39553.32608695652
1501,134.6,146.79,132.51,142.79,41876.09302325582
1503,2903.74,3052.96,3131.9,3077.57,39046.08563899868
1504,1993.32,2526.68,2512.82,2507.76,33584.26301369863
1507,9.17,1.03,35.07,32.75,40166.73333333333
1511,12.24,11.94,10.4,13.26,36587.42857142857
