cow,farmname,robotside,filename,directory,date,time,size,computer,animal_number,min_date,max_date,count_date,min_dim,max_dim,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
764,laufenberg,right,0764_20231117_144922.bag,videos_1,20231117,14:49:54,3807979957,maria,764,2023-06-06,2024-03-21,293,0.0,289.0,353.47777777777776,16.88301388888889,5.174958333333333,5.643083333333333,1.4248194444444442,4.640152777777778,1.6041666666666667,1.7285833333333331,0.97925,1.5620833333333335,96.85555555555555,5.0,3.0,3.0,1.0,8,4,7,12333.85,733,0.6821282401091405,0.4092769440654843,0.4092769440654843,0.1364256480218281,1.0914051841746248,0.5457025920873124,0.9549795361527968,3760.88,4127.59,1047.17,3398.21,33631.32878581173
902,laufenberg,right,0902_20231117_142952.bag,videos_1,20231117,14:30:30,4303784100,maria,902,2023-09-13,2023-11-17,67,0.0,66.0,397.7455621301775,16.391183431952662,4.389644970414201,5.533254437869823,6.46828402366864,,,1.3768047337278106,1.8749112426035504,1.8596449704142013,80.12426035502959,9.0,31.0,,53.0,9,59,59,2805.35,173,5.202312138728324,17.91907514450867,,30.63583815028902,5.202312138728324,34.104046242774565,34.104046242774565,747.62,948.01,1109.72,,32111.13294797688
970,laufenberg,right,0970_20231117_150812.bag,videos_1,20231117,15:08:38,2800097357,maria,970,2023-06-05,2024-05-09,342,0.0,339.0,276.0417090539166,16.01378433367243,3.670498474059003,4.334944048830112,4.769389623601221,3.2389521871820954,1.9287894201424207,1.6854323499491353,1.8308036622583927,1.87001017293998,93.72431332655135,5.0,1.0,0.0,4.0,5,5,5,15973.48,1004,0.49800796812749,0.099601593625498,0.0,0.398406374501992,0.49800796812749,0.49800796812749,0.49800796812749,3641.17,4326.03,4769.17,3237.11,28816.13346613546
973,laufenberg,right,0973_20231117_135700.bag,videos_1,20231117,13:57:48,5620008570,maria,973,2023-01-08,2023-12-06,336,0.0,332.0,382.0722610722611,18.023496503496503,5.029603729603729,4.350174825174825,4.09037296037296,4.553344988344988,1.4401398601398605,1.443986013986014,1.254615384615385,1.4025874125874127,99.25641025641026,0.0,7.0,0.0,13.0,0,18,18,15694.88,877,0.0,0.798175598631699,0.0,1.4823261117445838,0.0,2.0524515393386547,2.0524515393386547,4351.28,3788.53,3573.59,3981.48,32205.70923603193
1116,laufenberg,right,1116_20231117_141845.bag,videos_1,20231117,14:19:42,6708885177,maria,1116,2023-08-04,2023-11-17,107,0.0,105.0,336.484496124031,20.11399224806201,4.083837209302326,6.081589147286821,5.4855426356589145,4.463023255813954,1.527906976744186,1.582093023255814,1.65,1.8065116279069768,95.37596899224806,1.0,1.0,0.0,4.0,1,5,5,5205.54,259,0.3861003861003861,0.3861003861003861,0.0,1.5444015444015444,0.3861003861003861,1.9305019305019304,1.9305019305019304,1057.34,1573.67,1419.56,1154.97,34678.20077220077
1184,laufenberg,right,1184_20231117_172549.bag,videos_1,20231117,17:26:08,1592799059,maria,1184,2023-11-13,2023-11-17,5,0.0,4.0,217.5555555555556,13.953333333333331,2.862222222222222,4.162222222222223,3.753333333333333,3.1755555555555555,2.16,2.966666666666667,2.64,2.606666666666667,129.11111111111111,0.0,0.0,0.0,0.0,0,0,0,125.58,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,37.46,33.78,28.58,38109.55555555556
1223,laufenberg,right,1223_20231117_110830.bag,videos_1,20231117,11:09:04,3923648168,maria,1223,2023-01-09,2023-11-17,319,0.0,312.0,210.6611721611721,12.752619047619048,2.733946886446886,3.942161172161173,2.863021978021978,3.213489010989011,1.944065934065934,1.831959706959707,1.9751098901098905,2.207087912087912,99.2838827838828,3.0,10.0,2.0,2.0,4,12,14,14073.35,1108,0.2707581227436823,0.9025270758122744,0.1805054151624548,0.1805054151624548,0.3610108303249097,1.083032490974729,1.263537906137184,3012.25,4353.41,3154.17,3553.52,24065.185920577616
1223,laufenberg,right,1223_20231117_152133.bag,videos_1,20231117,15:21:58,2975593953,maria,1223,2023-01-09,2023-11-17,319,0.0,312.0,210.6611721611721,12.752619047619048,2.733946886446886,3.942161172161173,2.863021978021978,3.213489010989011,1.944065934065934,1.831959706959707,1.9751098901098905,2.207087912087912,99.2838827838828,3.0,10.0,2.0,2.0,4,12,14,14073.35,1108,0.2707581227436823,0.9025270758122744,0.1805054151624548,0.1805054151624548,0.3610108303249097,1.083032490974729,1.263537906137184,3012.25,4353.41,3154.17,3553.52,24065.185920577616
1223,laufenberg,right,1223_20231117_152630.bag,videos_1,20231117,15:26:56,3051376574,maria,1223,2023-01-09,2023-11-17,319,0.0,312.0,210.6611721611721,12.752619047619048,2.733946886446886,3.942161172161173,2.863021978021978,3.213489010989011,1.944065934065934,1.831959706959707,1.9751098901098905,2.207087912087912,99.2838827838828,3.0,10.0,2.0,2.0,4,12,14,14073.35,1108,0.2707581227436823,0.9025270758122744,0.1805054151624548,0.1805054151624548,0.3610108303249097,1.083032490974729,1.263537906137184,3012.25,4353.41,3154.17,3553.52,24065.185920577616
1223,laufenberg,right,1223_20231117_153008.bag,videos_1,20231117,15:30:12,383030603,maria,1223,2023-01-09,2023-11-17,319,0.0,312.0,210.6611721611721,12.752619047619048,2.733946886446886,3.942161172161173,2.863021978021978,3.213489010989011,1.944065934065934,1.831959706959707,1.9751098901098905,2.207087912087912,99.2838827838828,3.0,10.0,2.0,2.0,4,12,14,14073.35,1108,0.2707581227436823,0.9025270758122744,0.1805054151624548,0.1805054151624548,0.3610108303249097,1.083032490974729,1.263537906137184,3012.25,4353.41,3154.17,3553.52,24065.185920577616
