animal_number,min_date,max_date,count_date,min_dim,max_dim
454,2023-03-21,2023-11-17,246,0.0,241.0
571,2023-10-20,2023-11-17,29,0.0,28.0
627,2023-08-17,2023-11-17,94,0.0,92.0
628,2023-10-17,2023-11-17,32,0.0,31.0
686,2023-09-28,2024-09-23,365,0.0,361.0
703,2023-03-18,2023-11-17,249,0.0,244.0
722,2023-07-23,2024-07-27,375,0.0,370.0
723,2023-10-13,2023-11-17,35,0.0,35.0
729,2023-05-31,2024-06-14,386,0.0,380.0
736,2023-03-09,2024-01-24,331,0.0,321.0
738,2023-01-28,2023-11-17,297,0.0,293.0
747,2023-04-24,2024-01-24,277,1.0,276.0
764,2023-06-06,2024-03-21,293,0.0,289.0
778,2023-09-24,2023-11-17,55,0.0,54.0
785,2023-10-12,2023-11-17,38,0.0,36.0
807,2023-08-25,2023-11-17,86,0.0,84.0
808,2023-10-19,2023-11-17,30,0.0,29.0
833,2023-06-08,2023-11-17,165,0.0,162.0
837,2023-03-08,2023-11-17,260,0.0,254.0
842,2023-04-12,2024-02-17,315,0.0,311.0
855,2023-11-17,2024-08-20,278,0.0,277.0
856,2023-07-20,2024-07-05,357,0.0,351.0
861,2023-06-08,2023-11-17,164,0.0,162.0
868,2023-09-18,2023-11-17,62,0.0,60.0
896,2023-02-06,2023-11-17,292,0.0,284.0
897,2023-04-30,2024-05-28,402,0.0,394.0
902,2023-09-13,2023-11-17,67,0.0,66.0
904,2023-07-15,2024-05-09,306,0.0,299.0
905,2023-02-02,2023-12-21,326,0.0,322.0
912,2023-02-12,2023-12-06,303,0.0,297.0
915,2023-03-16,2024-03-21,381,0.0,371.0
921,2023-03-13,2023-12-06,271,0.0,268.0
922,2023-05-20,2023-11-17,184,0.0,181.0
924,2023-08-21,2023-11-17,94,0.0,88.0
925,2023-05-09,2024-05-09,371,0.0,366.0
929,2023-11-03,2023-11-17,15,0.0,14.0
935,2023-08-18,2024-07-27,349,0.0,344.0
948,2022-10-14,2023-11-17,409,38.0,437.0
962,2023-07-22,2024-07-05,355,0.0,349.0
970,2023-06-05,2024-05-09,342,0.0,339.0
971,2023-09-08,2023-11-17,72,0.0,70.0
973,2023-01-08,2023-12-06,336,0.0,332.0
975,2023-06-23,2024-05-09,328,0.0,321.0
978,2023-03-29,2024-01-24,309,0.0,301.0
981,2023-10-24,2023-11-17,25,0.0,24.0
986,2023-07-30,2023-11-17,115,0.0,110.0
1003,2023-07-26,2023-11-17,115,0.0,114.0
1023,2023-07-23,2023-11-17,123,0.0,117.0
1039,2023-01-19,2023-11-17,306,0.0,302.0
1040,2023-04-18,2023-11-17,218,0.0,213.0
