                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.54245,                0.96082,                0.34758,                 1.0264,                0.99992,                      1,                  0.995,                 0.8989,                0.99992,                      1,                  0.995,                0.89965,                0.47548,                0.80651,                0.27582,                 1.0204,              0.0015446,              0.0015446,              0.0015446
                     26,                0.53419,                0.94991,                0.34455,                  1.024,                0.99977,                      1,                  0.995,                 0.8983,                0.99977,                      1,                  0.995,                0.89712,                0.44011,                0.75378,                0.28198,                0.99631,              0.0015248,              0.0015248,              0.0015248
                     27,                0.52493,                0.94211,                0.34111,                 1.0212,                0.98791,                      1,                0.99418,                 0.9016,                0.98791,                      1,                0.99418,                0.87896,                0.46913,                0.91709,                0.28468,                 1.0329,               0.001505,               0.001505,               0.001505
                     28,                0.52968,                0.95429,                0.33916,                  1.019,                0.96902,                0.95285,                0.99074,                0.89443,                0.96902,                0.95285,                0.99085,                0.88399,                0.46072,                0.91077,                0.33786,                 1.0106,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.5237,                0.93957,                0.33075,                 1.0159,                0.99992,                      1,                  0.995,                0.92085,                0.99992,                      1,                  0.995,                0.90396,                0.41937,                0.75743,                0.24085,                0.97899,              0.0014654,              0.0014654,              0.0014654
                     30,                0.51995,                0.93956,                0.32853,                 1.0164,                0.99736,                 0.9999,                  0.995,                0.91608,                0.99736,                 0.9999,                  0.995,                0.89494,                0.42527,                 0.8259,                0.25669,                0.98016,              0.0014456,              0.0014456,              0.0014456
                     31,                0.52293,                0.92514,                0.32737,                 1.0182,                0.99458,                      1,                0.99447,                0.91181,                0.99458,                      1,                0.99447,                0.89957,                0.42641,                0.79533,                0.24404,                 0.9876,              0.0014258,              0.0014258,              0.0014258
                     32,                0.51995,                0.91387,                0.31562,                 1.0144,                      1,                0.99847,                  0.995,                0.89495,                      1,                0.99847,                  0.995,                0.88427,                0.49321,                0.87076,                0.27706,                 1.0322,               0.001406,               0.001406,               0.001406
                     33,                0.52146,                0.91505,                 0.3245,                 1.0128,                 0.9992,                      1,                  0.995,                0.92229,                 0.9992,                      1,                  0.995,                 0.9036,                0.43431,                0.78568,                0.24249,                0.99046,              0.0013862,              0.0013862,              0.0013862
                     34,                0.50591,                0.90595,                0.31571,                 1.0105,                0.99958,                      1,                  0.995,                0.91879,                0.99958,                      1,                  0.995,                 0.9053,                0.42782,                0.77284,                0.25402,                0.97791,              0.0013664,              0.0013664,              0.0013664
