variable,value_mean,value_std,value_min,value_max,value_median,value_count,teat_missing,extreme_value_removed,cow_count
lb_len,35.67501580310859,7.491108167565889,17.728681724108846,52.440148250329,35.6053179174644,123,4.0,11,138
lf_len,43.7818034711252,6.899724807194262,28.89559658097081,59.03721710639992,43.92831059855721,113,5.0,20,138
rb_len,35.881471518676335,7.222287943355281,18.17392370737068,53.019572763270496,36.12303369529483,119,4.0,15,138
rf_len,43.59937146453116,7.588241434551166,26.314124510576637,60.75767733413044,44.30107736576753,120,2.0,16,138
